logical_signal,lane_index,side,direction,port_name,package_pin,iostandard,source_xdc,status,notes
lane0_A_Mode,0,A,output,ir_mode_out_0[0],T12,LVCMOS33,constraints/active/PORT1.generated.xdc,active,generated from active top PORT1.xdc
lane1_A_Mode,1,A,output,ir_mode_out_0[1],G17,LVCMOS33,constraints/active/PORT1.generated.xdc,active,generated from active top PORT1.xdc
lane0_A_Rxd,0,A,input,ir_rx_in_0[0],B19,LVCMOS33,constraints/active/PORT1.generated.xdc,active,generated from active top PORT1.xdc
lane1_A_Rxd,1,A,input,ir_rx_in_0[1],H15,LVCMOS33,constraints/active/PORT1.generated.xdc,active,generated from active top PORT1.xdc
lane0_A_SD,0,A,output,ir_sd_0[0],T11,LVCMOS33,constraints/active/PORT1.generated.xdc,active,generated from active top PORT1.xdc
lane1_A_SD,1,A,output,ir_sd_0[1],H16,LVCMOS33,constraints/active/PORT1.generated.xdc,active,generated from active top PORT1.xdc
lane0_A_Txd,0,A,output,ir_tx_out_0[0],C20,LVCMOS33,constraints/active/PORT1.generated.xdc,active,generated from active top PORT1.xdc
lane1_A_Txd,1,A,output,ir_tx_out_0[1],K14,LVCMOS33,constraints/active/PORT1.generated.xdc,active,generated from active top PORT1.xdc
lane0_B_Mode,0,B,output,loop_mode_b0[0],V17,LVCMOS33,constraints/active/PORT1.generated.xdc,active,generated from active top PORT1.xdc
lane1_B_Mode,1,B,output,loop_mode_b0[1],L16,LVCMOS33,constraints/active/PORT1.generated.xdc,active,generated from active top PORT1.xdc
lane0_B_Rxd,0,B,input,loop_rx_b0[0],U13,LVCMOS33,constraints/active/PORT1.generated.xdc,active,generated from active top PORT1.xdc
lane1_B_Rxd,1,B,input,loop_rx_b0[1],G15,LVCMOS33,constraints/active/PORT1.generated.xdc,active,generated from active top PORT1.xdc
lane0_B_SD,0,B,output,loop_sd_b0[0],T14,LVCMOS33,constraints/active/PORT1.generated.xdc,active,generated from active top PORT1.xdc
lane1_B_SD,1,B,output,loop_sd_b0[1],M17,LVCMOS33,constraints/active/PORT1.generated.xdc,active,generated from active top PORT1.xdc
lane0_B_Txd,0,B,output,loop_tx_b0[0],V12,LVCMOS33,constraints/active/PORT1.generated.xdc,active,generated from active top PORT1.xdc
lane1_B_Txd,1,B,output,loop_tx_b0[1],E18,LVCMOS33,constraints/active/PORT1.generated.xdc,active,generated from active top PORT1.xdc
