stage,label,direction,lane_mask,requested_useful_bytes,encoded_transfer_bytes,sender_role,elapsed_ticks,timer_frequency_hz,elapsed_seconds,reported_legacy_bps,recomputed_encoded_ps_command_bps,recomputed_useful_ps_command_bps,measurement_class,diagnostic_only,eligible_for_scaling,source_path,source_sha256
P10-C,rate4_lane0_f_to_r_short,F_TO_R,1,31,31,fixed,529761,333333343,0.0015892829539107943,156045.21484971524,156045.21484971524,156045.21484971524,OBJECT_SINGLE,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_c/stage_summary.json,3a10f3ff157b21084f68934996b837947d00117888cbdc38a00fb6ef2e3d2c06
P10-C,rate4_lane0_f_to_r_prbs247,F_TO_R,1,247,247,fixed,937628,333333343,0.002812883918426366,702481.8859590371,702481.8859590371,702481.8859590371,OBJECT_SINGLE,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_c/stage_summary.json,3a10f3ff157b21084f68934996b837947d00117888cbdc38a00fb6ef2e3d2c06
P10-C,rate4_lane0_f_to_r_counter247,F_TO_R,1,247,247,fixed,907149,333333343,0.002721446921078039,726084.3431101175,726084.3431101175,726084.3431101175,OBJECT_SINGLE,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_c/stage_summary.json,3a10f3ff157b21084f68934996b837947d00117888cbdc38a00fb6ef2e3d2c06
P10-C,rate4_lane0_f_to_r_100f,F_TO_R,1,24700,24700,fixed,83218985,333333343,0.2496569477599485,791486.0842967504,791486.0842967504,791486.0842967504,OBJECT_SINGLE,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_c/stage_summary.json,3a10f3ff157b21084f68934996b837947d00117888cbdc38a00fb6ef2e3d2c06
P10-C,rate4_lane0_f_to_r_10000f,F_TO_R,1,2470000,2470000,fixed,8304163416,333333343,24.912489525537804,793176.4498985144,793176.4498985144,793176.4498985144,OBJECT_SINGLE,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_c/stage_summary.json,3a10f3ff157b21084f68934996b837947d00117888cbdc38a00fb6ef2e3d2c06
P10-C,rate4_lane0_r_to_f_short,R_TO_F,1,31,31,rotating,498963,333333343,0.0014968889565902203,165676.9521267108,165676.9521267108,165676.9521267108,OBJECT_SINGLE,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_c/stage_summary.json,3a10f3ff157b21084f68934996b837947d00117888cbdc38a00fb6ef2e3d2c06
P10-C,rate4_lane0_r_to_f_prbs247,R_TO_F,1,247,247,rotating,940085,333333343,0.0028202549182126074,700645.8839019876,700645.8839019876,700645.8839019876,OBJECT_SINGLE,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_c/stage_summary.json,3a10f3ff157b21084f68934996b837947d00117888cbdc38a00fb6ef2e3d2c06
P10-C,rate4_lane0_r_to_f_counter247,R_TO_F,1,247,247,rotating,906902,333333343,0.002720705921099528,726282.0963764553,726282.0963764553,726282.0963764553,OBJECT_SINGLE,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_c/stage_summary.json,3a10f3ff157b21084f68934996b837947d00117888cbdc38a00fb6ef2e3d2c06
P10-C,rate4_lane0_r_to_f_100f,R_TO_F,1,24700,24700,rotating,83207691,333333343,0.2496230657609311,791593.514796607,791593.514796607,791593.514796607,OBJECT_SINGLE,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_c/stage_summary.json,3a10f3ff157b21084f68934996b837947d00117888cbdc38a00fb6ef2e3d2c06
P10-C,rate4_lane0_r_to_f_10000f,R_TO_F,1,2470000,2470000,rotating,8304064603,333333343,24.9121930865464,793185.8881854607,793185.8881854607,793185.8881854607,OBJECT_SINGLE,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_c/stage_summary.json,3a10f3ff157b21084f68934996b837947d00117888cbdc38a00fb6ef2e3d2c06
P10-C,rate4_lane1_f_to_r_short,F_TO_R,2,31,31,fixed,497715,333333343,0.0014931449566987962,166092.3803059984,166092.3803059984,166092.3803059984,OBJECT_SINGLE,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_c/stage_summary.json,3a10f3ff157b21084f68934996b837947d00117888cbdc38a00fb6ef2e3d2c06
P10-C,rate4_lane1_f_to_r_prbs247,F_TO_R,2,247,247,fixed,938295,333333343,0.0028148849183683372,701982.5169781359,701982.5169781359,701982.5169781359,OBJECT_SINGLE,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_c/stage_summary.json,3a10f3ff157b21084f68934996b837947d00117888cbdc38a00fb6ef2e3d2c06
P10-C,rate4_lane1_f_to_r_counter247,F_TO_R,2,247,247,fixed,906788,333333343,0.0027203639211094465,726373.4034504206,726373.4034504206,726373.4034504206,OBJECT_SINGLE,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_c/stage_summary.json,3a10f3ff157b21084f68934996b837947d00117888cbdc38a00fb6ef2e3d2c06
P10-C,rate4_lane1_f_to_r_100f,F_TO_R,2,24700,24700,fixed,83207393,333333343,0.24962217176095702,791596.3498195406,791596.3498195406,791596.3498195406,OBJECT_SINGLE,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_c/stage_summary.json,3a10f3ff157b21084f68934996b837947d00117888cbdc38a00fb6ef2e3d2c06
P10-C,rate4_lane1_f_to_r_10000f,F_TO_R,2,2470000,2470000,fixed,8304187622,333333343,24.9125621435357,793174.1378566844,793174.1378566844,793174.1378566844,OBJECT_SINGLE,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_c/stage_summary.json,3a10f3ff157b21084f68934996b837947d00117888cbdc38a00fb6ef2e3d2c06
