lane,side,logical_endpoint,signal,port,package_pin,iostandard,connector,notes
0,A,lane0_A,Mode,ir_mode_out_0[0],T12,LVCMOS33,J10,generated from active top PORT1.xdc
1,A,lane1_A,Mode,ir_mode_out_0[1],G17,LVCMOS33,J11,generated from active top PORT1.xdc
0,A,lane0_A,Rxd,ir_rx_in_0[0],B19,LVCMOS33,J10,generated from active top PORT1.xdc
1,A,lane1_A,Rxd,ir_rx_in_0[1],H15,LVCMOS33,J11,generated from active top PORT1.xdc
0,A,lane0_A,SD,ir_sd_0[0],T11,LVCMOS33,J10,generated from active top PORT1.xdc
1,A,lane1_A,SD,ir_sd_0[1],H16,LVCMOS33,J11,generated from active top PORT1.xdc
0,A,lane0_A,Txd,ir_tx_out_0[0],C20,LVCMOS33,J10,generated from active top PORT1.xdc
1,A,lane1_A,Txd,ir_tx_out_0[1],K14,LVCMOS33,J11,generated from active top PORT1.xdc
0,B,lane0_B,Mode,loop_mode_b0[0],V17,LVCMOS33,J10,generated from active top PORT1.xdc
1,B,lane1_B,Mode,loop_mode_b0[1],L16,LVCMOS33,J11,generated from active top PORT1.xdc
0,B,lane0_B,Rxd,loop_rx_b0[0],U13,LVCMOS33,J10,generated from active top PORT1.xdc
1,B,lane1_B,Rxd,loop_rx_b0[1],G15,LVCMOS33,J11,generated from active top PORT1.xdc
0,B,lane0_B,SD,loop_sd_b0[0],T14,LVCMOS33,J10,generated from active top PORT1.xdc
1,B,lane1_B,SD,loop_sd_b0[1],M17,LVCMOS33,J11,generated from active top PORT1.xdc
0,B,lane0_B,Txd,loop_tx_b0[0],V12,LVCMOS33,J10,generated from active top PORT1.xdc
1,B,lane1_B,Txd,loop_tx_b0[1],E18,LVCMOS33,J11,generated from active top PORT1.xdc
