C:\p10_vitis\p10_2_rotating\p10_rotating_runtime\Debug\p10_rotating_runtime.elf  :
section             size    addr
.text              52460       0
.init                 12   52460
.fini                 12   52472
.rodata             1177   52484
.data               2240   53664
.eh_frame              4   55904
.mmu_tbl           16384   65536
.ARM.exidx             8   81920
.init_array            4   81928
.fini_array            4   81932
.ARM.attributes       51   81936
.bss                2132   81936
.heap               8204   84068
.stack             14336   92272
.comment              18       0
.debug_info       103371       0
.debug_abbrev       9415       0
.debug_loclists    63985       0
.debug_aranges       704       0
.debug_rnglists    12727       0
.debug_macro       18178       0
.debug_line        73426       0
.debug_str        110257       0
.debug_frame        3604       0
.debug_line_str      158       0
Total             492871



