label|command|expected_status|flags|lane|direction|rate|weights|size|ring|cache|txoff|rxoff|timeout|session|path|object|dropdata|dropack|unavailable|rawtarget|spacing|stale|initialseq|faultflags|idle|injectmask|injectdelay|window|started_ms|finished_ms|sequence|fixed_status|rotating_status|fixed_state|rotating_state|fixed_dump_path|rotating_dump_path
rate4_lane0_f_to_r_short|3|0|2|1|0|2|257|31|32|1|0|0|30000|2685403137|10|1073790976|0|0|0|0|1024|0|0|0|0|0|0|NA|1785423162846|1785423162985|1001|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10/evidence/hardware/p10/p10_diag_c_20260730T145146Z_02/stages/p10_c/dumps/rate4_lane0_f_to_r_short.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10/evidence/hardware/p10/p10_diag_c_20260730T145146Z_02/stages/p10_c/dumps/rate4_lane0_f_to_r_short.rotating.bin
rate4_lane0_f_to_r_prbs247|3|0|2|1|0|2|257|247|32|1|0|0|30000|2685403137|10|49153|0|0|0|0|1024|0|0|0|0|0|0|NA|1785423163033|1785423163201|1002|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10/evidence/hardware/p10/p10_diag_c_20260730T145146Z_02/stages/p10_c/dumps/rate4_lane0_f_to_r_prbs247.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10/evidence/hardware/p10/p10_diag_c_20260730T145146Z_02/stages/p10_c/dumps/rate4_lane0_f_to_r_prbs247.rotating.bin
rate4_lane0_f_to_r_counter247|3|0|2|1|0|2|257|247|32|1|0|0|30000|2685403137|10|805355522|0|0|0|0|1024|0|0|0|0|0|0|NA|1785423163236|1785423163362|1003|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10/evidence/hardware/p10/p10_diag_c_20260730T145146Z_02/stages/p10_c/dumps/rate4_lane0_f_to_r_counter247.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10/evidence/hardware/p10/p10_diag_c_20260730T145146Z_02/stages/p10_c/dumps/rate4_lane0_f_to_r_counter247.rotating.bin
rate4_lane0_f_to_r_100f|3|0|2|1|0|2|257|24700|32|1|0|0|60000|2685403137|10|49155|0|0|0|0|1024|0|0|0|0|0|0|NA|1785423163425|1785423163981|1004|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10/evidence/hardware/p10/p10_diag_c_20260730T145146Z_02/stages/p10_c/dumps/rate4_lane0_f_to_r_100f.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10/evidence/hardware/p10/p10_diag_c_20260730T145146Z_02/stages/p10_c/dumps/rate4_lane0_f_to_r_100f.rotating.bin
rate4_lane0_f_to_r_10000f|3|0|2|1|0|2|257|2470000|32|1|0|0|240000|2685403137|10|49156|0|0|0|0|1024|0|0|0|0|0|0|NA|1785423164017|1785423201849|1005|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10/evidence/hardware/p10/p10_diag_c_20260730T145146Z_02/stages/p10_c/dumps/rate4_lane0_f_to_r_10000f.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10/evidence/hardware/p10/p10_diag_c_20260730T145146Z_02/stages/p10_c/dumps/rate4_lane0_f_to_r_10000f.rotating.bin
rate4_lane0_r_to_f_short|3|0|2|1|1|2|257|31|32|1|0|0|30000|2685403137|10|1073790992|0|0|0|0|1024|0|0|0|0|0|0|NA|1785423201897|1785423202071|1006|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10/evidence/hardware/p10/p10_diag_c_20260730T145146Z_02/stages/p10_c/dumps/rate4_lane0_r_to_f_short.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10/evidence/hardware/p10/p10_diag_c_20260730T145146Z_02/stages/p10_c/dumps/rate4_lane0_r_to_f_short.rotating.bin
rate4_lane0_r_to_f_prbs247|3|0|2|1|1|2|257|247|32|1|0|0|30000|2685403137|10|49169|0|0|0|0|1024|0|0|0|0|0|0|NA|1785423202130|1785423202297|1007|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10/evidence/hardware/p10/p10_diag_c_20260730T145146Z_02/stages/p10_c/dumps/rate4_lane0_r_to_f_prbs247.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10/evidence/hardware/p10/p10_diag_c_20260730T145146Z_02/stages/p10_c/dumps/rate4_lane0_r_to_f_prbs247.rotating.bin
rate4_lane0_r_to_f_counter247|3|0|2|1|1|2|257|247|32|1|0|0|30000|2685403137|10|805355538|0|0|0|0|1024|0|0|0|0|0|0|NA|1785423202334|1785423202547|1008|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10/evidence/hardware/p10/p10_diag_c_20260730T145146Z_02/stages/p10_c/dumps/rate4_lane0_r_to_f_counter247.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10/evidence/hardware/p10/p10_diag_c_20260730T145146Z_02/stages/p10_c/dumps/rate4_lane0_r_to_f_counter247.rotating.bin
rate4_lane0_r_to_f_100f|3|0|2|1|1|2|257|24700|32|1|0|0|60000|2685403137|10|49171|0|0|0|0|1024|0|0|0|0|0|0|NA|1785423202582|1785423203180|1009|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10/evidence/hardware/p10/p10_diag_c_20260730T145146Z_02/stages/p10_c/dumps/rate4_lane0_r_to_f_100f.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10/evidence/hardware/p10/p10_diag_c_20260730T145146Z_02/stages/p10_c/dumps/rate4_lane0_r_to_f_100f.rotating.bin
rate4_lane0_r_to_f_10000f|3|0|2|1|1|2|257|2470000|32|1|0|0|240000|2685403137|10|49172|0|0|0|0|1024|0|0|0|0|0|0|NA|1785423203233|1785423241028|1010|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10/evidence/hardware/p10/p10_diag_c_20260730T145146Z_02/stages/p10_c/dumps/rate4_lane0_r_to_f_10000f.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10/evidence/hardware/p10/p10_diag_c_20260730T145146Z_02/stages/p10_c/dumps/rate4_lane0_r_to_f_10000f.rotating.bin
rate4_lane1_f_to_r_short|3|0|2|2|0|2|257|31|32|1|0|0|30000|2685403137|10|1073791008|0|0|0|0|1024|0|0|0|0|0|0|NA|1785423241079|1785423241234|1011|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10/evidence/hardware/p10/p10_diag_c_20260730T145146Z_02/stages/p10_c/dumps/rate4_lane1_f_to_r_short.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10/evidence/hardware/p10/p10_diag_c_20260730T145146Z_02/stages/p10_c/dumps/rate4_lane1_f_to_r_short.rotating.bin
rate4_lane1_f_to_r_prbs247|3|0|2|2|0|2|257|247|32|1|0|0|30000|2685403137|10|49185|0|0|0|0|1024|0|0|0|0|0|0|NA|1785423241268|1785423241419|1012|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10/evidence/hardware/p10/p10_diag_c_20260730T145146Z_02/stages/p10_c/dumps/rate4_lane1_f_to_r_prbs247.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10/evidence/hardware/p10/p10_diag_c_20260730T145146Z_02/stages/p10_c/dumps/rate4_lane1_f_to_r_prbs247.rotating.bin
rate4_lane1_f_to_r_counter247|3|0|2|2|0|2|257|247|32|1|0|0|30000|2685403137|10|805355554|0|0|0|0|1024|0|0|0|0|0|0|NA|1785423241454|1785423241600|1013|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10/evidence/hardware/p10/p10_diag_c_20260730T145146Z_02/stages/p10_c/dumps/rate4_lane1_f_to_r_counter247.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10/evidence/hardware/p10/p10_diag_c_20260730T145146Z_02/stages/p10_c/dumps/rate4_lane1_f_to_r_counter247.rotating.bin
