sample|module|direction|lane_mask|tail_cycles|sender_raw|sender_raw_while_tx|sender_blanked_raw|sender_blanked_frame|sender_blanked_crc_valid|sender_local_source_reject|sender_accepted_remote|receiver_raw|receiver_accepted_remote|sender_last_txd_rise|sender_last_txd_fall|sender_first_rxd_after_tx|sender_last_rxd_after_tx|sender_overlap_violation|sender_admission_violation|sender_non_target_accepted|sender_cross_lane_accepted|receiver_overlap_violation|receiver_admission_violation|receiver_non_target_accepted|receiver_cross_lane_accepted
0|F1|0|2|0|1|1|1|0|0|0|0|1|0|3745602415|3745602420|0|0|0|0|0|0|0|0|0|0
1|F1|0|2|0|1|1|1|0|0|0|0|1|0|3753771558|3753771563|0|0|0|0|0|0|0|0|0|0
2|F1|0|2|0|1|1|1|0|0|0|0|1|0|3763016910|3763016915|0|0|0|0|0|0|0|0|0|0
3|F1|0|2|0|1|1|1|0|0|0|0|1|0|3771269770|3771269775|0|0|0|0|0|0|0|0|0|0
4|F1|0|2|0|1|1|1|0|0|0|0|1|0|3782314456|3782314461|0|0|0|0|0|0|0|0|0|0
5|F1|0|2|0|1|1|1|0|0|0|0|1|0|3790367992|3790367997|0|0|0|0|0|0|0|0|0|0
6|F1|0|2|0|1|1|1|0|0|0|0|1|0|3798296167|3798296172|0|0|0|0|0|0|0|0|0|0
7|F1|0|2|0|1|1|1|0|0|0|0|1|0|3805080428|3805080433|0|0|0|0|0|0|0|0|0|0
8|F1|0|2|0|1|1|1|0|0|0|0|1|0|3813361886|3813361891|0|0|0|0|0|0|0|0|0|0
9|F1|0|2|0|1|1|1|0|0|0|0|1|0|3821964652|3821964657|0|0|0|0|0|0|0|0|0|0
10|F1|0|2|0|1|1|1|0|0|0|0|1|0|3828906334|3828906339|0|0|0|0|0|0|0|0|0|0
11|F1|0|2|0|1|1|1|0|0|0|0|1|0|3837409491|3837409496|0|0|0|0|0|0|0|0|0|0
12|F1|0|2|0|1|1|1|0|0|0|0|1|0|3845514213|3845514218|0|0|0|0|0|0|0|0|0|0
13|F1|0|2|0|1|1|1|0|0|0|0|1|0|3855649542|3855649547|0|0|0|0|0|0|0|0|0|0
14|F1|0|2|0|1|1|1|0|0|0|0|1|0|3863443340|3863443345|0|0|0|0|0|0|0|0|0|0
15|F1|0|2|0|1|1|1|0|0|0|0|1|0|3871323472|3871323477|0|0|0|0|0|0|0|0|0|0
16|F1|0|2|0|1|1|1|0|0|0|0|1|0|3879544682|3879544687|0|0|0|0|0|0|0|0|0|0
17|F1|0|2|0|1|1|1|0|0|0|0|1|0|3888256696|3888256701|0|0|0|0|0|0|0|0|0|0
18|F1|0|2|0|1|1|1|0|0|0|0|1|0|3895940879|3895940884|0|0|0|0|0|0|0|0|0|0
19|F1|0|2|0|1|1|1|0|0|0|0|1|0|3903840271|3903840276|0|0|0|0|0|0|0|0|0|0
20|F1|0|2|0|1|1|1|0|0|0|0|1|0|3916086538|3916086543|0|0|0|0|0|0|0|0|0|0
21|F1|0|2|0|1|1|1|0|0|0|0|1|0|3922992997|3922993002|0|0|0|0|0|0|0|0|0|0
22|F1|0|2|0|1|1|1|0|0|0|0|1|0|3931380742|3931380747|0|0|0|0|0|0|0|0|0|0
23|F1|0|2|0|1|1|1|0|0|0|0|1|0|3938589040|3938589045|0|0|0|0|0|0|0|0|0|0
24|F1|0|2|0|1|1|1|0|0|0|0|1|0|3946880789|3946880794|0|0|0|0|0|0|0|0|0|0
25|F1|0|2|0|1|1|1|0|0|0|0|1|0|3956723701|3956723706|0|0|0|0|0|0|0|0|0|0
26|F1|0|2|0|1|1|1|0|0|0|0|1|0|3964333657|3964333662|0|0|0|0|0|0|0|0|0|0
27|F1|0|2|0|1|1|1|0|0|0|0|1|0|3972875507|3972875512|0|0|0|0|0|0|0|0|0|0
28|F1|0|2|0|1|1|1|0|0|0|0|1|0|3981879896|3981879901|0|0|0|0|0|0|0|0|0|0
29|F1|0|2|0|1|1|1|0|0|0|0|1|0|3987851301|3987851306|0|0|0|0|0|0|0|0|0|0
30|F1|0|2|0|1|1|1|0|0|0|0|1|0|3996277340|3996277345|0|0|0|0|0|0|0|0|0|0
31|F1|0|2|0|1|1|1|0|0|0|0|1|0|4003456787|4003456792|0|0|0|0|0|0|0|0|0|0
32|F1|0|2|0|1|1|1|0|0|0|0|1|0|4009508473|4009508478|0|0|0|0|0|0|0|0|0|0
33|F1|0|2|0|1|1|1|0|0|0|0|1|0|4017719539|4017719544|0|0|0|0|0|0|0|0|0|0
34|F1|0|2|0|1|1|1|0|0|0|0|1|0|4027067708|4027067713|0|0|0|0|0|0|0|0|0|0
35|F1|0|2|0|1|1|1|0|0|0|0|1|0|4034635900|4034635905|0|0|0|0|0|0|0|0|0|0
36|F1|0|2|0|1|1|1|0|0|0|0|1|0|4040777560|4040777565|0|0|0|0|0|0|0|0|0|0
37|F1|0|2|0|1|1|1|0|0|0|0|1|0|4049759468|4049759473|0|0|0|0|0|0|0|0|0|0
38|F1|0|2|0|1|1|1|0|0|0|0|1|0|4057523973|4057523978|0|0|0|0|0|0|0|0|0|0
39|F1|0|2|0|1|1|1|0|0|0|0|1|0|4064565387|4064565392|0|0|0|0|0|0|0|0|0|0
40|F1|0|2|0|1|1|1|0|0|0|0|1|0|4072175340|4072175345|0|0|0|0|0|0|0|0|0|0
41|F1|0|2|0|1|1|1|0|0|0|0|1|0|4079807800|4079807805|0|0|0|0|0|0|0|0|0|0
42|F1|0|2|0|1|1|1|0|0|0|0|1|0|4087205734|4087205739|0|0|0|0|0|0|0|0|0|0
43|F1|0|2|0|1|1|1|0|0|0|0|1|0|4094401240|4094401245|0|0|0|0|0|0|0|0|0|0
44|F1|0|2|0|1|1|1|0|0|0|0|1|0|4102830501|4102830506|0|0|0|0|0|0|0|0|0|0
45|F1|0|2|0|1|1|1|0|0|0|0|1|0|4111153765|4111153770|0|0|0|0|0|0|0|0|0|0
46|F1|0|2|0|1|1|1|0|0|0|0|1|0|4120755754|4120755759|0|0|0|0|0|0|0|0|0|0
47|F1|0|2|0|1|1|1|0|0|0|0|1|0|4130849327|4130849332|0|0|0|0|0|0|0|0|0|0
48|F1|0|2|0|1|1|1|0|0|0|0|1|0|4140419161|4140419166|0|0|0|0|0|0|0|0|0|0
49|F1|0|2|0|1|1|1|0|0|0|0|1|0|4150657301|4150657306|0|0|0|0|0|0|0|0|0|0
50|F1|0|2|0|1|1|1|0|0|0|0|1|0|4156638366|4156638371|0|0|0|0|0|0|0|0|0|0
