sample|module|direction|lane_mask|tail_cycles|sender_raw|sender_raw_while_tx|sender_blanked_raw|sender_blanked_frame|sender_blanked_crc_valid|sender_local_source_reject|sender_accepted_remote|receiver_raw|receiver_accepted_remote|sender_last_txd_rise|sender_last_txd_fall|sender_first_rxd_after_tx|sender_last_rxd_after_tx|sender_overlap_violation|sender_admission_violation|sender_non_target_accepted|sender_cross_lane_accepted|receiver_overlap_violation|receiver_admission_violation|receiver_non_target_accepted|receiver_cross_lane_accepted
0|F0|0|1|0|1|1|1|0|0|0|0|1|0|31532609|31532614|0|0|0|0|0|0|0|0|0|0
1|F0|0|1|0|1|1|1|0|0|0|0|1|0|38490465|38490470|0|0|0|0|0|0|0|0|0|0
2|F0|0|1|0|1|1|1|0|0|0|0|1|0|48482144|48482149|0|0|0|0|0|0|0|0|0|0
3|F0|0|1|0|1|1|1|0|0|0|0|1|0|55973312|55973317|0|0|0|0|0|0|0|0|0|0
4|F0|0|1|0|1|1|1|0|0|0|0|1|0|63111186|63111191|0|0|0|0|0|0|0|0|0|0
5|F0|0|1|0|1|1|1|0|0|0|0|1|0|72581495|72581500|0|0|0|0|0|0|0|0|0|0
6|F0|0|1|0|1|1|1|0|0|0|0|1|0|80670235|80670240|0|0|0|0|0|0|0|0|0|0
7|F0|0|1|0|1|1|1|0|0|0|0|1|0|89624197|89624202|0|0|0|0|0|0|0|0|0|0
8|F0|0|1|0|1|1|1|0|0|0|0|1|0|97571558|97571563|0|0|0|0|0|0|0|0|0|0
9|F0|0|1|0|1|1|1|0|0|0|0|1|0|104150296|104150301|0|0|0|0|0|0|0|0|0|0
10|F0|0|1|0|1|1|1|0|0|0|0|1|0|114966825|114966830|0|0|0|0|0|0|0|0|0|0
11|F0|0|1|0|1|1|1|0|0|0|0|1|0|123065454|123065459|0|0|0|0|0|0|0|0|0|0
12|F0|0|1|0|1|1|1|0|0|0|0|1|0|131395165|131395170|0|0|0|0|0|0|0|0|0|0
13|F0|0|1|0|1|1|1|0|0|0|0|1|0|140181126|140181131|0|0|0|0|0|0|0|0|0|0
14|F0|0|1|0|1|1|1|0|0|0|0|1|0|148629719|148629724|0|0|0|0|0|0|0|0|0|0
15|F0|0|1|0|1|1|1|0|0|0|0|1|0|157743383|157743388|0|0|0|0|0|0|0|0|0|0
16|F0|0|1|0|1|1|1|0|0|0|0|1|0|165507950|165507955|0|0|0|0|0|0|0|0|0|0
17|F0|0|1|0|1|1|1|0|0|0|0|1|0|173375278|173375283|0|0|0|0|0|0|0|0|0|0
18|F0|0|1|0|1|1|1|0|0|0|0|1|0|183369294|183369299|0|0|0|0|0|0|0|0|0|0
19|F0|0|1|0|1|1|1|0|0|0|0|1|0|192184166|192184171|0|0|0|0|0|0|0|0|0|0
20|F0|0|1|0|1|1|1|0|0|0|0|1|0|199228879|199228884|0|0|0|0|0|0|0|0|0|0
21|F0|0|1|0|1|1|1|0|0|0|0|1|0|206254153|206254158|0|0|0|0|0|0|0|0|0|0
22|F0|0|1|0|1|1|1|0|0|0|0|1|0|214269007|214269012|0|0|0|0|0|0|0|0|0|0
23|F0|0|1|0|1|1|1|0|0|0|0|1|0|222291086|222291091|0|0|0|0|0|0|0|0|0|0
24|F0|0|1|0|1|1|1|0|0|0|0|1|0|229599087|229599092|0|0|0|0|0|0|0|0|0|0
25|F0|0|1|0|1|1|1|0|0|0|0|1|0|237803805|237803810|0|0|0|0|0|0|0|0|0|0
26|F0|0|1|0|1|1|1|0|0|0|0|1|0|247588975|247588980|0|0|0|0|0|0|0|0|0|0
27|F0|0|1|0|1|1|1|0|0|0|0|1|0|255964004|255964009|0|0|0|0|0|0|0|0|0|0
28|F0|0|1|0|1|1|1|0|0|0|0|1|0|264920550|264920555|0|0|0|0|0|0|0|0|0|0
29|F0|0|1|0|1|1|1|0|0|0|0|1|0|271611709|271611714|0|0|0|0|0|0|0|0|0|0
30|F0|0|1|0|1|1|1|0|0|0|0|1|0|280998528|280998533|0|0|0|0|0|0|0|0|0|0
31|F0|0|1|0|1|1|1|0|0|0|0|1|0|288139465|288139470|0|0|0|0|0|0|0|0|0|0
32|F0|0|1|0|1|1|1|0|0|0|0|1|0|295331813|295331818|0|0|0|0|0|0|0|0|0|0
33|F0|0|1|0|1|1|1|0|0|0|0|1|0|303430214|303430219|0|0|0|0|0|0|0|0|0|0
34|F0|0|1|0|1|1|1|0|0|0|0|1|0|312768795|312768800|0|0|0|0|0|0|0|0|0|0
35|F0|0|1|0|1|1|1|0|0|0|0|1|0|319977460|319977465|0|0|0|0|0|0|0|0|0|0
36|F0|0|1|0|1|1|1|0|0|0|0|1|0|328432494|328432499|0|0|0|0|0|0|0|0|0|0
37|F0|0|1|0|1|1|1|0|0|0|0|1|0|337144548|337144553|0|0|0|0|0|0|0|0|0|0
38|F0|0|1|0|1|1|1|0|0|0|0|1|0|346283924|346283929|0|0|0|0|0|0|0|0|0|0
39|F0|0|1|0|1|1|1|0|0|0|0|1|0|354196116|354196121|0|0|0|0|0|0|0|0|0|0
40|F0|0|1|0|1|1|1|0|0|0|0|1|0|362622373|362622378|0|0|0|0|0|0|0|0|0|0
41|F0|0|1|0|1|1|1|0|0|0|0|1|0|370116741|370116746|0|0|0|0|0|0|0|0|0|0
42|F0|0|1|0|1|1|1|0|0|0|0|1|0|378459325|378459330|0|0|0|0|0|0|0|0|0|0
43|F0|0|1|0|1|1|1|0|0|0|0|1|0|386500228|386500233|0|0|0|0|0|0|0|0|0|0
