captured_ms|sequence|label|role|snapshot_words_csv
1785631429184|1001|ack32_burst32_f2r|fixed|2,1378943233,304,3236225,3206910,3216975,3206910,3216975,3206910,3071,3060,3065,3060,0,0,204,0,94610240,94374336,4096,4096,0,0,3065,3060,360166867,360167288,360166875,360167296,0,0,0,0,0,0,0,0,4096,256,131072,4,3
1785631429184|1001|ack32_burst32_f2r|rotating|2,1378943233,560,3260384,3230985,19901,0,21787,0,402,0,206,0,0,0,3083,3083,1399483,0,14447,0,14191,0,211,0,344739459,0,344739467,0,299402294,0,299415126,0,0,0,0,0,4096,256,131072,4,3
1785631434207|1001|ack32_burst32_f2r|fixed|4,1378943233,271,6470458,6410127,6431600,6410127,6431600,6410127,6140,6117,6127,6116,0,0,412,0,189149415,188630339,4096,4096,0,0,6128,6117,681635028,681635032,681635036,681635040,0,0,0,0,0,0,0,0,4096,256,131072,4,3
1785631434207|1001|ack32_burst32_f2r|rotating|4,1378943233,560,6490162,6430095,39993,0,44131,0,804,0,413,0,0,0,6135,6135,2822021,0,14447,0,14191,0,424,0,665410052,0,665410060,0,632939352,0,632952232,0,0,0,0,0,4096,256,131072,4,3
1785631439217|1001|ack32_burst32_f2r|fixed|6,1378943233,304,9695701,9605012,9637325,9605012,9637325,9605012,9202,9168,9184,9167,0,0,619,0,283490280,282689424,4096,4096,0,0,9184,9167,1002488089,1002488294,1002488097,1002488302,0,0,0,0,0,0,0,0,4096,256,131072,4,3
1785631439217|1001|ack32_burst32_f2r|rotating|6,1378943233,560,9724322,9634031,60174,0,66602,0,1206,0,619,0,0,0,9194,9194,4250950,0,14447,0,14191,0,638,0,987507510,0,987507518,0,966475272,0,966488232,0,0,0,0,0,4096,256,131072,4,3
1785631444224|1001|ack32_burst32_f2r|fixed|8,1378943233,304,12941804,12821799,12863814,12821799,12863814,12821799,12281,12238,12258,12236,0,0,827,0,378379080,377325624,4096,4096,0,0,12258,12236,1320891843,1320939414,1320891851,1320939422,0,0,0,0,0,0,0,0,4096,256,131072,4,3
1785631444224|1001|ack32_burst32_f2r|rotating|8,1378943233,560,12941056,12821799,80167,0,88878,0,1602,0,822,0,0,0,12235,12236,5667136,0,14447,0,14191,0,850,0,1304077660,0,1304077668,0,1300009765,0,1300022597,0,0,0,0,0,4096,256,131072,4,3
1785631449232|1001|ack32_burst32_f2r|fixed|10,1378943233,304,16233714,16082970,16136014,16082970,16136014,16082970,15404,15349,15375,15347,0,0,1036,0,474593944,473273584,4096,4096,0,0,15375,15347,1643280297,1643280822,1643280305,1643280830,0,0,0,0,0,0,0,0,4096,256,131072,4,3
1785631449232|1001|ack32_burst32_f2r|rotating|10,1378943233,560,16257065,16107137,100444,0,111032,0,2012,0,1032,0,0,0,15370,15370,7092148,0,14447,0,14191,0,1065,0,1627585456,0,1627585464,0,1577956819,0,1577969635,0,0,0,0,0,4096,256,131072,4,3
1785631454242|1001|ack32_burst32_f2r|fixed|12,1378943233,271,19460803,19280115,19343577,19280115,19343577,19280115,18466,18400,18431,18397,0,0,1243,0,568925231,567321962,4096,4096,0,0,18431,18397,1964125945,1964126222,1964125953,1964126230,0,0,0,0,0,0,0,0,4096,256,131072,4,3
1785631454242|1001|ack32_burst32_f2r|rotating|12,1378943233,560,19483939,19304287,120539,0,133402,0,2414,0,1239,0,0,0,18420,18420,8514630,0,14447,0,14191,0,1278,0,1948252258,0,1948252266,0,1911493506,0,1911506322,0,0,0,0,0,4096,256,131072,4,3
