sample|module|direction|lane_mask|tail_cycles|sender_raw|sender_raw_while_tx|sender_blanked_raw|sender_blanked_frame|sender_blanked_crc_valid|sender_local_source_reject|sender_accepted_remote|receiver_raw|receiver_accepted_remote|sender_last_txd_rise|sender_last_txd_fall|sender_first_rxd_after_tx|sender_last_rxd_after_tx|sender_overlap_violation|sender_admission_violation|sender_non_target_accepted|sender_cross_lane_accepted|receiver_overlap_violation|receiver_admission_violation|receiver_non_target_accepted|receiver_cross_lane_accepted
0|R0|1|1|0|1|1|1|0|0|0|0|1|0|3289138473|3289138478|0|0|0|0|0|0|0|0|0|0
1|R0|1|1|0|1|1|1|0|0|0|0|1|0|3297011932|3297011937|0|0|0|0|0|0|0|0|0|0
2|R0|1|1|0|1|1|1|0|0|0|0|1|0|3304046917|3304046922|0|0|0|0|0|0|0|0|0|0
3|R0|1|1|0|1|1|1|0|0|0|0|1|0|3312244854|3312244859|0|0|0|0|0|0|0|0|0|0
4|R0|1|1|0|1|1|1|0|0|0|0|1|0|3321188183|3321188188|0|0|0|0|0|0|0|0|0|0
5|R0|1|1|0|1|1|1|0|0|0|0|1|0|3328775798|3328775803|0|0|0|0|0|0|0|0|0|0
6|R0|1|1|0|1|1|1|0|0|0|0|1|0|3336462879|3336462884|0|0|0|0|0|0|0|0|0|0
7|R0|1|1|0|1|1|1|0|0|0|0|1|0|3342961202|3342961207|0|0|0|0|0|0|0|0|0|0
8|R0|1|1|0|1|1|1|0|0|0|0|1|0|3351779237|3351779242|0|0|0|0|0|0|0|0|0|0
9|R0|1|1|0|1|1|1|0|0|0|0|1|0|3359039301|3359039306|0|0|0|0|0|0|0|0|0|0
10|R0|1|1|0|1|1|1|0|0|0|0|1|0|3367375404|3367375409|0|0|0|0|0|0|0|0|0|0
11|R0|1|1|0|1|1|1|0|0|0|0|1|0|3374976009|3374976014|0|0|0|0|0|0|0|0|0|0
12|R0|1|1|0|1|1|1|0|0|0|0|1|0|3385448700|3385448705|0|0|0|0|0|0|0|0|0|0
13|R0|1|1|0|1|1|1|0|0|0|0|1|0|3393389603|3393389608|0|0|0|0|0|0|0|0|0|0
14|R0|1|1|0|1|1|1|0|0|0|0|1|0|3401787447|3401787452|0|0|0|0|0|0|0|0|0|0
15|R0|1|1|0|1|1|1|0|0|0|0|1|0|3409834367|3409834372|0|0|0|0|0|0|0|0|0|0
16|R0|1|1|0|1|1|1|0|0|0|0|1|0|3419622702|3419622707|0|0|0|0|0|0|0|0|0|0
17|R0|1|1|0|1|1|1|0|0|0|0|1|0|3426805614|3426805619|0|0|0|0|0|0|0|0|0|0
18|R0|1|1|0|1|1|1|0|0|0|0|1|0|3434727493|3434727498|0|0|0|0|0|0|0|0|0|0
19|R0|1|1|0|1|1|1|0|0|0|0|1|0|3444532654|3444532659|0|0|0|0|0|0|0|0|0|0
20|R0|1|1|0|1|1|1|0|0|0|0|1|0|3450976809|3450976814|0|0|0|0|0|0|0|0|0|0
21|R0|1|1|0|1|1|1|0|0|0|0|1|0|3460398879|3460398884|0|0|0|0|0|0|0|0|0|0
22|R0|1|1|0|1|1|1|0|0|0|0|1|0|3469066574|3469066579|0|0|0|0|0|0|0|0|0|0
23|R0|1|1|0|1|1|1|0|0|0|0|1|0|3477743231|3477743236|0|0|0|0|0|0|0|0|0|0
24|R0|1|1|0|1|1|1|0|0|0|0|1|0|3486021806|3486021811|0|0|0|0|0|0|0|0|0|0
25|R0|1|1|0|1|1|1|0|0|0|0|1|0|3493233507|3493233512|0|0|0|0|0|0|0|0|0|0
26|R0|1|1|0|1|1|1|0|0|0|0|1|0|3499780154|3499780159|0|0|0|0|0|0|0|0|0|0
27|R0|1|1|0|1|1|1|0|0|0|0|1|0|3507531479|3507531484|0|0|0|0|0|0|0|0|0|0
28|R0|1|1|0|1|1|1|0|0|0|0|1|0|3516034641|3516034646|0|0|0|0|0|0|0|0|0|0
29|R0|1|1|0|1|1|1|0|0|0|0|1|0|3525996466|3525996471|0|0|0|0|0|0|0|0|0|0
30|R0|1|1|0|1|1|1|0|0|0|0|1|0|3532857832|3532857837|0|0|0|0|0|0|0|0|0|0
31|R0|1|1|0|1|1|1|0|0|0|0|1|0|3539452622|3539452627|0|0|0|0|0|0|0|0|0|0
32|R0|1|1|0|1|1|1|0|0|0|0|1|0|3550513230|3550513235|0|0|0|0|0|0|0|0|0|0
33|R0|1|1|0|1|1|1|0|0|0|0|1|0|3558312892|3558312897|0|0|0|0|0|0|0|0|0|0
34|R0|1|1|0|1|1|1|0|0|0|0|1|0|3565428163|3565428168|0|0|0|0|0|0|0|0|0|0
35|R0|1|1|0|1|1|1|0|0|0|0|1|0|3573218070|3573218075|0|0|0|0|0|0|0|0|0|0
36|R0|1|1|0|1|1|1|0|0|0|0|1|0|3582929334|3582929339|0|0|0|0|0|0|0|0|0|0
37|R0|1|1|0|1|1|1|0|0|0|0|1|0|3591837349|3591837354|0|0|0|0|0|0|0|0|0|0
38|R0|1|1|0|1|1|1|0|0|0|0|1|0|3600719669|3600719674|0|0|0|0|0|0|0|0|0|0
39|R0|1|1|0|1|1|1|0|0|0|0|1|0|3608985824|3608985829|0|0|0|0|0|0|0|0|0|0
40|R0|1|1|0|1|1|1|0|0|0|0|1|0|3615053713|3615053718|0|0|0|0|0|0|0|0|0|0
