sample|module|direction|lane_mask|tail_cycles|sender_raw|sender_raw_while_tx|sender_blanked_raw|sender_blanked_frame|sender_blanked_crc_valid|sender_local_source_reject|sender_accepted_remote|receiver_raw|receiver_accepted_remote|sender_last_txd_rise|sender_last_txd_fall|sender_first_rxd_after_tx|sender_last_rxd_after_tx|sender_overlap_violation|sender_admission_violation|sender_non_target_accepted|sender_cross_lane_accepted|receiver_overlap_violation|receiver_admission_violation|receiver_non_target_accepted|receiver_cross_lane_accepted
0|R0|1|1|0|1|1|1|0|0|0|0|1|0|3560904041|3560904046|0|0|0|0|0|0|0|0|0|0
1|R0|1|1|0|1|1|1|0|0|0|0|1|0|3568768052|3568768057|0|0|0|0|0|0|0|0|0|0
2|R0|1|1|0|1|1|1|0|0|0|0|1|0|3576448745|3576448750|0|0|0|0|0|0|0|0|0|0
3|R0|1|1|0|1|1|1|0|0|0|0|1|0|3582773573|3582773578|0|0|0|0|0|0|0|0|0|0
4|R0|1|1|0|1|1|1|0|0|0|0|1|0|3590104212|3590104217|0|0|0|0|0|0|0|0|0|0
5|R0|1|1|0|1|1|1|0|0|0|0|1|0|3598658829|3598658834|0|0|0|0|0|0|0|0|0|0
6|R0|1|1|0|1|1|1|0|0|0|0|1|0|3606639104|3606639109|0|0|0|0|0|0|0|0|0|0
7|R0|1|1|0|1|1|1|0|0|0|0|1|0|3612983525|3612983530|0|0|0|0|0|0|0|0|0|0
8|R0|1|1|0|1|1|1|0|0|0|0|1|0|3620863645|3620863650|0|0|0|0|0|0|0|0|0|0
9|R0|1|1|0|1|1|1|0|0|0|0|1|0|3628959085|3628959090|0|0|0|0|0|0|0|0|0|0
10|R0|1|1|0|1|1|1|0|0|0|0|1|0|3637623703|3637623708|0|0|0|0|0|0|0|0|0|0
11|R0|1|1|0|1|1|1|0|0|0|0|1|0|3643903552|3643903557|0|0|0|0|0|0|0|0|0|0
12|R0|1|1|0|1|1|1|0|0|0|0|1|0|3652676644|3652676649|0|0|0|0|0|0|0|0|0|0
13|R0|1|1|0|1|1|1|0|0|0|0|1|0|3659133271|3659133276|0|0|0|0|0|0|0|0|0|0
14|R0|1|1|0|1|1|1|0|0|0|0|1|0|3664712714|3664712719|0|0|0|0|0|0|0|0|0|0
15|R0|1|1|0|1|1|1|0|0|0|0|1|0|3673797508|3673797513|0|0|0|0|0|0|0|0|0|0
16|R0|1|1|0|1|1|1|0|0|0|0|1|0|3679650094|3679650099|0|0|0|0|0|0|0|0|0|0
17|R0|1|1|0|1|1|1|0|0|0|0|1|0|3687205481|3687205486|0|0|0|0|0|0|0|0|0|0
18|R0|1|1|0|1|1|1|0|0|0|0|1|0|3694767305|3694767310|0|0|0|0|0|0|0|0|0|0
19|R0|1|1|0|1|1|1|0|0|0|0|1|0|3703473797|3703473802|0|0|0|0|0|0|0|0|0|0
20|R0|1|1|0|1|1|1|0|0|0|0|1|0|3710132782|3710132787|0|0|0|0|0|0|0|0|0|0
21|R0|1|1|0|1|1|1|0|0|0|0|1|0|3717980841|3717980846|0|0|0|0|0|0|0|0|0|0
