sample|module|direction|lane_mask|tail_cycles|sender_raw|sender_raw_while_tx|sender_blanked_raw|sender_blanked_frame|sender_blanked_crc_valid|sender_local_source_reject|sender_accepted_remote|receiver_raw|receiver_accepted_remote|sender_last_txd_rise|sender_last_txd_fall|sender_first_rxd_after_tx|sender_last_rxd_after_tx|sender_overlap_violation|sender_admission_violation|sender_non_target_accepted|sender_cross_lane_accepted|receiver_overlap_violation|receiver_admission_violation|receiver_non_target_accepted|receiver_cross_lane_accepted
0|F1|0|2|0|1|1|1|0|0|0|0|1|0|3895593395|3895593400|0|0|0|0|0|0|0|0|0|0
1|F1|0|2|0|1|1|1|0|0|0|0|1|0|3902750342|3902750347|0|0|0|0|0|0|0|0|0|0
2|F1|0|2|0|1|1|1|0|0|0|0|1|0|3910001309|3910001314|0|0|0|0|0|0|0|0|0|0
3|F1|0|2|0|1|1|1|0|0|0|0|1|0|3917312526|3917312531|0|0|0|0|0|0|0|0|0|0
4|F1|0|2|0|1|1|1|0|0|0|0|1|0|3923650171|3923650176|0|0|0|0|0|0|0|0|0|0
5|F1|0|2|0|1|1|1|0|0|0|0|1|0|3933027246|3933027251|0|0|0|0|0|0|0|0|0|0
6|F1|0|2|0|1|1|1|0|0|0|0|1|0|3941826278|3941826283|0|0|0|0|0|0|0|0|0|0
7|F1|0|2|0|1|1|1|0|0|0|0|1|0|3949937719|3949937724|0|0|0|0|0|0|0|0|0|0
8|F1|0|2|0|1|1|1|0|0|0|0|1|0|3960269037|3960269042|0|0|0|0|0|0|0|0|0|0
9|F1|0|2|0|1|1|1|0|0|0|0|1|0|3970532878|3970532883|0|0|0|0|0|0|0|0|0|0
10|F1|0|2|0|1|1|1|0|0|0|0|1|0|3979524397|3979524402|0|0|0|0|0|0|0|0|0|0
11|F1|0|2|0|1|1|1|0|0|0|0|1|0|3988281449|3988281454|0|0|0|0|0|0|0|0|0|0
12|F1|0|2|0|1|1|1|0|0|0|0|1|0|3997240852|3997240857|0|0|0|0|0|0|0|0|0|0
13|F1|0|2|0|1|1|1|0|0|0|0|1|0|4004285517|4004285522|0|0|0|0|0|0|0|0|0|0
14|F1|0|2|0|1|1|1|0|0|0|0|1|0|4011358935|4011358940|0|0|0|0|0|0|0|0|0|0
15|F1|0|2|0|1|1|1|0|0|0|0|1|0|4019052454|4019052459|0|0|0|0|0|0|0|0|0|0
16|F1|0|2|0|1|1|1|0|0|0|0|1|0|4028461665|4028461670|0|0|0|0|0|0|0|0|0|0
17|F1|0|2|0|1|1|1|0|0|0|0|1|0|4035320059|4035320064|0|0|0|0|0|0|0|0|0|0
18|F1|0|2|0|1|1|1|0|0|0|0|1|0|4041802304|4041802309|0|0|0|0|0|0|0|0|0|0
19|F1|0|2|0|1|1|1|0|0|0|0|1|0|4049267694|4049267699|0|0|0|0|0|0|0|0|0|0
20|F1|0|2|0|1|1|1|0|0|0|0|1|0|4055094498|4055094503|0|0|0|0|0|0|0|0|0|0
