sample|module|direction|lane_mask|tail_cycles|sender_raw|sender_raw_while_tx|sender_blanked_raw|sender_blanked_frame|sender_blanked_crc_valid|sender_local_source_reject|sender_accepted_remote|receiver_raw|receiver_accepted_remote|sender_last_txd_rise|sender_last_txd_fall|sender_first_rxd_after_tx|sender_last_rxd_after_tx|sender_overlap_violation|sender_admission_violation|sender_non_target_accepted|sender_cross_lane_accepted|receiver_overlap_violation|receiver_admission_violation|receiver_non_target_accepted|receiver_cross_lane_accepted
0|R1|1|2|0|1|1|1|0|0|0|0|1|0|3026963734|3026963739|0|0|0|0|0|0|0|0|0|0
1|R1|1|2|0|1|1|1|0|0|0|0|1|0|3035431557|3035431562|0|0|0|0|0|0|0|0|0|0
2|R1|1|2|0|1|1|1|0|0|0|0|1|0|3043472149|3043472154|0|0|0|0|0|0|0|0|0|0
3|R1|1|2|0|1|1|1|0|0|0|0|1|0|3049109407|3049109412|0|0|0|0|0|0|0|0|0|0
4|R1|1|2|0|1|1|1|0|0|0|0|1|0|3057628620|3057628625|0|0|0|0|0|0|0|0|0|0
5|R1|1|2|0|1|1|1|0|0|0|0|1|0|3064236142|3064236147|0|0|0|0|0|0|0|0|0|0
6|R1|1|2|0|1|1|1|0|0|0|0|1|0|3070872576|3070872581|0|0|0|0|0|0|0|0|0|0
7|R1|1|2|0|1|1|1|0|0|0|0|1|0|3079806243|3079806248|0|0|0|0|0|0|0|0|0|0
8|R1|1|2|0|1|1|1|0|0|0|0|1|0|3088493142|3088493147|0|0|0|0|0|0|0|0|0|0
9|R1|1|2|0|1|1|1|0|0|0|0|1|0|3095360910|3095360915|0|0|0|0|0|0|0|0|0|0
10|R1|1|2|0|1|1|1|0|0|0|0|1|0|3102588823|3102588828|0|0|0|0|0|0|0|0|0|0
11|R1|1|2|0|1|1|1|0|0|0|0|1|0|3110687154|3110687159|0|0|0|0|0|0|0|0|0|0
12|R1|1|2|0|1|1|1|0|0|0|0|1|0|3119758990|3119758995|0|0|0|0|0|0|0|0|0|0
13|R1|1|2|0|1|1|1|0|0|0|0|1|0|3128214620|3128214625|0|0|0|0|0|0|0|0|0|0
14|R1|1|2|0|1|1|1|0|0|0|0|1|0|3137206805|3137206810|0|0|0|0|0|0|0|0|0|0
15|R1|1|2|0|1|1|1|0|0|0|0|1|0|3145491470|3145491475|0|0|0|0|0|0|0|0|0|0
16|R1|1|2|0|1|1|1|0|0|0|0|1|0|3155684608|3155684613|0|0|0|0|0|0|0|0|0|0
17|R1|1|2|0|1|1|1|0|0|0|0|1|0|3163715459|3163715464|0|0|0|0|0|0|0|0|0|0
18|R1|1|2|0|1|1|1|0|0|0|0|1|0|3170769708|3170769713|0|0|0|0|0|0|0|0|0|0
19|R1|1|2|0|1|1|1|0|0|0|0|1|0|3177801340|3177801345|0|0|0|0|0|0|0|0|0|0
20|R1|1|2|0|1|1|1|0|0|0|0|1|0|3187139875|3187139880|0|0|0|0|0|0|0|0|0|0
21|R1|1|2|0|1|1|1|0|0|0|0|1|0|3193442174|3193442179|0|0|0|0|0|0|0|0|0|0
22|R1|1|2|0|1|1|1|0|0|0|0|1|0|3200760053|3200760058|0|0|0|0|0|0|0|0|0|0
23|R1|1|2|0|1|1|1|0|0|0|0|1|0|3210137116|3210137121|0|0|0|0|0|0|0|0|0|0
24|R1|1|2|0|1|1|1|0|0|0|0|1|0|3217438956|3217438961|0|0|0|0|0|0|0|0|0|0
25|R1|1|2|0|1|1|1|0|0|0|0|1|0|3225412229|3225412234|0|0|0|0|0|0|0|0|0|0
26|R1|1|2|0|1|1|1|0|0|0|0|1|0|3232993553|3232993558|0|0|0|0|0|0|0|0|0|0
27|R1|1|2|0|1|1|1|0|0|0|0|1|0|3238965155|3238965160|0|0|0|0|0|0|0|0|0|0
