captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1785676392993|1001|stream64_f2r_1|fixed|2,1378943233,271,6142242,6098915,6107271,6098915,6107271,6098915,5830,5819,5818,5818,0,0,371,0,179597553,179434392,4096,4096,0,0,5819,5819,359684892,359684913,359684900,359684897,0,0,0,0,0,0,0,0,4096,256,131072,4,3|4,0,67108864,262144,256,0,0,0,0,56,0,44,0,14,11,0,1,56,0|4,977687632,0,2899392,0,0,0,0,0,3073011,0,11,0,320613035,0,320613035,0,2080,314564549,0,8351134,0,0,0,0,0
1785676392993|1001|stream64_f2r_1|rotating|2,1378943233,560,6220046,6175679,35540,0,35540,0,754,0,377,0,0,0,5892,5892,2407952,0,4096,0,0,0,377,0,346179620,0,346179628,0,0,0,0,0,0,0,0,0,4096,256,131072,4,3|4,0,67108864,262144,256,0,0,0,0,56,0,44,0,14,11,0,1,56,0|4,394488731,0,0,0,2883584,0,2883584,0,8955,0,0,11,0,0,0,0,0,0,0,6872054,0,0,0,0,0
1785676397993|1001|stream64_f2r_1|fixed|4,1378943233,271,12399435,12311100,12328545,12311100,12328545,12311100,11771,11748,11747,11747,0,0,752,0,362618304,362260036,4096,4096,0,0,11748,11748,679707786,679707767,679707770,679707775,0,0,0,0,0,0,0,0,4096,256,131072,4,3|4,0,67108864,262144,256,0,0,0,0,100,0,88,0,25,22,0,1,100,0|6,1297883906,0,5830400,0,0,0,0,0,6184344,0,22,0,640076557,0,640076557,0,2080,633174481,0,9783650,0,0,0,0,0
1785676397993|1001|stream64_f2r_1|rotating|4,1378943233,560,12468816,12380194,71266,0,71266,0,1512,0,756,0,0,0,11813,11813,4828616,0,4096,0,0,0,756,0,665641334,0,665641342,0,0,0,0,0,0,0,0,0,4096,256,131072,4,3|4,0,67108864,262144,256,0,0,0,0,100,0,88,0,25,22,0,1,100,0|6,714382643,0,0,0,5767168,0,5767168,0,17887,0,0,22,0,0,0,0,0,0,0,6894848,0,0,0,0,0
1785676403001|1001|stream64_f2r_1|fixed|6,1378943233,271,18671447,18539285,18564738,18539285,18564738,18539285,17723,17689,17688,17688,0,0,1132,0,546009579,545470040,4096,4096,0,0,17689,17689,1000253245,1000253250,1000253253,1000253234,0,0,0,0,0,0,0,0,4096,256,131072,4,3|4,0,67108864,262144,256,0,0,0,0,144,0,132,0,36,33,0,1,144,0|8,1618220646,0,8761408,0,0,0,0,0,9298406,0,33,0,959680545,0,959680545,0,2080,951919791,0,11221254,0,0,0,0,0
1785676403001|1001|stream64_f2r_1|rotating|6,1378943233,560,18736221,18603731,107088,0,107088,0,2272,0,1136,0,0,0,17750,17750,7255696,0,4096,0,0,0,1136,0,985967694,0,985967702,0,0,0,0,0,0,0,0,0,4096,256,131072,4,3|4,0,67108864,262144,256,0,0,0,0,144,0,132,0,36,33,0,1,144,0|8,1034300850,0,0,0,8650752,0,8650752,0,26843,0,0,33,0,0,0,0,0,0,0,6914771,0,0,0,0,0
1785676408007|1001|stream64_f2r_1|fixed|8,1378943233,271,24940134,24764118,24797601,24764118,24797601,24764118,23672,23627,23627,23626,0,0,1512,0,729313246,728595409,4096,4096,0,0,23627,23627,1320643647,1320643708,1320643655,1320643716,0,0,0,0,0,0,0,0,4096,256,131072,4,3|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|10,1938639538,0,11692416,0,0,0,0,0,12412979,0,44,0,1279366685,0,1279366685,0,2080,1270749660,0,12656451,0,0,0,0,0
1785676408007|1001|stream64_f2r_1|rotating|8,1378943233,560,25010811,24834480,142910,0,142910,0,3032,0,1516,0,0,0,23694,23694,9682768,0,4096,0,0,0,1516,0,1306291615,0,1306291623,0,0,0,0,0,0,0,0,0,4096,256,131072,4,3|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|10,1354015497,0,0,0,11534336,0,11534336,0,35774,0,0,44,0,0,0,0,0,0,0,6938352,0,0,0,0,0
1785676413015|1001|stream64_f2r_1|fixed|10,1378943233,271,31204408,30982398,31026054,30982398,31026054,30982398,29621,29565,29564,29564,0,0,1892,0,912588911,911691408,4096,4096,0,0,29565,29565,1640995289,1640995310,1640995297,1640995270,0,0,0,0,0,0,0,0,4096,256,131072,4,3|4,0,67108864,262144,256,0,0,0,0,232,0,220,0,58,55,0,1,232,0|12,2259264924,0,14623424,0,0,0,0,0,15527592,0,55,0,1599259319,0,1599259319,0,2080,1589787538,0,14090133,0,0,0,0,0
1785676413015|1001|stream64_f2r_1|rotating|10,1378943233,560,31278419,31056080,178728,0,178728,0,3792,0,1896,0,0,0,29634,29634,12109904,0,4096,0,0,0,1896,0,1626614031,0,1626614039,0,0,0,0,0,0,0,0,0,4096,256,131072,4,3|4,0,67108864,262144,256,0,0,0,0,232,0,220,0,58,55,0,1,232,0|12,1675042723,0,0,0,14417920,0,14417920,0,44752,0,0,55,0,0,0,0,0,0,0,6958332,0,0,0,0,0
