captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1785693832265|1001|ack32_burst32_f2r|fixed|2,1378943233,304,6136077,6091889,6101106,6091889,6101106,6091889,5824,5813,5813,5813,0,0,371,0,179435136,179271728,4096,4096,0,0,5813,5813,360654384,360654725,360654392,360654733,0,0,0,0,0,0,0,0,4096,256,131072,4,3|4,0,15000000,262144,58,0,0,0,0,56,0,44,0,14,11,0,1,56,0|4,986790960,0,2899392,0,0,0,0,0,3071946,0,11,0,320571429,0,320571429,0,2080,314507940,0,8367700,0,0,0,0,0
1785693832265|1001|ack32_burst32_f2r|rotating|2,1378943233,560,6198661,6153467,35350,0,35350,0,750,0,375,0,0,0,5872,5872,2395152,0,4096,0,0,0,375,0,346053663,0,346053671,0,0,0,0,0,0,0,0,0,4096,256,131072,4,3|4,0,15000000,262144,58,0,0,0,0,56,0,44,0,14,11,0,1,56,0|4,390385841,0,0,0,2883584,0,2883584,0,8908,0,0,11,0,0,0,0,0,0,0,6870066,0,0,0,0,0
1785693837265|1001|ack32_burst32_f2r|fixed|4,1378943233,271,12394629,12305834,12323834,12305834,12323834,12305834,11767,11746,11743,11743,0,0,751,0,362497566,362139128,4096,4096,0,0,11744,11744,680764454,680764475,680764462,680764435,0,0,0,0,0,0,0,0,4096,256,131072,4,3|4,0,15000000,262144,58,0,0,0,0,100,0,88,0,25,22,0,1,100,0|6,1306631492,0,5822496,0,0,0,0,0,6179955,0,22,0,639681185,0,639681185,0,2080,632762680,0,9799945,0,0,0,0,0
1785693837265|1001|ack32_burst32_f2r|rotating|4,1378943233,560,12459942,12370756,71171,0,71171,0,1510,0,755,0,0,0,11805,11805,4822232,0,4096,0,0,0,755,0,666374572,0,666374580,0,0,0,0,0,0,0,0,0,4096,256,131072,4,3|4,0,15000000,262144,58,0,0,0,0,100,0,88,0,25,22,0,1,100,0|6,710360603,0,0,0,5767168,0,5767168,0,17840,0,0,22,0,0,0,0,0,0,0,6895806,0,0,0,0,0
1785693842271|1001|ack32_burst32_f2r|fixed|6,1378943233,271,18682186,18548241,18575383,18548241,18575383,18548241,17734,17703,17699,17699,0,0,1133,0,546337390,545799297,4096,4096,0,0,17700,17700,1002093100,1002093137,1002093108,1002093145,0,0,0,0,0,0,0,0,4096,256,131072,4,3|4,0,15000000,262144,58,0,0,0,0,144,0,132,0,36,33,0,1,144,0|8,1628447001,0,8769312,0,0,0,0,0,9308230,0,33,0,960759990,0,960759990,0,2080,952991934,0,11231816,0,0,0,0,0
1785693842271|1001|ack32_burst32_f2r|rotating|6,1378943233,560,18753865,18619482,107183,0,107183,0,2274,0,1137,0,0,0,17767,17767,7262096,0,4096,0,0,0,1137,0,988414223,0,988414231,0,0,0,0,0,0,0,0,0,4096,256,131072,4,3|4,0,15000000,262144,58,0,0,0,0,144,0,132,0,36,33,0,1,144,0|8,1032023208,0,0,0,8650752,0,8650752,0,26843,0,0,33,0,0,0,0,0,0,0,6915159,0,0,0,0,0
1785693847299|1001|ack32_burst32_f2r|fixed|8,1378943233,304,24955494,24777396,24812866,24777396,24812866,24777396,23687,23645,23642,23642,0,0,1513,0,729778592,729062216,4096,4096,0,0,23642,23642,1322714800,1322715117,1322714808,1322715125,0,0,0,0,0,0,0,0,4096,256,131072,4,3|4,0,15000000,262144,58,0,0,0,0,188,0,176,0,47,44,0,1,188,0|10,1948809515,0,11700320,0,0,0,0,0,12422228,0,44,0,1280389752,0,1280389752,0,2080,1271763690,0,12668748,0,0,0,0,0
1785693847299|1001|ack32_burst32_f2r|rotating|8,1378943233,560,25030475,24851956,143005,0,143005,0,3034,0,1517,0,0,0,23713,23713,9689160,0,4096,0,0,0,1517,0,1308739835,0,1308739843,0,0,0,0,0,0,0,0,0,4096,256,131072,4,3|4,0,15000000,262144,58,0,0,0,0,188,0,176,0,47,44,0,1,188,0|10,1352823980,0,0,0,11534336,0,11534336,0,35821,0,0,44,0,0,0,0,0,0,0,6938513,0,0,0,0,0
1785693852310|1001|ack32_burst32_f2r|fixed|10,1378943233,271,31225944,31003761,31047496,31003761,31047496,31003761,29643,29590,29586,29586,0,0,1893,0,913261416,912364875,4096,4096,0,0,29587,29587,1643433311,1643433300,1643433319,1643433316,0,0,0,0,0,0,0,0,4096,256,131072,4,3|4,0,15000000,262144,58,0,0,0,0,229,0,220,0,58,55,0,1,229,0|12,2269530948,0,14631328,0,0,0,0,0,15537628,0,55,0,1600378433,0,1600378433,0,2080,1590899278,0,14100767,0,0,0,0,0
1785693852310|1001|ack32_burst32_f2r|rotating|10,1378943233,560,31300641,31077958,178915,0,178915,0,3796,0,1898,0,0,0,29656,29656,12122688,0,4096,0,0,0,1898,0,1629920069,0,1629920077,0,0,0,0,0,0,0,0,0,4096,256,131072,4,3|4,0,15000000,262144,58,0,0,0,0,229,0,220,0,58,55,0,1,229,0|12,1673469365,0,0,0,14417920,0,14417920,0,44775,0,0,55,0,0,0,0,0,0,0,6952276,0,0,0,0,0
