sample|module|direction|lane_mask|tail_cycles|sender_raw|sender_raw_while_tx|sender_blanked_raw|sender_blanked_frame|sender_blanked_crc_valid|sender_local_source_reject|sender_accepted_remote|receiver_raw|receiver_accepted_remote|sender_last_txd_rise|sender_last_txd_fall|sender_first_rxd_after_tx|sender_last_rxd_after_tx|sender_overlap_violation|sender_admission_violation|sender_non_target_accepted|sender_cross_lane_accepted|receiver_overlap_violation|receiver_admission_violation|receiver_non_target_accepted|receiver_cross_lane_accepted
0|F1|0|2|0|1|1|1|0|0|0|0|1|0|3912488261|3912488266|0|0|0|0|0|0|0|0|0|0
1|F1|0|2|0|1|1|1|0|0|0|0|1|0|3920499891|3920499896|0|0|0|0|0|0|0|0|0|0
2|F1|0|2|0|1|1|1|0|0|0|0|1|0|3928318693|3928318698|0|0|0|0|0|0|0|0|0|0
3|F1|0|2|0|1|1|1|0|0|0|0|1|0|3937333641|3937333646|0|0|0|0|0|0|0|0|0|0
4|F1|0|2|0|1|1|1|0|0|0|0|1|0|3944532590|3944532595|0|0|0|0|0|0|0|0|0|0
5|F1|0|2|0|1|1|1|0|0|0|0|1|0|3951998186|3951998191|0|0|0|0|0|0|0|0|0|0
6|F1|0|2|0|1|1|1|0|0|0|0|1|0|3958766366|3958766371|0|0|0|0|0|0|0|0|0|0
7|F1|0|2|0|1|1|1|0|0|0|0|1|0|3966103228|3966103233|0|0|0|0|0|0|0|0|0|0
8|F1|0|2|0|1|1|1|0|0|0|0|1|0|3974256180|3974256185|0|0|0|0|0|0|0|0|0|0
9|F1|0|2|0|1|1|1|0|0|0|0|1|0|3982046073|3982046078|0|0|0|0|0|0|0|0|0|0
10|F1|0|2|0|1|1|1|0|0|0|0|1|0|3989373290|3989373295|0|0|0|0|0|0|0|0|0|0
11|F1|0|2|0|1|1|1|0|0|0|0|1|0|3996102894|3996102899|0|0|0|0|0|0|0|0|0|0
12|F1|0|2|0|1|1|1|0|0|0|0|1|0|4006675824|4006675829|0|0|0|0|0|0|0|0|0|0
13|F1|0|2|0|1|1|1|0|0|0|0|1|0|4014076905|4014076910|0|0|0|0|0|0|0|0|0|0
14|F1|0|2|0|1|1|1|0|0|0|0|1|0|4021442681|4021442686|0|0|0|0|0|0|0|0|0|0
15|F1|0|2|0|1|1|1|0|0|0|0|1|0|4029242469|4029242474|0|0|0|0|0|0|0|0|0|0
16|F1|0|2|0|1|1|1|0|0|0|0|1|0|4039785861|4039785866|0|0|0|0|0|0|0|0|0|0
17|F1|0|2|0|1|1|1|0|0|0|0|1|0|4047013761|4047013766|0|0|0|0|0|0|0|0|0|0
18|F1|0|2|0|1|1|1|0|0|0|0|1|0|4055041415|4055041420|0|0|0|0|0|0|0|0|0|0
19|F1|0|2|0|1|1|1|0|0|0|0|1|0|4062953706|4062953711|0|0|0|0|0|0|0|0|0|0
20|F1|0|2|0|1|1|1|0|0|0|0|1|0|4073404121|4073404126|0|0|0|0|0|0|0|0|0|0
21|F1|0|2|0|1|1|1|0|0|0|0|1|0|4081836590|4081836595|0|0|0|0|0|0|0|0|0|0
22|F1|0|2|0|1|1|1|0|0|0|0|1|0|4089321514|4089321519|0|0|0|0|0|0|0|0|0|0
23|F1|0|2|0|1|1|1|0|0|0|0|1|0|4097927989|4097927994|0|0|0|0|0|0|0|0|0|0
24|F1|0|2|0|1|1|1|0|0|0|0|1|0|4104930711|4104930716|0|0|0|0|0|0|0|0|0|0
25|F1|0|2|0|1|1|1|0|0|0|0|1|0|4112968016|4112968021|0|0|0|0|0|0|0|0|0|0
26|F1|0|2|0|1|1|1|0|0|0|0|1|0|4120218119|4120218124|0|0|0|0|0|0|0|0|0|0
27|F1|0|2|0|1|1|1|0|0|0|0|1|0|4129807412|4129807417|0|0|0|0|0|0|0|0|0|0
28|F1|0|2|0|1|1|1|0|0|0|0|1|0|4138606135|4138606140|0|0|0|0|0|0|0|0|0|0
29|F1|0|2|0|1|1|1|0|0|0|0|1|0|4146319189|4146319194|0|0|0|0|0|0|0|0|0|0
30|F1|0|2|0|1|1|1|0|0|0|0|1|0|4154780720|4154780725|0|0|0|0|0|0|0|0|0|0
31|F1|0|2|0|1|1|1|0|0|0|0|1|0|4162332880|4162332885|0|0|0|0|0|0|0|0|0|0
32|F1|0|2|0|1|1|1|0|0|0|0|1|0|4169756503|4169756508|0|0|0|0|0|0|0|0|0|0
33|F1|0|2|0|1|1|1|0|0|0|0|1|0|4177022666|4177022671|0|0|0|0|0|0|0|0|0|0
34|F1|0|2|0|1|1|1|0|0|0|0|1|0|4185333038|4185333043|0|0|0|0|0|0|0|0|0|0
35|F1|0|2|0|1|1|1|0|0|0|0|1|0|4194311737|4194311742|0|0|0|0|0|0|0|0|0|0
36|F1|0|2|0|1|1|1|0|0|0|0|1|0|4202716171|4202716176|0|0|0|0|0|0|0|0|0|0
37|F1|0|2|0|1|1|1|0|0|0|0|1|0|4210512500|4210512505|0|0|0|0|0|0|0|0|0|0
38|F1|0|2|0|1|1|1|0|0|0|0|1|0|4217389921|4217389926|0|0|0|0|0|0|0|0|0|0
