sample|module|direction|lane_mask|tail_cycles|sender_raw|sender_raw_while_tx|sender_blanked_raw|sender_blanked_frame|sender_blanked_crc_valid|sender_local_source_reject|sender_accepted_remote|receiver_raw|receiver_accepted_remote|sender_last_txd_rise|sender_last_txd_fall|sender_first_rxd_after_tx|sender_last_rxd_after_tx|sender_overlap_violation|sender_admission_violation|sender_non_target_accepted|sender_cross_lane_accepted|receiver_overlap_violation|receiver_admission_violation|receiver_non_target_accepted|receiver_cross_lane_accepted
0|F1|0|2|0|1|1|1|0|0|0|0|1|0|36798845|36798853|0|0|0|0|0|0|0|0|0|0
1|F1|0|2|0|1|1|1|0|0|0|0|1|0|49385135|49385143|0|0|0|0|0|0|0|0|0|0
2|F1|0|2|0|1|1|1|0|0|0|0|1|0|63164085|63164093|0|0|0|0|0|0|0|0|0|0
3|F1|0|2|0|1|1|1|0|0|0|0|1|0|73958849|73958857|0|0|0|0|0|0|0|0|0|0
4|F1|0|2|0|1|1|1|0|0|0|0|1|0|82992176|82992184|0|0|0|0|0|0|0|0|0|0
5|F1|0|2|0|1|1|1|0|0|0|0|1|0|95844975|95844983|0|0|0|0|0|0|0|0|0|0
6|F1|0|2|0|1|1|1|0|0|0|0|1|0|106414092|106414100|0|0|0|0|0|0|0|0|0|0
7|F1|0|2|0|1|1|1|0|0|0|0|1|0|115408883|115408891|0|0|0|0|0|0|0|0|0|0
8|F1|0|2|0|1|1|1|0|0|0|0|1|0|132687308|132687316|0|0|0|0|0|0|0|0|0|0
9|F1|0|2|0|1|1|1|0|0|0|0|1|0|142658808|142658816|0|0|0|0|0|0|0|0|0|0
10|F1|0|2|0|1|1|1|0|0|0|0|1|0|150676824|150676832|0|0|0|0|0|0|0|0|0|0
11|F1|0|2|0|1|1|1|0|0|0|0|1|0|158717356|158717364|0|0|0|0|0|0|0|0|0|0
12|F1|0|2|0|1|1|1|0|0|0|0|1|0|174316454|174316462|0|0|0|0|0|0|0|0|0|0
13|F1|0|2|0|1|1|1|0|0|0|0|1|0|183269601|183269609|0|0|0|0|0|0|0|0|0|0
14|F1|0|2|0|1|1|1|0|0|0|0|1|0|191975253|191975261|0|0|0|0|0|0|0|0|0|0
15|F1|0|2|0|1|1|1|0|0|0|0|1|0|208022420|208022428|0|0|0|0|0|0|0|0|0|0
16|F1|0|2|0|1|1|1|0|0|0|0|1|0|222353868|222353876|0|0|0|0|0|0|0|0|0|0
17|F1|0|2|0|1|1|1|0|0|0|0|1|0|231197583|231197591|0|0|0|0|0|0|0|0|0|0
18|F1|0|2|0|1|1|1|0|0|0|0|1|0|242721022|242721030|0|0|0|0|0|0|0|0|0|0
19|F1|0|2|0|1|1|1|0|0|0|0|1|0|253531852|253531860|0|0|0|0|0|0|0|0|0|0
20|F1|0|2|0|1|1|1|0|0|0|0|1|0|262725807|262725815|0|0|0|0|0|0|0|0|0|0
21|F1|0|2|0|1|1|1|0|0|0|0|1|0|272241484|272241492|0|0|0|0|0|0|0|0|0|0
22|F1|0|2|0|1|1|1|0|0|0|0|1|0|282052513|282052521|0|0|0|0|0|0|0|0|0|0
23|F1|0|2|0|1|1|1|0|0|0|0|1|0|292036876|292036884|0|0|0|0|0|0|0|0|0|0
24|F1|0|2|0|1|1|1|0|0|0|0|1|0|301157084|301157092|0|0|0|0|0|0|0|0|0|0
25|F1|0|2|0|1|1|1|0|0|0|0|1|0|310052189|310052197|0|0|0|0|0|0|0|0|0|0
26|F1|0|2|0|1|1|1|0|0|0|0|1|0|322507436|322507444|0|0|0|0|0|0|0|0|0|0
27|F1|0|2|0|1|1|1|0|0|0|0|1|0|335293443|335293451|0|0|0|0|0|0|0|0|0|0
28|F1|0|2|0|1|1|1|0|0|0|0|1|0|344108263|344108271|0|0|0|0|0|0|0|0|0|0
29|F1|0|2|0|1|1|1|0|0|0|0|1|0|352338324|352338332|0|0|0|0|0|0|0|0|0|0
30|F1|0|2|0|1|1|1|0|0|0|0|1|0|362438316|362438324|0|0|0|0|0|0|0|0|0|0
31|F1|0|2|0|1|1|1|0|0|0|0|1|0|372105089|372105097|0|0|0|0|0|0|0|0|0|0
32|F1|0|2|0|1|1|1|0|0|0|0|1|0|379737676|379737684|0|0|0|0|0|0|0|0|0|0
33|F1|0|2|0|1|1|1|0|0|0|0|1|0|390110863|390110871|0|0|0|0|0|0|0|0|0|0
34|F1|0|2|0|1|1|1|0|0|0|0|1|0|400060300|400060308|0|0|0|0|0|0|0|0|0|0
35|F1|0|2|0|1|1|1|0|0|0|0|1|0|408582746|408582754|0|0|0|0|0|0|0|0|0|0
36|F1|0|2|0|1|1|1|0|0|0|0|1|0|418473894|418473902|0|0|0|0|0|0|0|0|0|0
37|F1|0|2|0|1|1|1|0|0|0|0|1|0|431128426|431128434|0|0|0|0|0|0|0|0|0|0
38|F1|0|2|0|1|1|1|0|0|0|0|1|0|440396294|440396302|0|0|0|0|0|0|0|0|0|0
39|F1|0|2|0|1|1|1|0|0|0|0|1|0|454441816|454441824|0|0|0|0|0|0|0|0|0|0
40|F1|0|2|0|1|1|1|0|0|0|0|1|0|462421276|462421284|0|0|0|0|0|0|0|0|0|0
41|F1|0|2|0|1|1|1|0|0|0|0|1|0|474921377|474921385|0|0|0|0|0|0|0|0|0|0
42|F1|0|2|0|1|1|1|0|0|0|0|1|0|484735444|484735452|0|0|0|0|0|0|0|0|0|0
43|F1|0|2|0|1|1|1|0|0|0|0|1|0|494324687|494324695|0|0|0|0|0|0|0|0|0|0
44|F1|0|2|0|1|1|1|0|0|0|0|1|0|505957240|505957248|0|0|0|0|0|0|0|0|0|0
45|F1|0|2|0|1|1|1|0|0|0|0|1|0|520729322|520729330|0|0|0|0|0|0|0|0|0|0
46|F1|0|2|0|1|1|1|0|0|0|0|1|0|529164984|529164992|0|0|0|0|0|0|0|0|0|0
47|F1|0|2|0|1|1|1|0|0|0|0|1|0|540457071|540457079|0|0|0|0|0|0|0|0|0|0
48|F1|0|2|0|1|1|1|0|0|0|0|1|0|549197994|549198002|0|0|0|0|0|0|0|0|0|0
49|F1|0|2|0|1|1|1|0|0|0|0|1|0|560171960|560171968|0|0|0|0|0|0|0|0|0|0
50|F1|0|2|0|1|1|1|0|0|0|0|1|0|570477711|570477719|0|0|0|0|0|0|0|0|0|0
51|F1|0|2|0|1|1|1|0|0|0|0|1|0|579167244|579167252|0|0|0|0|0|0|0|0|0|0
52|F1|0|2|0|1|1|1|0|0|0|0|1|0|593527582|593527590|0|0|0|0|0|0|0|0|0|0
53|F1|0|2|0|1|1|1|0|0|0|0|1|0|605924148|605924156|0|0|0|0|0|0|0|0|0|0
54|F1|0|2|0|1|1|1|0|0|0|0|1|0|615337094|615337102|0|0|0|0|0|0|0|0|0|0
55|F1|0|2|0|1|1|1|0|0|0|0|1|0|624871619|624871627|0|0|0|0|0|0|0|0|0|0
56|F1|0|2|0|1|1|1|0|0|0|0|1|0|633776405|633776413|0|0|0|0|0|0|0|0|0|0
57|F1|0|2|0|1|1|1|0|0|0|0|1|0|645148753|645148761|0|0|0|0|0|0|0|0|0|0
58|F1|0|2|0|1|1|1|0|0|0|0|1|0|661305139|661305147|0|0|0|0|0|0|0|0|0|0
59|F1|0|2|0|1|1|1|0|0|0|0|1|0|674518489|674518497|0|0|0|0|0|0|0|0|0|0
60|F1|0|2|0|1|1|1|0|0|0|0|1|0|684114051|684114059|0|0|0|0|0|0|0|0|0|0
61|F1|0|2|0|1|1|1|0|0|0|0|1|0|694384408|694384416|0|0|0|0|0|0|0|0|0|0
62|F1|0|2|0|1|1|1|0|0|0|0|1|0|704339805|704339813|0|0|0|0|0|0|0|0|0|0
63|F1|0|2|0|1|1|1|0|0|0|0|1|0|713620504|713620512|0|0|0|0|0|0|0|0|0|0
64|F1|0|2|0|1|1|1|0|0|0|0|1|0|722435329|722435337|0|0|0|0|0|0|0|0|0|0
65|F1|0|2|0|1|1|1|0|0|0|0|1|0|733351398|733351406|0|0|0|0|0|0|0|0|0|0
66|F1|0|2|0|1|1|1|0|0|0|0|1|0|742976093|742976101|0|0|0|0|0|0|0|0|0|0
67|F1|0|2|0|1|1|1|0|0|0|0|1|0|751578973|751578981|0|0|0|0|0|0|0|0|0|0
68|F1|0|2|0|1|1|1|0|0|0|0|1|0|761807604|761807612|0|0|0|0|0|0|0|0|0|0
69|F1|0|2|0|1|1|1|0|0|0|0|1|0|770837740|770837748|0|0|0|0|0|0|0|0|0|0
70|F1|0|2|0|1|1|1|0|0|0|0|1|0|779912931|779912939|0|0|0|0|0|0|0|0|0|0
71|F1|0|2|0|1|1|1|0|0|0|0|1|0|791632746|791632754|0|0|0|0|0|0|0|0|0|0
72|F1|0|2|0|1|1|1|0|0|0|0|1|0|799747710|799747718|0|0|0|0|0|0|0|0|0|0
73|F1|0|2|0|1|1|1|0|0|0|0|1|0|808778424|808778432|0|0|0|0|0|0|0|0|0|0
74|F1|0|2|0|1|1|1|0|0|0|0|1|0|817165916|817165924|0|0|0|0|0|0|0|0|0|0
75|F1|0|2|0|1|1|1|0|0|0|0|1|0|828114119|828114127|0|0|0|0|0|0|0|0|0|0
76|F1|0|2|0|1|1|1|0|0|0|0|1|0|840444967|840444975|0|0|0|0|0|0|0|0|0|0
77|F1|0|2|0|1|1|1|0|0|0|0|1|0|853330666|853330674|0|0|0|0|0|0|0|0|0|0
78|F1|0|2|0|1|1|1|0|0|0|0|1|0|864307875|864307883|0|0|0|0|0|0|0|0|0|0
79|F1|0|2|0|1|1|1|0|0|0|0|1|0|873087384|873087392|0|0|0|0|0|0|0|0|0|0
80|F1|0|2|0|1|1|1|0|0|0|0|1|0|882207436|882207444|0|0|0|0|0|0|0|0|0|0
81|F1|0|2|0|1|1|1|0|0|0|0|1|0|892272097|892272105|0|0|0|0|0|0|0|0|0|0
82|F1|0|2|0|1|1|1|0|0|0|0|1|0|904377684|904377692|0|0|0|0|0|0|0|0|0|0
83|F1|0|2|0|1|1|1|0|0|0|0|1|0|913481706|913481714|0|0|0|0|0|0|0|0|0|0
84|F1|0|2|0|1|1|1|0|0|0|0|1|0|923559348|923559356|0|0|0|0|0|0|0|0|0|0
85|F1|0|2|0|1|1|1|0|0|0|0|1|0|932666561|932666569|0|0|0|0|0|0|0|0|0|0
86|F1|0|2|0|1|1|1|0|0|0|0|1|0|941931224|941931232|0|0|0|0|0|0|0|0|0|0
87|F1|0|2|0|1|1|1|0|0|0|0|1|0|950942179|950942187|0|0|0|0|0|0|0|0|0|0
88|F1|0|2|0|1|1|1|0|0|0|0|1|0|961874421|961874429|0|0|0|0|0|0|0|0|0|0
89|F1|0|2|0|1|1|1|0|0|0|0|1|0|970487320|970487328|0|0|0|0|0|0|0|0|0|0
90|F1|0|2|0|1|1|1|0|0|0|0|1|0|978457539|978457547|0|0|0|0|0|0|0|0|0|0
91|F1|0|2|0|1|1|1|0|0|0|0|1|0|987205059|987205067|0|0|0|0|0|0|0|0|0|0
92|F1|0|2|0|1|1|1|0|0|0|0|1|0|996080893|996080901|0|0|0|0|0|0|0|0|0|0
93|F1|0|2|0|1|1|1|0|0|0|0|1|0|1006123075|1006123083|0|0|0|0|0|0|0|0|0|0
94|F1|0|2|0|1|1|1|0|0|0|0|1|0|1015394179|1015394187|0|0|0|0|0|0|0|0|0|0
95|F1|0|2|0|1|1|1|0|0|0|0|1|0|1026663770|1026663778|0|0|0|0|0|0|0|0|0|0
96|F1|0|2|0|1|1|1|0|0|0|0|1|0|1039314831|1039314839|0|0|0|0|0|0|0|0|0|0
97|F1|0|2|0|1|1|1|0|0|0|0|1|0|1048393766|1048393774|0|0|0|0|0|0|0|0|0|0
98|F1|0|2|0|1|1|1|0|0|0|0|1|0|1059888307|1059888315|0|0|0|0|0|0|0|0|0|0
99|F1|0|2|0|1|1|1|0|0|0|0|1|0|1068529628|1068529636|0|0|0|0|0|0|0|0|0|0
100|F1|0|2|0|1|1|1|0|0|0|0|1|0|1077752518|1077752526|0|0|0|0|0|0|0|0|0|0
101|F1|0|2|0|1|1|1|0|0|0|0|1|0|1086603252|1086603260|0|0|0|0|0|0|0|0|0|0
102|F1|0|2|0|1|1|1|0|0|0|0|1|0|1095145036|1095145044|0|0|0|0|0|0|0|0|0|0
103|F1|0|2|0|1|1|1|0|0|0|0|1|0|1102733135|1102733143|0|0|0|0|0|0|0|0|0|0
104|F1|0|2|0|1|1|1|0|0|0|0|1|0|1112180943|1112180951|0|0|0|0|0|0|0|0|0|0
105|F1|0|2|0|1|1|1|0|0|0|0|1|0|1124366196|1124366204|0|0|0|0|0|0|0|0|0|0
106|F1|0|2|0|1|1|1|0|0|0|0|1|0|1133142534|1133142542|0|0|0|0|0|0|0|0|0|0
