captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1785758704433|1001|stream64_f2r_1|fixed|2,1378943233,304,6138768,6095458,6103797,6095458,6103797,6095458,5826,5815,5815,5815,0,0,371,0,179496464,179333520,4096,4096,0,0,5815,5815,361729079,361729420,361729087,361729428,0,0,0,0,0,0,0,0,4096,256,131072,4,3|4,0,67108864,262144,256,0,0,0,0,56,0,44,0,14,11,0,1,56,0|4,981404472,0,2899392,0,0,0,0,0,3073794,0,11,0,320687736,0,320687736,0,2080,314637728,0,8354126,0,0,0,0,0
1785758704433|1001|stream64_f2r_1|rotating|2,1378943233,560,6205523,6161185,35445,0,35445,0,752,0,376,0,0,0,5878,5878,2401552,0,4096,0,0,0,376,0,346525540,0,346525548,0,0,0,0,0,0,0,0,0,4096,256,131072,4,3|4,0,67108864,262144,256,0,0,0,0,56,0,44,0,14,11,0,1,56,0|4,394241985,0,0,0,2883584,0,2883584,0,8908,0,0,11,0,0,0,0,0,0,0,6869008,0,0,0,0,0
1785758709439|1001|stream64_f2r_1|fixed|4,1378943233,271,12400191,12311863,12329301,12311863,12329301,12311863,11772,11749,11748,11748,0,0,752,0,362641736,362283456,4096,4096,0,0,11749,11749,681983035,681983016,681983003,681983024,0,0,0,0,0,0,0,0,4096,256,131072,4,3|4,0,67108864,262144,256,0,0,0,0,100,0,88,0,25,22,0,1,100,0|6,1300638919,0,5814592,0,0,0,0,0,6175839,0,22,0,639193383,0,639193383,0,2080,632290725,0,9782308,0,0,0,0,0
1785758709439|1001|stream64_f2r_1|rotating|4,1378943233,560,12464244,12375718,71171,0,71171,0,1510,0,755,0,0,0,11809,11809,4822232,0,4096,0,0,0,755,0,665982859,0,665982867,0,0,0,0,0,0,0,0,0,4096,256,131072,4,3|4,0,67108864,262144,256,0,0,0,0,100,0,88,0,25,22,0,1,100,0|6,714863137,0,0,0,5767168,0,5767168,0,17863,0,0,22,0,0,0,0,0,0,0,6894380,0,0,0,0,0
1785758714454|1001|stream64_f2r_1|fixed|6,1378943233,304,18680193,18548069,18573484,18548069,18573484,18548069,17731,17697,17697,17697,0,0,1132,0,546270264,545730984,4096,4096,0,0,17697,17697,1002918680,1002919005,1002918688,1002919013,0,0,0,0,0,0,0,0,4096,256,131072,4,3|4,0,67108864,262144,256,0,0,0,0,144,0,132,0,36,33,0,1,144,0|8,1622542282,0,8761408,0,0,0,0,0,9305124,0,33,0,960360042,0,960360042,0,2080,952610751,0,11211261,0,0,0,0,0
1785758714454|1001|stream64_f2r_1|rotating|6,1378943233,560,18754794,18622124,107183,0,107183,0,2274,0,1137,0,0,0,17767,17767,7262096,0,4096,0,0,0,1137,0,988019602,0,988019610,0,0,0,0,0,0,0,0,0,4096,256,131072,4,3|4,0,67108864,262144,256,0,0,0,0,144,0,132,0,36,33,0,1,144,0|8,1035783510,0,0,0,8650752,0,8650752,0,26843,0,0,33,0,0,0,0,0,0,0,6917574,0,0,0,0,0
1785758719456|1001|stream64_f2r_1|fixed|8,1378943233,304,24944310,24768296,24801777,24768296,24801777,24768296,23676,23631,23631,23631,0,0,1512,0,729440720,728723176,4096,4096,0,0,23631,23631,1323074082,1323074423,1323074090,1323074431,0,0,0,0,0,0,0,0,4096,256,131072,4,3|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|10,1942800034,0,11692416,0,0,0,0,0,12418227,0,44,0,1279885042,0,1279885042,0,2080,1271286730,0,12639208,0,0,0,0,0
1785758719456|1001|stream64_f2r_1|rotating|8,1378943233,560,25020336,24843862,143005,0,143005,0,3034,0,1517,0,0,0,23703,23703,9689160,0,4096,0,0,0,1517,0,1308336237,0,1308336245,0,0,0,0,0,0,0,0,0,4096,256,131072,4,3|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|10,1356707313,0,0,0,11534336,0,11534336,0,35821,0,0,44,0,0,0,0,0,0,0,6936944,0,0,0,0,0
1785758724456|1001|stream64_f2r_1|fixed|10,1378943233,271,31202650,30980630,31024296,30980630,31024296,30980630,29619,29563,29562,29562,0,0,1892,0,912535955,911638416,4096,4096,0,0,29563,29563,1643111716,1643111753,1643111724,1643111713,0,0,0,0,0,0,0,0,4096,256,131072,4,3|4,0,67108864,262144,256,0,0,0,0,232,0,220,0,58,55,0,1,232,0|12,2262746026,0,14623424,0,0,0,0,0,15526084,0,55,0,1599098282,0,1599098282,0,2080,1589648573,0,14069531,0,0,0,0,0
1785758724456|1001|stream64_f2r_1|rotating|10,1378943233,560,31294637,31072147,178822,0,178822,0,3794,0,1897,0,0,0,29650,29649,12116304,0,4096,0,0,0,1897,0,1628655264,0,1628655272,0,0,0,0,0,0,0,0,0,4096,256,131072,4,3|4,0,67108864,262144,256,0,0,0,0,232,0,220,0,58,55,0,1,232,0|12,1677411126,0,0,0,14417920,0,14417920,0,44775,0,0,55,0,0,0,0,0,0,0,6951865,0,0,0,0,0
