captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1785760449808|1001|stationary_30min_warmup_f2r_0000_4194304|fixed|2,1378943233,271,6127027,6082316,6092056,6082316,6092056,6082316,5821,5810,5809,5809,0,0,371,0,179313324,179150087,4096,4096,0,0,5810,5810,358176298,358176271,358176306,358176287,0,0,0,0,0,0,0,0,4096,256,131072,4,3|4,0,4194304,262144,16,0,0,0,0,56,0,44,0,14,11,0,1,56,0|4,976634787,0,2891488,0,0,0,0,0,3067317,0,11,0,320351462,0,320351462,0,2080,314300339,0,8353622,0,0,0,0,0
1785760449808|1001|stationary_30min_warmup_f2r_0000_4194304|rotating|2,1378943233,560,6200862,6154920,35445,0,35445,0,752,0,376,0,0,0,5879,5879,2401552,0,4096,0,0,0,376,0,344602597,0,344602605,0,0,0,0,0,0,0,0,0,4096,256,131072,4,3|4,0,4194304,262144,16,0,0,0,0,56,0,44,0,14,11,0,1,56,0|4,390813488,0,0,0,2883584,0,2883584,0,8908,0,0,11,0,0,0,0,0,0,0,6869740,0,0,0,0,0
1785760457484|1002|stationary_30min_warmup_f2r_0001_16777216|fixed|6,1378943233,271,6526051,6481797,6490796,6481797,6490796,6481797,11696,11684,5841,5841,0,0,374,0,180341568,180161709,4096,4096,0,0,5842,5842,849586315,849586296,849586291,849586304,0,0,0,0,0,0,0,0,4096,256,131072,4,3|4,0,16777216,262144,64,0,0,0,0,56,0,44,0,14,11,0,1,56,0|12,1467761976,0,2907296,0,0,0,0,0,3266645,0,11,0,320517284,0,320517284,0,2080,315883720,0,6467551,0,0,0,0,0
1785760457484|1002|stationary_30min_warmup_f2r_0001_16777216|rotating|6,1378943233,560,6609115,6564459,35635,0,35635,0,756,0,378,0,0,0,5916,5916,2414336,0,4096,0,0,0,378,0,835865006,0,835865014,0,0,0,0,0,0,0,0,0,4096,256,131072,4,3|4,0,16777216,262144,64,0,0,0,0,56,0,44,0,14,11,0,1,56,0|12,883205476,0,0,0,2883584,0,2883584,0,8979,0,0,11,0,0,0,0,0,0,0,4998051,0,0,0,0,0
1785760462486|1002|stationary_30min_warmup_f2r_0001_16777216|fixed|8,1378943233,271,13149114,13060217,13078130,13060217,13078130,13060217,23570,23546,11772,11772,0,0,753,0,363429792,363070331,4096,4096,0,0,11773,11773,1169562431,1169562412,1169562407,1169562420,0,0,0,0,0,0,0,0,4096,256,131072,4,3|4,0,16777216,262144,64,0,0,0,0,100,0,88,0,25,22,0,1,100,0|14,1788061582,0,5838304,0,0,0,0,0,6561638,0,22,0,640084138,0,640084138,0,2080,634601541,0,7895510,0,0,0,0,0
1785760462486|1002|stationary_30min_warmup_f2r_0001_16777216|rotating|8,1378943233,560,13227333,13137955,71454,0,71454,0,1516,0,758,0,0,0,11842,11842,4841376,0,4096,0,0,0,758,0,1156181646,0,1156181662,0,0,0,0,0,0,0,0,0,4096,256,131072,4,3|4,0,16777216,262144,64,0,0,0,0,100,0,88,0,25,22,0,1,100,0|14,1202474586,0,0,0,5767168,0,5767168,0,17910,0,0,22,0,0,0,0,0,0,0,5020024,0,0,0,0,0
1785760467502|1002|stationary_30min_warmup_f2r_0001_16777216|fixed|10,1378943233,271,19796915,19663110,19690017,19663110,19690017,19663110,35482,35446,17722,17722,0,0,1134,0,547123182,546584105,4096,4096,0,0,17723,17723,1490586922,1490586935,1490586930,1490586943,0,0,0,0,0,0,0,0,4096,256,131072,4,3|4,0,16777216,262144,64,0,0,0,0,144,0,132,0,36,33,0,1,144,0|16,2109023826,0,8777216,0,0,0,0,0,9864676,0,33,0,960311654,0,960311654,0,2080,953978813,0,9326377,0,0,0,0,0
1785760467502|1002|stationary_30min_warmup_f2r_0001_16777216|rotating|10,1378943233,560,19876174,19741973,107278,0,107278,0,2276,0,1138,0,0,0,17793,17793,7268480,0,4096,0,0,0,1138,0,1476501221,0,1476501229,0,0,0,0,0,0,0,0,0,4096,256,131072,4,3|4,0,16777216,262144,64,0,0,0,0,144,0,132,0,36,33,0,1,144,0|16,1523298054,0,0,0,8650752,0,8650752,0,26890,0,0,33,0,0,0,0,0,0,0,5042223,0,0,0,0,0
1785760472513|1002|stationary_30min_warmup_f2r_0001_16777216|fixed|12,1378943233,304,26442563,26263843,26299747,26263843,26299747,26263843,47389,47342,23671,23671,0,0,1515,0,730771112,730052680,4096,4096,0,0,23671,23671,1811521424,1811521757,1811521432,1811521765,0,0,0,0,0,0,0,0,4096,256,131072,4,3|4,0,16777216,262144,64,0,0,0,0,188,0,176,0,47,44,0,1,188,0|18,2429837669,0,11708224,0,0,0,0,0,13165914,0,44,0,1280392745,0,1280392745,0,2080,1273206812,0,10758395,0,0,0,0,0
1785760472513|1002|stationary_30min_warmup_f2r_0001_16777216|rotating|12,1378943233,560,26529756,26350567,143286,0,143286,0,3040,0,1520,0,0,0,23749,23749,9708352,0,4096,0,0,0,1520,0,1798541024,0,1798541032,0,0,0,0,0,0,0,0,0,4096,256,131072,4,3|4,0,16777216,262144,64,0,0,0,0,188,0,176,0,47,44,0,1,188,0|18,1844691755,0,0,0,11534336,0,11534336,0,35868,0,0,44,0,0,0,0,0,0,0,5066168,0,0,0,0,0
