captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1785836451795|1004|intake_F2_counter_100f|fixed|8,1378943233,16777216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|2,1573499072,0,15812,0,0,0,0,0,21599,0,0,0,324944870,0,324944870,0,2048,79384230,0,1494113117,0,1,1,0,0
1785836451795|1004|intake_F2_counter_100f|rotating|8,1378943233,33558272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|2,809770117,0,0,0,0,0,0,0,465,0,0,0,0,0,0,0,0,0,0,479930956,0,0,0,0,0
1785836456803|1004|intake_F2_counter_100f|fixed|10,1378943233,16777216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|4,1895739548,0,15812,0,0,0,0,0,21599,0,0,0,647185346,0,647185346,0,2048,79384230,0,1816353593,0,1,1,0,0
1785836456803|1004|intake_F2_counter_100f|rotating|10,1378943233,33558272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|4,1136242567,0,0,0,0,0,0,0,465,0,0,0,0,0,0,0,0,0,0,479930956,0,0,0,0,0
1785836461814|1004|intake_F2_counter_100f|fixed|12,1378943233,16777216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|6,2213993649,0,15812,0,0,0,0,0,21599,0,0,0,965439447,0,965439447,0,2048,79384230,0,2134607694,0,1,1,0,0
1785836461814|1004|intake_F2_counter_100f|rotating|12,1378943233,33558272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|6,1453747126,0,0,0,0,0,0,0,465,0,0,0,0,0,0,0,0,0,0,479930956,0,0,0,0,0
1785836466820|1004|intake_F2_counter_100f|fixed|14,1378943233,16777216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|8,2534085864,0,15812,0,0,0,0,0,21599,0,0,0,1285531662,0,1285531662,0,2048,79384230,0,2454699909,0,1,1,0,0
1785836466820|1004|intake_F2_counter_100f|rotating|14,1378943233,33558272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|8,1770392032,0,0,0,0,0,0,0,465,0,0,0,0,0,0,0,0,0,0,479930956,0,0,0,0,0
1785836471835|1004|intake_F2_counter_100f|fixed|16,1378943233,16777216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|10,2856559163,0,15812,0,0,0,0,0,21599,0,0,0,1608004961,0,1608004961,0,2048,79384230,0,2777173208,0,1,1,0,0
1785836471835|1004|intake_F2_counter_100f|rotating|16,1378943233,33558272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|10,2096317502,0,0,0,0,0,0,0,465,0,0,0,0,0,0,0,0,0,0,479930956,0,0,0,0,0
1785836476850|1004|intake_F2_counter_100f|fixed|18,1378943233,16777216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|12,3176704650,0,15812,0,0,0,0,0,21599,0,0,0,1928150448,0,1928150448,0,2048,79384230,0,3097318695,0,1,1,0,0
1785836476850|1004|intake_F2_counter_100f|rotating|18,1378943233,33558272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|12,2414564347,0,0,0,0,0,0,0,465,0,0,0,0,0,0,0,0,0,0,479930956,0,0,0,0,0
1785836481853|1004|intake_F2_counter_100f|fixed|20,1378943233,16777216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|14,3497047527,0,15812,0,0,0,0,0,21599,0,0,0,2248493325,0,2248493325,0,2048,79384230,0,3417661572,0,1,1,0,0
1785836481853|1004|intake_F2_counter_100f|rotating|20,1378943233,33558272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|14,2734915489,0,0,0,0,0,0,0,465,0,0,0,0,0,0,0,0,0,0,479930956,0,0,0,0,0
