captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785838776112|0|SAFE_BOOT|fixed|1346371075|8193|8193
1785838776112|0|SAFE_BOOT|rotating|1346371075|8193|8193
1785838781277|1001|intake_receive_only_5000ms|fixed|1346371075|8193|8193
1785838781277|1001|intake_receive_only_5000ms|rotating|1346371075|8193|8193
1785838781636|1001|intake_receive_only_5000ms_terminal|fixed|1350565379|8193|8193
1785838781636|1001|intake_receive_only_5000ms_terminal|rotating|1350565379|8193|8193
1785838782138|1002|intake_F2_raw_64_terminal|fixed|1346371075|8193|8193
1785838782138|1002|intake_F2_raw_64_terminal|rotating|1350565379|8193|8193
1785838782586|1003|intake_F2_raw_1024_terminal|fixed|1346371075|8193|8193
1785838782586|1003|intake_F2_raw_1024_terminal|rotating|1346371075|8193|8193
1785838787890|1004|intake_R2_raw_64|fixed|1350565379|8193|8193
1785838787890|1004|intake_R2_raw_64|rotating|1346371075|8193|8193
1785838792846|1004|intake_R2_raw_64|fixed|1346371075|8193|8193
1785838792846|1004|intake_R2_raw_64|rotating|1346371075|8193|8193
1785838797886|1004|intake_R2_raw_64|fixed|1350565379|8193|8193
1785838797886|1004|intake_R2_raw_64|rotating|1350565379|8193|8193
1785838802905|1004|intake_R2_raw_64|fixed|1346371075|8193|8193
1785838802905|1004|intake_R2_raw_64|rotating|1346371075|8193|8193
1785838807889|1004|intake_R2_raw_64|fixed|1346371075|8193|8193
1785838807889|1004|intake_R2_raw_64|rotating|1350565379|8193|8193
1785838813037|1004|intake_R2_raw_64_terminal|fixed|1346371075|8193|8193
1785838813037|1004|intake_R2_raw_64_terminal|rotating|1346371075|8193|8193
