captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1785845655044|1001|lane3_r3_to_f3_receive_only_5000ms|fixed|2,1378943233,16777216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|2,1154970522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154970522,0,0,0,0,0
1785845655044|1001|lane3_r3_to_f3_receive_only_5000ms|rotating|2,1378943233,33554432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|2,403638283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403638283,0,0,0,0,0
1785845660807|1002|lane3_R3_to_F3_raw_64|fixed|6,1378943233,16781056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|4,1518987017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1518987017,0,0,0,0,0
1785845660807|1002|lane3_R3_to_F3_raw_64|rotating|6,1378943233,33554432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|4,768526164,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,768526164,0,0,0,0,0
1785845665822|1002|lane3_R3_to_F3_raw_64|fixed|8,1378943233,16781056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|6,1840314169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1840314169,0,0,0,0,0
1785845665822|1002|lane3_R3_to_F3_raw_64|rotating|8,1378943233,33554432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|6,1092809024,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,1092809024,0,0,0,0,0
1785845670828|1002|lane3_R3_to_F3_raw_64|fixed|10,1378943233,16781056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|8,2160446423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2160446423,0,0,0,0,0
1785845670828|1002|lane3_R3_to_F3_raw_64|rotating|10,1378943233,33554432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|8,1410651230,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,1410651230,0,0,0,0,0
1785845675839|1002|lane3_R3_to_F3_raw_64|fixed|12,1378943233,16781056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|10,2480522946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2480522946,0,0,0,0,0
1785845675839|1002|lane3_R3_to_F3_raw_64|rotating|12,1378943233,33554432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|10,1729467831,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,1729467831,0,0,0,0,0
1785845680851|1002|lane3_R3_to_F3_raw_64|fixed|14,1378943233,16781056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|12,2802190746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2802190746,0,0,0,0,0
1785845680851|1002|lane3_R3_to_F3_raw_64|rotating|14,1378943233,33554432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|12,2050518970,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,2050518970,0,0,0,0,0
