captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785864750011|0|SAFE_BOOT|fixed|1350565379|8193|8193
1785864750011|0|SAFE_BOOT|rotating|1346371075|8193|8193
1785864750045|1001|intake_receive_only_5000ms_active|fixed|1350565379|8193|8193
1785864750045|1001|intake_receive_only_5000ms_active|rotating|1346371075|8193|8193
1785864755192|1001|intake_receive_only_5000ms|fixed|1346371075|8193|8193
1785864755192|1001|intake_receive_only_5000ms|rotating|1350565379|8193|8193
1785864755496|1001|intake_receive_only_5000ms_terminal|fixed|1350565379|8193|8193
1785864755496|1001|intake_receive_only_5000ms_terminal|rotating|1350565379|8193|8193
1785864755735|1002|intake_F0_raw_64_active|fixed|1346371075|8193|8193
1785864755735|1002|intake_F0_raw_64_active|rotating|1350565379|8193|8193
1785864756092|1002|intake_F0_raw_64_terminal|fixed|1346371075|8193|8193
1785864756092|1002|intake_F0_raw_64_terminal|rotating|1350565379|8193|8193
1785864756307|1003|intake_F0_raw_1024_active|fixed|1346371075|8193|8193
1785864756307|1003|intake_F0_raw_1024_active|rotating|1350565379|8193|8193
1785864756627|1003|intake_F0_raw_1024_terminal|fixed|1346371075|8193|8193
1785864756627|1003|intake_F0_raw_1024_terminal|rotating|1346371075|8193|8193
1785864757204|1004|intake_R0_raw_64_terminal|fixed|1350565379|8193|8193
1785864757204|1004|intake_R0_raw_64_terminal|rotating|1350565379|8193|8193
1785864757420|1005|intake_R0_raw_1024_active|fixed|1346371075|8193|8193
1785864757420|1005|intake_R0_raw_1024_active|rotating|1350565379|8193|8193
1785864757786|1005|intake_R0_raw_1024_terminal|fixed|1350565379|8193|8193
1785864757786|1005|intake_R0_raw_1024_terminal|rotating|1350565379|8193|8193
1785864758010|1006|intake_F1_raw_64_active|fixed|1346371075|8193|8193
1785864758010|1006|intake_F1_raw_64_active|rotating|1350565379|8193|8193
1785864758367|1006|intake_F1_raw_64_terminal|fixed|1346371075|8193|8193
1785864758367|1006|intake_F1_raw_64_terminal|rotating|1350565379|8193|8193
1785864758591|1007|intake_F1_raw_1024_active|fixed|1346371075|8193|8193
1785864758591|1007|intake_F1_raw_1024_active|rotating|1346371075|8193|8193
1785864758908|1007|intake_F1_raw_1024_terminal|fixed|1350565379|8193|8193
1785864758908|1007|intake_F1_raw_1024_terminal|rotating|1350565379|8193|8193
1785864759149|1008|intake_R1_raw_64_active|fixed|1346371075|8193|8193
1785864759149|1008|intake_R1_raw_64_active|rotating|1350565379|8193|8193
1785864759503|1008|intake_R1_raw_64_terminal|fixed|1346371075|8193|8193
1785864759503|1008|intake_R1_raw_64_terminal|rotating|1350565379|8193|8193
1785864759714|1009|intake_R1_raw_1024_active|fixed|1350565379|8193|8193
1785864759714|1009|intake_R1_raw_1024_active|rotating|1350565379|8193|8193
1785864760044|1009|intake_R1_raw_1024_terminal|fixed|1346371075|8193|8193
1785864760044|1009|intake_R1_raw_1024_terminal|rotating|1346371075|8193|8193
1785864760268|1010|intake_F2_raw_64_active|fixed|1350565379|8193|8193
1785864760268|1010|intake_F2_raw_64_active|rotating|1350565379|8193|8193
