captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785865430893|0|SAFE_BOOT|fixed|1350565379|8193|8193
1785865430893|0|SAFE_BOOT|rotating|1346371075|8193|8193
1785865430974|1001|regression64_f2r_00000_262144_active|fixed|1350565379|8193|8193
1785865430974|1001|regression64_f2r_00000_262144_active|rotating|1350557187|8193|8193
1785865431863|1001|regression64_f2r_00000_262144_terminal|fixed|1350565379|8193|8193
1785865431863|1001|regression64_f2r_00000_262144_terminal|rotating|1350565379|8193|8193
1785865432108|1002|regression64_f2r_00001_262144_active|fixed|1350565379|8193|8193
1785865432108|1002|regression64_f2r_00001_262144_active|rotating|1350557187|8193|8193
1785865433021|1002|regression64_f2r_00001_262144_terminal|fixed|1350565379|8193|8193
1785865433021|1002|regression64_f2r_00001_262144_terminal|rotating|1350565379|8193|8193
1785865433247|1003|regression64_f2r_00002_262144_active|fixed|1350565379|8193|8193
1785865433247|1003|regression64_f2r_00002_262144_active|rotating|1346362883|8193|8193
1785865434075|1003|regression64_f2r_00002_262144_terminal|fixed|1350565379|8193|8193
1785865434075|1003|regression64_f2r_00002_262144_terminal|rotating|1350565379|8193|8193
1785865434332|1004|regression64_f2r_00003_262144_active|fixed|1346371075|8193|8193
1785865434332|1004|regression64_f2r_00003_262144_active|rotating|1350557187|8193|8193
1785865435215|1004|regression64_f2r_00003_262144_terminal|fixed|1350565379|8193|8193
1785865435215|1004|regression64_f2r_00003_262144_terminal|rotating|1350565379|8193|8193
1785865435470|1005|regression64_f2r_00004_262144_active|fixed|1350565379|8193|8193
1785865435470|1005|regression64_f2r_00004_262144_active|rotating|1346362883|8193|8193
1785865436346|1005|regression64_f2r_00004_262144_terminal|fixed|1346371075|8193|8193
1785865436346|1005|regression64_f2r_00004_262144_terminal|rotating|1350565379|8193|8193
1785865436587|1006|regression64_f2r_00005_262144_active|fixed|1346371075|8193|8193
1785865436587|1006|regression64_f2r_00005_262144_active|rotating|1350557187|8193|8193
1785865437446|1006|regression64_f2r_00005_262144_terminal|fixed|1350565379|8193|8193
1785865437446|1006|regression64_f2r_00005_262144_terminal|rotating|1346371075|8193|8193
1785865437700|1007|regression64_f2r_00006_262144_active|fixed|1346371075|8193|8193
1785865437700|1007|regression64_f2r_00006_262144_active|rotating|1346362883|8193|8193
1785865438529|1007|regression64_f2r_00006_262144_terminal|fixed|1346371075|8193|8193
1785865438529|1007|regression64_f2r_00006_262144_terminal|rotating|1350565379|8193|8193
1785865438822|1008|regression64_f2r_00007_262144_active|fixed|1346371075|8193|8193
1785865438822|1008|regression64_f2r_00007_262144_active|rotating|1350557187|8193|8193
1785865439666|1008|regression64_f2r_00007_262144_terminal|fixed|1350565379|8193|8193
1785865439666|1008|regression64_f2r_00007_262144_terminal|rotating|1346371075|8193|8193
1785865439891|1009|regression64_f2r_00008_262144_active|fixed|1346371075|8193|8193
1785865439891|1009|regression64_f2r_00008_262144_active|rotating|1346362883|8193|8193
1785865440727|1009|regression64_f2r_00008_262144_terminal|fixed|1350565379|8193|8193
1785865440727|1009|regression64_f2r_00008_262144_terminal|rotating|1350565379|8193|8193
1785865441018|1010|regression64_f2r_00009_262144_active|fixed|1350565379|8193|8193
1785865441018|1010|regression64_f2r_00009_262144_active|rotating|1346362883|8193|8193
1785865441882|1010|regression64_f2r_00009_262144_terminal|fixed|1350565379|8193|8193
1785865441882|1010|regression64_f2r_00009_262144_terminal|rotating|1346371075|8193|8193
1785865442171|1011|regression64_f2r_00010_262144_active|fixed|1346371075|8193|8193
1785865442171|1011|regression64_f2r_00010_262144_active|rotating|1350557187|8193|8193
1785865443033|1011|regression64_f2r_00010_262144_terminal|fixed|1346371075|8193|8193
1785865443033|1011|regression64_f2r_00010_262144_terminal|rotating|1346371075|8193|8193
1785865443276|1012|regression64_f2r_00011_262144_active|fixed|1346371075|8193|8193
1785865443276|1012|regression64_f2r_00011_262144_active|rotating|1346362883|8193|8193
1785865444120|1012|regression64_f2r_00011_262144_terminal|fixed|1350565379|8193|8193
1785865444120|1012|regression64_f2r_00011_262144_terminal|rotating|1346371075|8193|8193
1785865444396|1013|regression64_f2r_00012_262144_active|fixed|1350565379|8193|8193
1785865444396|1013|regression64_f2r_00012_262144_active|rotating|1350557187|8193|8193
1785865445249|1013|regression64_f2r_00012_262144_terminal|fixed|1350565379|8193|8193
1785865445249|1013|regression64_f2r_00012_262144_terminal|rotating|1350565379|8193|8193
1785865445507|1014|regression64_f2r_00013_262144_active|fixed|1346371075|8193|8193
1785865445507|1014|regression64_f2r_00013_262144_active|rotating|1346362883|8193|8193
1785865446362|1014|regression64_f2r_00013_262144_terminal|fixed|1350565379|8193|8193
1785865446362|1014|regression64_f2r_00013_262144_terminal|rotating|1350565379|8193|8193
1785865446597|1015|regression64_f2r_00014_262144_active|fixed|1350565379|8193|8193
1785865446597|1015|regression64_f2r_00014_262144_active|rotating|1346362883|8193|8193
1785865447440|1015|regression64_f2r_00014_262144_terminal|fixed|1346371075|8193|8193
1785865447440|1015|regression64_f2r_00014_262144_terminal|rotating|1350565379|8193|8193
1785865447714|1016|regression64_f2r_00015_262144_active|fixed|1346371075|8193|8193
1785865447714|1016|regression64_f2r_00015_262144_active|rotating|1346362883|8193|8193
1785865448533|1016|regression64_f2r_00015_262144_terminal|fixed|1346371075|8193|8193
1785865448533|1016|regression64_f2r_00015_262144_terminal|rotating|1346371075|8193|8193
1785865448786|1017|regression64_f2r_00016_262144_active|fixed|1350565379|8193|8193
