captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1785868880814|1001|degrade_static_unavailable_1|fixed|2,1378943233,16781056,0,4296215,0,35185,0,35185,0,762,0,381,0,0,0,4074,0,2433848,0,4096,0,0,0,381,0,452132670,0,452132678,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|2,1211876481,0,0,0,0,0,0,0,8911,0,0,0,0,0,0,0,0,0,0,887351742,0,0,0,0,0
1785868880814|1001|degrade_static_unavailable_1|rotating|2,1378943233,33558272,0,4372099,0,4336271,0,4336271,0,4148,0,4147,0,0,0,388,0,128008944,0,4096,0,0,0,4147,0,436499472,0,436499480,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|2,490905862,0,3122080,0,0,0,0,0,3299587,0,0,0,231262405,0,231262405,0,2080,231932689,0,258861801,0,0,0,0,0
1785868889586|1002|degrade_static_unavailable_2|fixed|6,1378943233,16777949,4303098,0,4267819,0,4267819,0,4083,0,4081,0,0,0,382,0,125976602,0,4096,0,0,0,4082,0,1014056308,0,1014056316,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|4,1773266771,0,3058848,0,4194304,0,4194304,0,3234938,0,0,1,226700962,0,226700962,0,2080,227357670,0,1136197183,0,0,0,0,0
1785868889586|1002|degrade_static_unavailable_2|rotating|6,1378943233,33558033,4375763,0,35920,0,35920,0,778,0,389,0,0,0,4150,0,2482074,0,4096,0,0,0,389,0,997669963,0,997669971,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|4,1050599824,0,4194304,0,0,0,0,0,9048,0,1,0,310732279,0,310732279,0,2048,312001852,0,410509435,0,0,0,0,0
1785868898410|1003|degrade_static_unavailable_4|fixed|10,1378943233,16778427,4306220,4271857,4270941,4271857,4270941,4271857,4086,4085,4084,4084,0,0,382,0,126072906,126069824,4096,4096,0,0,4085,4085,1578940807,1578940815,1578940815,1578940791,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|6,2338117302,0,7253152,0,4194304,0,4194304,0,3237141,0,1,1,537565604,0,537565604,0,2080,539491885,0,1388760167,0,0,0,0,0
1785868898410|1003|degrade_static_unavailable_4|rotating|10,1378943233,33558272,4380676,4344857,35920,0,35920,0,778,0,389,0,0,0,4155,4154,2484912,0,4096,0,0,0,389,0,1562388340,0,1562388348,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|6,1616197309,0,4194304,0,4194304,0,4194304,0,9071,0,1,1,310732279,0,310732279,0,2048,312001852,0,565985945,0,0,0,0,0
1785868907229|1004|degrade_static_unavailable_8|fixed|14,1378943233,16779383,4308500,4272406,4273129,4272406,4273129,4272406,4088,4086,4086,4085,0,0,383,0,126137168,126110587,4096,4096,0,0,4087,4086,2143330909,2143330938,2143330917,2143330946,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|8,2902544161,0,11455360,0,4194304,0,4194304,0,3239108,0,2,1,848443351,0,848443351,0,2080,851640901,0,1640884400,0,0,0,0,0
1785868907229|1004|degrade_static_unavailable_8|rotating|14,1378943233,33558272,4384954,4348051,35920,0,35920,0,778,0,389,0,0,0,4159,4158,2484912,0,4096,0,0,0,389,0,2126667963,0,2126667971,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|8,2180559462,0,4194304,0,8388608,0,8388608,0,9071,0,1,2,310732279,0,310732279,0,2048,312001852,0,718902414,0,0,0,0,0
1785868916005|1005|degrade_static_unavailable_3|fixed|18,1378943233,16781056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|10,3464308179,0,12582912,0,4194304,0,4194304,0,5137,0,3,1,932196981,0,932196981,0,2048,936005699,0,1793518108,0,0,0,0,0
1785868916005|1005|degrade_static_unavailable_3|rotating|18,1378943233,33558272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|10,2742301717,0,5600476,0,12582912,0,12582912,0,1500367,0,1,3,541821045,0,541821045,0,2072,543396325,0,968746647,0,0,0,0,0
1785868921006|1005|degrade_static_unavailable_3|fixed|20,1378943233,16781056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|12,3784212712,0,12582912,0,4194304,0,4194304,0,7099,0,3,1,932196981,0,932196981,0,2048,936005699,0,1793518108,0,0,0,0,0
