captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785868719459|0|SAFE_BOOT|fixed|1350565379|8193|8193
1785868719459|0|SAFE_BOOT|rotating|1346371075|8193|8193
1785868719883|1001|mask_1_f2r_active|fixed|1350565379|8193|8193
1785868719883|1001|mask_1_f2r_active|rotating|1350557187|8193|8193
1785868724245|1001|mask_1_f2r_terminal|fixed|1346371075|8193|8193
1785868724245|1001|mask_1_f2r_terminal|rotating|1346371075|8193|8193
1785868724838|1002|mask_1_r2f_active|fixed|1350557187|8193|8193
1785868724838|1002|mask_1_r2f_active|rotating|1346371075|8193|8193
1785868729213|1002|mask_1_r2f_terminal|fixed|1346371075|8193|8193
1785868729213|1002|mask_1_r2f_terminal|rotating|1350565379|8193|8193
1785868729805|1003|mask_2_f2r_active|fixed|1350565379|8193|8193
1785868729805|1003|mask_2_f2r_active|rotating|1346362883|8193|8193
1785868734182|1003|mask_2_f2r_terminal|fixed|1350565379|8193|8193
1785868734182|1003|mask_2_f2r_terminal|rotating|1346371075|8193|8193
1785868734767|1004|mask_2_r2f_active|fixed|1350557187|8193|8193
1785868734767|1004|mask_2_r2f_active|rotating|1350565379|8193|8193
1785868739136|1004|mask_2_r2f_terminal|fixed|1350565379|8193|8193
1785868739136|1004|mask_2_r2f_terminal|rotating|1346371075|8193|8193
1785868739738|1005|mask_3_f2r_active|fixed|1350565379|8193|8193
1785868739738|1005|mask_3_f2r_active|rotating|1350557187|8193|8193
1785868742280|1005|mask_3_f2r_terminal|fixed|1346371075|8193|8193
1785868742280|1005|mask_3_f2r_terminal|rotating|1346371075|8193|8193
1785868742877|1006|mask_3_r2f_active|fixed|1350557187|8193|8193
1785868742877|1006|mask_3_r2f_active|rotating|1350565379|8193|8193
1785868745441|1006|mask_3_r2f_terminal|fixed|1350565379|8193|8193
1785868745441|1006|mask_3_r2f_terminal|rotating|1346371075|8193|8193
1785868746021|1007|mask_4_f2r_active|fixed|1350565379|8193|8193
1785868746021|1007|mask_4_f2r_active|rotating|1350557187|8193|8193
1785868750374|1007|mask_4_f2r_terminal|fixed|1350565379|8193|8193
1785868750374|1007|mask_4_f2r_terminal|rotating|1346371075|8193|8193
1785868750978|1008|mask_4_r2f_active|fixed|1346362883|8193|8193
1785868750978|1008|mask_4_r2f_active|rotating|1346371075|8193|8193
1785868755335|1008|mask_4_r2f_terminal|fixed|1350565379|8193|8193
1785868755335|1008|mask_4_r2f_terminal|rotating|1350565379|8193|8193
1785868755926|1009|mask_5_f2r_active|fixed|1350565379|8193|8193
1785868755926|1009|mask_5_f2r_active|rotating|1346362883|8193|8193
1785868758567|1009|mask_5_f2r_terminal|fixed|1346371075|8193|8193
1785868758567|1009|mask_5_f2r_terminal|rotating|1350565379|8193|8193
1785868759209|1010|mask_5_r2f_active|fixed|1350557187|8193|8193
1785868759209|1010|mask_5_r2f_active|rotating|1350565379|8193|8193
1785868761782|1010|mask_5_r2f_terminal|fixed|1350565379|8193|8193
1785868761782|1010|mask_5_r2f_terminal|rotating|1346371075|8193|8193
1785868762445|1011|mask_6_f2r_active|fixed|1350565379|8193|8193
1785868762445|1011|mask_6_f2r_active|rotating|1350557187|8193|8193
1785868765151|1011|mask_6_f2r_terminal|fixed|1350565379|8193|8193
1785868765151|1011|mask_6_f2r_terminal|rotating|1350565379|8193|8193
1785868765808|1012|mask_6_r2f_active|fixed|1350557187|8193|8193
1785868765808|1012|mask_6_r2f_active|rotating|1350565379|8193|8193
1785868768486|1012|mask_6_r2f_terminal|fixed|1346371075|8193|8193
1785868768486|1012|mask_6_r2f_terminal|rotating|1346371075|8193|8193
1785868769154|1013|mask_7_f2r_active|fixed|1346371075|8193|8193
1785868769154|1013|mask_7_f2r_active|rotating|1346362883|8193|8193
1785868771181|1013|mask_7_f2r_terminal|fixed|1346371075|8193|8193
1785868771181|1013|mask_7_f2r_terminal|rotating|1350565379|8193|8193
1785868771764|1014|mask_7_r2f_active|fixed|1346362883|8193|8193
1785868771764|1014|mask_7_r2f_active|rotating|1350565379|8193|8193
1785868773777|1014|mask_7_r2f_terminal|fixed|1346371075|8193|8193
1785868773777|1014|mask_7_r2f_terminal|rotating|1350565379|8193|8193
1785868774384|1015|mask_8_f2r_active|fixed|1350565379|8193|8193
1785868774384|1015|mask_8_f2r_active|rotating|1350557187|8193|8193
1785868778751|1015|mask_8_f2r_terminal|fixed|1350565379|8193|8193
1785868778751|1015|mask_8_f2r_terminal|rotating|1346371075|8193|8193
1785868779350|1016|mask_8_r2f_active|fixed|1346362883|8193|8193
1785868779350|1016|mask_8_r2f_active|rotating|1346371075|8193|8193
1785868783715|1016|mask_8_r2f_terminal|fixed|1346371075|8193|8193
1785868783715|1016|mask_8_r2f_terminal|rotating|1350565379|8193|8193
1785868784311|1017|mask_9_f2r_active|fixed|1346371075|8193|8193
1785868784311|1017|mask_9_f2r_active|rotating|1350557187|8193|8193
1785868786884|1017|mask_9_f2r_terminal|fixed|1350565379|8193|8193
1785868786884|1017|mask_9_f2r_terminal|rotating|1346371075|8193|8193
1785868787503|1018|mask_9_r2f_active|fixed|1346362883|8193|8193
1785868787503|1018|mask_9_r2f_active|rotating|1350565379|8193|8193
1785868790099|1018|mask_9_r2f_terminal|fixed|1346371075|8193|8193
1785868790099|1018|mask_9_r2f_terminal|rotating|1350565379|8193|8193
1785868790707|1019|mask_A_f2r_active|fixed|1350565379|8193|8193
1785868790707|1019|mask_A_f2r_active|rotating|1346362883|8193|8193
1785868793288|1019|mask_A_f2r_terminal|fixed|1346371075|8193|8193
1785868793288|1019|mask_A_f2r_terminal|rotating|1346371075|8193|8193
1785868793887|1020|mask_A_r2f_active|fixed|1350557187|8193|8193
1785868793887|1020|mask_A_r2f_active|rotating|1350565379|8193|8193
1785868796421|1020|mask_A_r2f_terminal|fixed|1350565379|8193|8193
1785868796421|1020|mask_A_r2f_terminal|rotating|1346371075|8193|8193
1785868797000|1021|mask_B_f2r_active|fixed|1346371075|8193|8193
1785868797000|1021|mask_B_f2r_active|rotating|1350557187|8193|8193
1785868799042|1021|mask_B_f2r_terminal|fixed|1350565379|8193|8193
1785868799042|1021|mask_B_f2r_terminal|rotating|1350565379|8193|8193
1785868799674|1022|mask_B_r2f_active|fixed|1346362883|8193|8193
1785868799674|1022|mask_B_r2f_active|rotating|1346371075|8193|8193
1785868801660|1022|mask_B_r2f_terminal|fixed|1350565379|8193|8193
1785868801660|1022|mask_B_r2f_terminal|rotating|1350565379|8193|8193
1785868802237|1023|mask_C_f2r_active|fixed|1350565379|8193|8193
1785868802237|1023|mask_C_f2r_active|rotating|1350557187|8193|8193
1785868804788|1023|mask_C_f2r_terminal|fixed|1350565379|8193|8193
1785868804788|1023|mask_C_f2r_terminal|rotating|1350565379|8193|8193
1785868805405|1024|mask_C_r2f_active|fixed|1350557187|8193|8193
1785868805405|1024|mask_C_r2f_active|rotating|1350565379|8193|8193
1785868808684|1024|mask_C_r2f_terminal|fixed|1346371075|8193|8193
1785868808684|1024|mask_C_r2f_terminal|rotating|1350565379|8193|8193
1785868809295|1025|mask_D_f2r_active|fixed|1350565379|8193|8193
1785868809295|1025|mask_D_f2r_active|rotating|1346362883|8193|8193
1785868811306|1025|mask_D_f2r_terminal|fixed|1350565379|8193|8193
1785868811306|1025|mask_D_f2r_terminal|rotating|1350565379|8193|8193
1785868811947|1026|mask_D_r2f_active|fixed|1346362883|8193|8193
1785868811947|1026|mask_D_r2f_active|rotating|1346371075|8193|8193
1785868813978|1026|mask_D_r2f_terminal|fixed|1346371075|8193|8193
1785868813978|1026|mask_D_r2f_terminal|rotating|1350565379|8193|8193
1785868814600|1027|mask_E_f2r_active|fixed|1350565379|8193|8193
1785868814600|1027|mask_E_f2r_active|rotating|1350557187|8193|8193
1785868816647|1027|mask_E_f2r_terminal|fixed|1346371075|8193|8193
1785868816647|1027|mask_E_f2r_terminal|rotating|1346371075|8193|8193
1785868817237|1028|mask_E_r2f_active|fixed|1350557187|8193|8193
1785868817237|1028|mask_E_r2f_active|rotating|1350565379|8193|8193
1785868819245|1028|mask_E_r2f_terminal|fixed|1350565379|8193|8193
1785868819245|1028|mask_E_r2f_terminal|rotating|1346371075|8193|8193
1785868819885|1029|mask_F_f2r_active|fixed|1350565379|8193|8193
1785868819885|1029|mask_F_f2r_active|rotating|1350557187|8193|8193
1785868821558|1029|mask_F_f2r_terminal|fixed|1346371075|8193|8193
1785868821558|1029|mask_F_f2r_terminal|rotating|1346371075|8193|8193
1785868822167|1030|mask_F_r2f_active|fixed|1346362883|8193|8193
1785868822167|1030|mask_F_r2f_active|rotating|1350565379|8193|8193
1785868823854|1030|mask_F_r2f_terminal|fixed|1350565379|8193|8193
1785868823854|1030|mask_F_r2f_terminal|rotating|1346371075|8193|8193
1785868824383|1031|P10_3F-MASK_MATRIX_endpoint_shutdown_terminal|fixed|1346371075|8193|8193
1785868824383|1031|P10_3F-MASK_MATRIX_endpoint_shutdown_terminal|rotating|1346371075|8193|8193
