captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785868161344|0|SAFE_BOOT|fixed|1350565379|8193|8193
1785868161344|0|SAFE_BOOT|rotating|1350565379|8193|8193
1785868161400|1001|phy_lane0_f2r_counter_100f_active|fixed|1346371075|8193|8193
1785868161400|1001|phy_lane0_f2r_counter_100f_active|rotating|1350557187|8193|8193
1785868161801|1001|phy_lane0_f2r_counter_100f_terminal|fixed|1346371075|8193|8193
1785868161801|1001|phy_lane0_f2r_counter_100f_terminal|rotating|1350565379|8193|8193
1785868162903|1002|phy_lane0_f2r_prbs_10000f_active|fixed|1346371075|8193|8193
1785868162903|1002|phy_lane0_f2r_prbs_10000f_active|rotating|1350557187|8193|8193
1785868168028|1002|phy_lane0_f2r_prbs_10000f|fixed|1346371074|8193|8193
1785868168028|1002|phy_lane0_f2r_prbs_10000f|rotating|1346362883|8193|8193
1785868172746|1002|phy_lane0_f2r_prbs_10000f_terminal|fixed|1346371075|8193|8193
1785868172746|1002|phy_lane0_f2r_prbs_10000f_terminal|rotating|1350565379|8193|8193
1785868172973|1003|phy_lane0_r2f_counter_100f_active|fixed|1346362883|8193|8193
1785868172973|1003|phy_lane0_r2f_counter_100f_active|rotating|1346371075|8193|8193
1785868173381|1003|phy_lane0_r2f_counter_100f_terminal|fixed|1350565379|8193|8193
1785868173381|1003|phy_lane0_r2f_counter_100f_terminal|rotating|1346371075|8193|8193
1785868174528|1004|phy_lane0_r2f_prbs_10000f_active|fixed|1346362883|8193|8193
1785868174528|1004|phy_lane0_r2f_prbs_10000f_active|rotating|1346371075|8193|8193
1785868179676|1004|phy_lane0_r2f_prbs_10000f|fixed|1350557187|8193|8193
1785868179676|1004|phy_lane0_r2f_prbs_10000f|rotating|1346371074|8193|8193
1785868184347|1004|phy_lane0_r2f_prbs_10000f_terminal|fixed|1350565379|8193|8193
1785868184347|1004|phy_lane0_r2f_prbs_10000f_terminal|rotating|1350565379|8193|8193
1785868184604|1005|phy_lane1_f2r_counter_100f_active|fixed|1350565379|8193|8193
1785868184604|1005|phy_lane1_f2r_counter_100f_active|rotating|1350557187|8193|8193
1785868185006|1005|phy_lane1_f2r_counter_100f_terminal|fixed|1346371075|8193|8193
1785868185006|1005|phy_lane1_f2r_counter_100f_terminal|rotating|1346371075|8193|8193
1785868186112|1006|phy_lane1_f2r_prbs_10000f_active|fixed|1350565379|8193|8193
1785868186112|1006|phy_lane1_f2r_prbs_10000f_active|rotating|1350557187|8193|8193
1785868191323|1006|phy_lane1_f2r_prbs_10000f|fixed|1350565378|8193|8193
1785868191323|1006|phy_lane1_f2r_prbs_10000f|rotating|1350557187|8193|8193
1785868196024|1006|phy_lane1_f2r_prbs_10000f_terminal|fixed|1346371075|8193|8193
1785868196024|1006|phy_lane1_f2r_prbs_10000f_terminal|rotating|1346371075|8193|8193
1785868196258|1007|phy_lane1_r2f_counter_100f_active|fixed|1346362883|8193|8193
1785868196258|1007|phy_lane1_r2f_counter_100f_active|rotating|1346371075|8193|8193
1785868196824|1007|phy_lane1_r2f_counter_100f_terminal|fixed|1346371075|8193|8193
1785868196824|1007|phy_lane1_r2f_counter_100f_terminal|rotating|1350565379|8193|8193
1785868198051|1008|phy_lane1_r2f_prbs_10000f_active|fixed|1346362883|8193|8193
1785868198051|1008|phy_lane1_r2f_prbs_10000f_active|rotating|1350565379|8193|8193
1785868203153|1008|phy_lane1_r2f_prbs_10000f|fixed|1346362883|8193|8193
1785868203153|1008|phy_lane1_r2f_prbs_10000f|rotating|1350565378|8193|8193
1785868207914|1008|phy_lane1_r2f_prbs_10000f_terminal|fixed|1346371075|8193|8193
1785868207914|1008|phy_lane1_r2f_prbs_10000f_terminal|rotating|1350565379|8193|8193
1785868208136|1009|phy_lane2_f2r_counter_100f_active|fixed|1346371075|8193|8193
1785868208136|1009|phy_lane2_f2r_counter_100f_active|rotating|1350557187|8193|8193
1785868208570|1009|phy_lane2_f2r_counter_100f_terminal|fixed|1346371075|8193|8193
1785868208570|1009|phy_lane2_f2r_counter_100f_terminal|rotating|1346371075|8193|8193
