captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1785868310432|1001|regression64_f2r|fixed|2,1378943233,16780339,6075194,6032909,6040187,6032909,6040187,6032909,6297,6286,5754,5754,0,0,371,0,177627946,177464565,4096,4096,0,0,5755,5755,361198935,361198940,361198943,361198948,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,52,0,40,0,13,10,0,1,52,0|4,1092185892,0,2866464,0,0,0,0,0,3042462,0,10,0,320547694,0,320547694,0,2080,314613021,0,8235255,0,0,0,0,0
1785868310432|1001|regression64_f2r|rotating|2,1378943233,33558272,6142207,6099574,35382,0,35382,0,746,0,375,0,0,0,5818,5814,2395752,0,4096,0,0,0,375,0,346368474,0,346368482,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|5,0,67108864,262144,256,0,0,0,0,56,0,44,0,14,11,0,1,56,0|4,394684996,0,0,0,2883584,0,2883584,0,8916,0,0,11,0,0,0,0,0,0,0,6873729,0,0,0,0,0
1785868315455|1001|regression64_f2r|fixed|4,1378943233,16780817,12357041,12269874,12285982,12269874,12285982,12269874,12262,12239,11708,11708,0,0,753,0,361403479,361045352,4096,4096,0,0,11709,11708,682546422,682528570,682546430,682528578,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,100,0,88,0,25,22,0,1,100,0|6,1414319389,0,5814592,0,0,0,0,0,6170997,0,22,0,641944159,0,641944159,0,2080,635020723,0,9802041,0,0,0,0,0
1785868315455|1001|regression64_f2r|rotating|4,1378943233,33558272,12462707,12374831,71627,0,71627,0,1514,0,759,0,0,0,11808,11804,4849128,0,4096,0,0,0,759,0,669558898,0,669558906,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,100,0,88,0,25,22,0,1,100,0|6,718508845,0,0,0,5767168,0,5767168,0,17978,0,0,22,0,0,0,0,0,0,0,6899433,0,0,0,0,0
1785868320463|1001|regression64_f2r|fixed|6,1378943233,16780339,18633844,18501770,18526918,18501770,18526918,18501770,18218,18184,17652,17652,0,0,1133,0,544907662,544370761,4096,4096,0,0,17653,17653,1003277349,1003277362,1003277357,1003277370,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,144,0,132,0,36,33,0,1,144,0|8,1733238013,0,8729792,0,0,0,0,0,9271317,0,33,0,960133983,0,960133983,0,2080,952353934,0,11234186,0,0,0,0,0
1785868320463|1001|regression64_f2r|rotating|6,1378943233,33558272,18684177,18551767,107211,0,107211,0,2268,0,1136,0,0,0,17700,17696,7257784,0,4096,0,0,0,1136,0,987301123,0,987301131,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,144,0,132,0,36,33,0,1,144,0|8,1035930360,0,0,0,8650752,0,8650752,0,26873,0,0,33,0,0,0,0,0,0,0,6916518,0,0,0,0,0
1785868325476|1001|regression64_f2r|fixed|8,1378943233,16780339,24906530,24730510,24763641,24730510,24763641,24730510,24172,24127,23595,23595,0,0,1514,0,728339317,727621344,4096,4096,0,0,23596,23596,1323897450,1323897455,1323897458,1323897463,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|10,2055011265,0,11676608,0,0,0,0,0,12399125,0,44,0,1281170531,0,1281170531,0,2080,1272540652,0,12666336,0,0,0,0,0
1785868325476|1001|regression64_f2r|rotating|8,1378943233,33558272,24981592,24805259,143267,0,143267,0,3032,0,1518,0,0,0,23666,23662,9698352,0,4096,0,0,0,1518,0,1309341039,0,1309341047,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|10,1357515365,0,0,0,11534336,0,11534336,0,35863,0,0,44,0,0,0,0,0,0,0,6934623,0,0,0,0,0
1785868330491|1001|regression64_f2r|fixed|10,1378943233,16780339,31183028,30961909,31004179,30961909,31004179,30961909,30132,30076,29544,29544,0,0,1895,0,911981004,911081879,4096,4096,0,0,29545,29545,1644873272,1644873269,1644873280,1644873285,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,232,0,220,0,58,55,0,1,232,0|12,2375954998,0,14615520,0,0,0,0,0,15516571,0,55,0,1601379536,0,1601379536,0,2080,1591896890,0,14099726,0,0,0,0,0
1785868330491|1001|regression64_f2r|rotating|10,1378943233,33558272,31271423,31049836,179319,0,179319,0,3796,0,1900,0,0,0,29628,29624,12138864,0,4096,0,0,0,1900,0,1631382183,0,1631382191,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,232,0,220,0,58,55,0,1,232,0|12,1679839076,0,0,0,14417920,0,14417920,0,44899,0,0,55,0,0,0,0,0,0,0,6956599,0,0,0,0,0
1785868335499|1001|regression64_f2r|fixed|12,1378943233,16781056,37472605,37207528,37257801,37207528,37257801,37207528,36105,36039,35507,35507,0,0,2276,0,1096032080,1094953680,4096,4096,0,0,35507,35507,1966554041,1966554374,1966554057,1966554390,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,276,0,264,0,69,66,0,1,276,0|14,2697531477,0,17554432,0,0,0,0,0,18640408,0,66,0,1922221287,0,1922221287,0,2080,1911885396,0,15533594,0,0,0,0,0
1785868335499|1001|regression64_f2r|rotating|12,1378943233,33558272,37549620,37283337,215370,0,215370,0,4560,0,2282,0,0,0,35579,35575,14579480,0,4096,0,0,0,2282,0,1952725080,0,1952725088,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,280,0,268,0,70,67,0,1,280,0|14,2000994238,0,0,0,17563648,0,17563648,0,53889,0,0,67,0,0,0,0,0,0,0,6983441,0,0,0,0,0
1785868340512|1001|regression64_f2r|fixed|14,1378943233,16780339,43668545,43357583,43417885,43357583,43417885,43357583,41985,41908,41375,41375,0,0,2656,0,1277190992,1275933072,4096,4096,0,0,41376,41376,2286430467,2286430464,2286430427,2286430432,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,320,0,308,0,80,77,0,1,320,0|16,3017447364,0,20447232,0,0,0,0,0,21717804,0,78,0,2241413974,0,2241413974,0,2080,2230186637,0,16991386,0,0,0,0,0
1785868340512|1001|regression64_f2r|rotating|14,1378943233,33558033,43733987,43421994,251119,0,251119,0,5313,0,2660,0,0,0,41438,41430,16996404,0,4096,0,0,0,2661,0,2272192516,0,2272192524,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,324,0,312,0,81,78,0,1,324,0|16,2319911473,0,0,0,20447232,0,20447232,0,62830,0,0,78,0,0,0,0,0,0,0,7006209,0,0,0,0,0
1785868345516|1001|regression64_f2r|fixed|16,1378943233,16780339,49926236,49571399,49639710,49571399,49639710,49571399,47927,47838,47305,47305,0,0,3036,0,1460215024,1458759950,4096,4096,0,0,47306,47306,2606469057,2606469038,2606469033,2606469046,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,368,0,356,0,92,89,0,1,368,0|18,3337447012,0,23378240,0,0,0,0,0,24826909,0,89,0,2560680870,0,2560680870,0,2080,2548489619,0,18534195,0,0,0,0,0
1785868345516|1001|regression64_f2r|rotating|16,1378943233,33558272,50000669,49645365,286999,0,286999,0,6074,0,3041,0,0,0,47375,47367,19428640,0,4096,0,0,0,3041,0,2592513109,0,2592513117,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,368,0,356,0,92,89,0,1,368,0|18,2640116092,0,0,0,23330816,0,23330816,0,71797,0,0,89,0,0,0,0,0,0,0,7024623,0,0,0,0,0
1785868350531|1001|regression64_f2r|fixed|18,1378943233,16780339,56084723,55685412,55762253,55685412,55762253,55685412,53771,53671,53138,53138,0,0,3417,0,1640276888,1638641915,4096,4096,0,0,53139,53139,2927624309,2927624306,2927624325,2927624314,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,412,0,400,0,103,100,0,1,412,0|20,3658490394,0,26253920,0,0,0,0,0,27884882,0,100,0,2881005332,0,2881005332,0,2080,2867949240,0,19966501,0,0,0,0,0
1785868350531|1001|regression64_f2r|rotating|18,1378943233,33558272,56151885,55752169,322850,0,322850,0,6826,0,3421,0,0,0,53202,53186,21856376,0,4096,0,0,0,3421,0,2912582126,0,2912582134,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,412,0,400,0,103,100,0,1,412,0|20,2961053831,0,0,0,26214400,0,26214400,0,80783,0,0,100,0,0,0,0,0,0,0,7045412,0,0,0,0,0
1785868355533|1001|regression64_f2r|fixed|20,1378943233,16781056,62286300,61842956,61927974,61842956,61927974,61842956,59656,59545,59013,59013,0,0,3797,0,1821616096,1819801032,4096,4096,0,0,59013,59013,3247789151,3247789484,3247789159,3247789492,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,456,0,444,0,114,111,0,1,456,0|22,3978774564,0,29153312,0,0,0,0,0,30966863,0,111,0,3200564654,0,3200564654,0,2080,3186646696,0,21400660,0,0,0,0,0
1785868355533|1001|regression64_f2r|rotating|20,1378943233,33558272,62353793,61910093,358704,0,358704,0,7582,0,3801,0,0,0,59077,59057,24284096,0,4096,0,0,0,3801,0,3232778979,0,3232778987,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,456,0,444,0,114,111,0,1,456,0|22,3281285018,0,0,0,29097984,0,29097984,0,89747,0,0,111,0,0,0,0,0,0,0,7063799,0,0,0,0,0
1785868360541|1001|regression64_f2r|fixed|22,1378943233,16780339,68553840,68066196,68159647,68066196,68159647,68066196,65606,65483,64950,64950,0,0,4177,0,2004888185,2002893368,4096,4096,0,0,64951,64951,3568147220,3568147225,3568147228,3568147193,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,500,0,488,0,125,122,0,1,500,0|24,4307142,1,32084320,0,0,0,0,0,34082020,0,122,0,3520331776,0,3520331776,0,2080,3505552784,0,22840620,0,0,0,0,0
