captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785868305274|0|SAFE_BOOT|fixed|1346371075|8193|8193
1785868305274|0|SAFE_BOOT|rotating|1346371075|8193|8193
1785868305429|1001|regression64_f2r_active|fixed|1346371075|8193|8193
1785868305429|1001|regression64_f2r_active|rotating|1350557187|8193|8193
1785868310538|1001|regression64_f2r|fixed|1350565378|8193|8193
1785868310538|1001|regression64_f2r|rotating|1350557187|8193|8193
1785868315593|1001|regression64_f2r|fixed|1346371074|8193|8193
1785868315593|1001|regression64_f2r|rotating|1346362883|8193|8193
1785868320550|1001|regression64_f2r|fixed|1350565378|8193|8193
1785868320550|1001|regression64_f2r|rotating|1346362883|8193|8193
1785868325583|1001|regression64_f2r|fixed|1346371074|8193|8193
1785868325583|1001|regression64_f2r|rotating|1350557187|8193|8193
1785868330627|1001|regression64_f2r|fixed|1350565378|8193|8193
1785868330627|1001|regression64_f2r|rotating|1350557187|8193|8193
1785868335647|1001|regression64_f2r|fixed|1350565378|8193|8193
1785868335647|1001|regression64_f2r|rotating|1350557187|8193|8193
1785868340619|1001|regression64_f2r|fixed|1346371074|8193|8193
1785868340619|1001|regression64_f2r|rotating|1346362883|8193|8193
1785868345617|1001|regression64_f2r|fixed|1350565378|8193|8193
1785868345617|1001|regression64_f2r|rotating|1350557187|8193|8193
1785868350636|1001|regression64_f2r|fixed|1346371074|8193|8193
1785868350636|1001|regression64_f2r|rotating|1350557187|8193|8193
1785868355639|1001|regression64_f2r|fixed|1346371074|8193|8193
1785868355639|1001|regression64_f2r|rotating|1346362883|8193|8193
1785868360677|1001|regression64_f2r|fixed|1350565378|8193|8193
1785868360677|1001|regression64_f2r|rotating|1346362883|8193|8193
1785868365810|1001|regression64_f2r|fixed|1350565378|8193|8193
1785868365810|1001|regression64_f2r|rotating|1346362883|8193|8193
1785868370699|1001|regression64_f2r|fixed|1346371074|8193|8193
1785868370699|1001|regression64_f2r|rotating|1346362883|8193|8193
1785868375689|1001|regression64_f2r|fixed|1350565378|8193|8193
1785868375689|1001|regression64_f2r|rotating|1346362883|8193|8193
1785868380706|1001|regression64_f2r|fixed|1346371074|8193|8193
1785868380706|1001|regression64_f2r|rotating|1350557187|8193|8193
1785868385718|1001|regression64_f2r|fixed|1346371074|8193|8193
1785868385718|1001|regression64_f2r|rotating|1346362883|8193|8193
1785868390727|1001|regression64_f2r|fixed|1346371074|8193|8193
1785868390727|1001|regression64_f2r|rotating|1346362883|8193|8193
1785868395764|1001|regression64_f2r|fixed|1346371074|8193|8193
1785868395764|1001|regression64_f2r|rotating|1346362883|8193|8193
1785868400752|1001|regression64_f2r|fixed|1346371074|8193|8193
1785868400752|1001|regression64_f2r|rotating|1350557187|8193|8193
1785868405752|1001|regression64_f2r|fixed|1346371074|8193|8193
1785868405752|1001|regression64_f2r|rotating|1346362883|8193|8193
1785868410742|1001|regression64_f2r|fixed|1346371074|8193|8193
1785868410742|1001|regression64_f2r|rotating|1350557187|8193|8193
1785868415732|1001|regression64_f2r|fixed|1346371074|8193|8193
1785868415732|1001|regression64_f2r|rotating|1350557187|8193|8193
1785868420761|1001|regression64_f2r|fixed|1346371074|8193|8193
1785868420761|1001|regression64_f2r|rotating|1350557187|8193|8193
1785868421570|1001|regression64_f2r_terminal|fixed|1346371075|8193|8193
1785868421570|1001|regression64_f2r_terminal|rotating|1346371075|8193|8193
1785868421902|1002|regression64_r2f_active|fixed|1346362883|8193|8193
1785868421902|1002|regression64_r2f_active|rotating|1346371075|8193|8193
1785868427017|1002|regression64_r2f|fixed|1350557187|8193|8193
1785868427017|1002|regression64_r2f|rotating|1350565378|8193|8193
1785868432024|1002|regression64_r2f|fixed|1346362883|8193|8193
1785868432024|1002|regression64_r2f|rotating|1350565378|8193|8193
1785868437066|1002|regression64_r2f|fixed|1350557187|8193|8193
1785868437066|1002|regression64_r2f|rotating|1350565378|8193|8193
1785868442174|1002|regression64_r2f|fixed|1350557187|8193|8193
1785868442174|1002|regression64_r2f|rotating|1350565378|8193|8193
1785868447053|1002|regression64_r2f|fixed|1346362883|8193|8193
1785868447053|1002|regression64_r2f|rotating|1346371074|8193|8193
1785868452166|1002|regression64_r2f|fixed|1350557187|8193|8193
1785868452166|1002|regression64_r2f|rotating|1346371074|8193|8193
1785868457099|1002|regression64_r2f|fixed|1346362883|8193|8193
1785868457099|1002|regression64_r2f|rotating|1346371074|8193|8193
1785868462081|1002|regression64_r2f|fixed|1350557187|8193|8193
1785868462081|1002|regression64_r2f|rotating|1350565378|8193|8193
1785868467068|1002|regression64_r2f|fixed|1350557187|8193|8193
1785868467068|1002|regression64_r2f|rotating|1346371074|8193|8193
1785868472110|1002|regression64_r2f|fixed|1350557187|8193|8193
1785868472110|1002|regression64_r2f|rotating|1350565378|8193|8193
1785868477097|1002|regression64_r2f|fixed|1350557187|8193|8193
