captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785871987081|0|SAFE_BOOT|fixed|1350565379|8193|8193
1785871987081|0|SAFE_BOOT|rotating|1350565379|8193|8193
1785871987491|1001|mask_1_f2r_active|fixed|1346371075|8193|8193
1785871987491|1001|mask_1_f2r_active|rotating|1350557187|8193|8193
1785871991838|1001|mask_1_f2r_terminal|fixed|1350565379|8193|8193
1785871991838|1001|mask_1_f2r_terminal|rotating|1350565379|8193|8193
1785871992429|1002|mask_1_r2f_active|fixed|1346362883|8193|8193
1785871992429|1002|mask_1_r2f_active|rotating|1350565379|8193|8193
1785871996785|1002|mask_1_r2f_terminal|fixed|1350565379|8193|8193
1785871996785|1002|mask_1_r2f_terminal|rotating|1350565379|8193|8193
1785871997424|1003|mask_2_f2r_active|fixed|1350565379|8193|8193
1785871997424|1003|mask_2_f2r_active|rotating|1346362883|8193|8193
1785872001780|1003|mask_2_f2r_terminal|fixed|1346371075|8193|8193
1785872001780|1003|mask_2_f2r_terminal|rotating|1346371075|8193|8193
1785872002425|1004|mask_2_r2f_active|fixed|1350557187|8193|8193
1785872002425|1004|mask_2_r2f_active|rotating|1350565379|8193|8193
1785872006782|1004|mask_2_r2f_terminal|fixed|1350565379|8193|8193
1785872006782|1004|mask_2_r2f_terminal|rotating|1350565379|8193|8193
1785872007380|1005|mask_3_f2r_active|fixed|1346371075|8193|8193
1785872007380|1005|mask_3_f2r_active|rotating|1346362883|8193|8193
1785872009965|1005|mask_3_f2r_terminal|fixed|1350565379|8193|8193
1785872009965|1005|mask_3_f2r_terminal|rotating|1346371075|8193|8193
1785872010586|1006|mask_3_r2f_active|fixed|1346362883|8193|8193
1785872010586|1006|mask_3_r2f_active|rotating|1350565379|8193|8193
1785872013170|1006|mask_3_r2f_terminal|fixed|1350565379|8193|8193
1785872013170|1006|mask_3_r2f_terminal|rotating|1346371075|8193|8193
1785872013776|1007|mask_4_f2r_active|fixed|1350565379|8193|8193
1785872013776|1007|mask_4_f2r_active|rotating|1350557187|8193|8193
1785872018125|1007|mask_4_f2r_terminal|fixed|1346371075|8193|8193
1785872018125|1007|mask_4_f2r_terminal|rotating|1350565379|8193|8193
1785872018719|1008|mask_4_r2f_active|fixed|1346362883|8193|8193
1785872018719|1008|mask_4_r2f_active|rotating|1350565379|8193|8193
1785872023090|1008|mask_4_r2f_terminal|fixed|1350565379|8193|8193
1785872023090|1008|mask_4_r2f_terminal|rotating|1350565379|8193|8193
1785872023699|1009|mask_5_f2r_active|fixed|1350565379|8193|8193
1785872023699|1009|mask_5_f2r_active|rotating|1346362883|8193|8193
1785872026297|1009|mask_5_f2r_terminal|fixed|1346371075|8193|8193
1785872026297|1009|mask_5_f2r_terminal|rotating|1350565379|8193|8193
1785872026882|1010|mask_5_r2f_active|fixed|1350557187|8193|8193
1785872026882|1010|mask_5_r2f_active|rotating|1346371075|8193|8193
1785872029459|1010|mask_5_r2f_terminal|fixed|1350565379|8193|8193
1785872029459|1010|mask_5_r2f_terminal|rotating|1350565379|8193|8193
1785872030076|1011|mask_6_f2r_active|fixed|1346371075|8193|8193
1785872030076|1011|mask_6_f2r_active|rotating|1346362883|8193|8193
1785872032622|1011|mask_6_f2r_terminal|fixed|1346371075|8193|8193
1785872032622|1011|mask_6_f2r_terminal|rotating|1346371075|8193|8193
1785872033202|1012|mask_6_r2f_active|fixed|1346362883|8193|8193
1785872033202|1012|mask_6_r2f_active|rotating|1350565379|8193|8193
1785872035748|1012|mask_6_r2f_terminal|fixed|1346371075|8193|8193
1785872035748|1012|mask_6_r2f_terminal|rotating|1346371075|8193|8193
1785872036370|1013|mask_7_f2r_active|fixed|1346371075|8193|8193
1785872036370|1013|mask_7_f2r_active|rotating|1346362883|8193|8193
1785872038403|1013|mask_7_f2r_terminal|fixed|1346371075|8193|8193
1785872038403|1013|mask_7_f2r_terminal|rotating|1350565379|8193|8193
1785872039034|1014|mask_7_r2f_active|fixed|1346362883|8193|8193
1785872039034|1014|mask_7_r2f_active|rotating|1350565379|8193|8193
1785872041067|1014|mask_7_r2f_terminal|fixed|1350565379|8193|8193
1785872041067|1014|mask_7_r2f_terminal|rotating|1346371075|8193|8193
1785872041677|1015|mask_8_f2r_active|fixed|1346371075|8193|8193
1785872041677|1015|mask_8_f2r_active|rotating|1346362883|8193|8193
1785872046043|1015|mask_8_f2r_terminal|fixed|1350565379|8193|8193
1785872046043|1015|mask_8_f2r_terminal|rotating|1350565379|8193|8193
1785872046650|1016|mask_8_r2f_active|fixed|1346362883|8193|8193
1785872046650|1016|mask_8_r2f_active|rotating|1350565379|8193|8193
1785872051007|1016|mask_8_r2f_terminal|fixed|1350565379|8193|8193
1785872051007|1016|mask_8_r2f_terminal|rotating|1346371075|8193|8193
1785872051600|1017|mask_9_f2r_active|fixed|1346371075|8193|8193
1785872051600|1017|mask_9_f2r_active|rotating|1346362883|8193|8193
1785872054163|1017|mask_9_f2r_terminal|fixed|1346371075|8193|8193
1785872054163|1017|mask_9_f2r_terminal|rotating|1350565379|8193|8193
1785872054792|1018|mask_9_r2f_active|fixed|1350557187|8193|8193
