captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1785871437746|1002|phy_lane0_f2r_prbs_10000f|fixed|4,1378943233,16780817,5161877,0,5147770,0,5147770,0,4920,0,4919,0,0,0,153,0,151836196,0,4096,0,0,0,4919,0,454996930,0,454996938,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|2,1173031006,0,1257724,0,0,0,0,0,1302997,0,1,0,272375427,0,272375427,0,2080,272858809,0,900121194,0,0,0,0,0
1785871437746|1002|phy_lane0_f2r_prbs_10000f|rotating|4,1378943233,33558272,5255498,0,14380,0,14380,0,312,0,156,0,0,0,5008,0,996544,0,4096,0,0,0,156,0,441496415,0,441496423,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|2,487418632,0,0,0,24700,0,24700,0,3617,0,0,1,0,0,0,0,0,0,0,150953959,0,0,0,0,0
1785871449327|1004|phy_lane0_r2f_prbs_10000f|fixed|10,1378943233,16781056,5170882,0,14112,0,14112,0,306,0,153,0,0,0,4928,0,977360,0,4096,0,0,0,153,0,1194685754,0,1194685762,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|4,1913491802,0,2494700,0,24700,0,24700,0,3573,0,2,1,540871568,0,540871568,0,2048,542474991,0,1037721067,0,0,0,0,0
1785871449327|1004|phy_lane0_r2f_prbs_10000f|rotating|10,1378943233,33558033,5253592,0,5239206,0,5239206,0,5009,0,5006,0,0,0,156,0,154545688,0,4096,0,0,0,5007,0,1183201577,0,1183201561,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|4,1228680388,0,1273532,0,2494700,0,2494700,0,1320838,0,1,2,276058913,0,276058913,0,2080,276545689,0,349296079,0,0,0,0,0
1785871460968|1006|phy_lane1_f2r_prbs_10000f|fixed|16,1378943233,16780578,0,5166323,0,5152214,0,5152214,0,4929,0,4927,0,0,0,153,0,152087800,0,4096,0,0,0,4928,0,1941443227,0,1941443179,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|6,2658569647,0,3752424,0,2494700,0,2494700,0,1299797,0,3,2,812788173,0,812788173,0,2080,814874977,0,1240228635,0,0,0,0,0
1785871460968|1006|phy_lane1_f2r_prbs_10000f|rotating|16,1378943233,33558272,0,5230838,0,14292,0,14292,0,310,0,155,0,0,0,4988,0,990168,0,4096,0,0,0,155,0,1925775111,0,1925775119,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|6,1972345193,0,2494700,0,2519400,0,2519400,0,3595,0,2,3,540871569,0,540871569,0,2048,542474992,0,492200770,0,0,0,0,0
1785871472595|1008|phy_lane1_r2f_prbs_10000f|fixed|22,1378943233,16781056,0,5156339,0,14109,0,14109,0,306,0,153,0,0,0,4917,0,977384,0,4096,0,0,0,153,0,2684290766,0,2684290774,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|8,3402614039,0,4989400,0,2519400,0,2519400,0,3573,0,4,3,1081743138,0,1081743138,0,2048,1084949983,0,1382927220,0,0,0,0,0
1785871472595|1008|phy_lane1_r2f_prbs_10000f|rotating|22,1378943233,33557794,0,5228624,0,5214332,0,5214332,0,4988,0,4986,0,0,0,155,0,153932904,0,4096,0,0,0,4987,0,2671738981,0,2671738965,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|8,2716650964,0,3760328,0,4989400,0,4989400,0,1311856,0,3,4,815297722,0,815297722,0,2080,817386224,0,694150729,0,0,0,0,0
1785871484160|1010|phy_lane2_f2r_prbs_10000f|fixed|28,1378943233,16780100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|10,4142925647,0,6239220,0,4989400,0,4989400,0,1296665,0,5,4,1352811600,0,1352811600,0,2080,1356500130,0,1581035908,0,0,0,0,0
1785871484160|1010|phy_lane2_f2r_prbs_10000f|rotating|28,1378943233,33558272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|10,3458462953,0,4989400,0,5014100,0,5014100,0,3620,0,4,5,1081743138,0,1081743138,0,2048,1084949984,0,832003859,0,0,0,0,0
