captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785871431068|0|SAFE_BOOT|fixed|1350565379|8193|8193
1785871431068|0|SAFE_BOOT|rotating|1346371075|8193|8193
1785871431132|1001|phy_lane0_f2r_counter_100f_active|fixed|1350565379|8193|8193
1785871431132|1001|phy_lane0_f2r_counter_100f_active|rotating|1346362883|8193|8193
1785871431593|1001|phy_lane0_f2r_counter_100f_terminal|fixed|1346371075|8193|8193
1785871431593|1001|phy_lane0_f2r_counter_100f_terminal|rotating|1346371075|8193|8193
1785871432738|1002|phy_lane0_f2r_prbs_10000f_active|fixed|1350565379|8193|8193
1785871432738|1002|phy_lane0_f2r_prbs_10000f_active|rotating|1346362883|8193|8193
1785871437886|1002|phy_lane0_f2r_prbs_10000f|fixed|1346371074|8193|8193
1785871437886|1002|phy_lane0_f2r_prbs_10000f|rotating|1346362883|8193|8193
1785871442558|1002|phy_lane0_f2r_prbs_10000f_terminal|fixed|1350565379|8193|8193
1785871442558|1002|phy_lane0_f2r_prbs_10000f_terminal|rotating|1350565379|8193|8193
1785871442770|1003|phy_lane0_r2f_counter_100f_active|fixed|1350557187|8193|8193
1785871442770|1003|phy_lane0_r2f_counter_100f_active|rotating|1346371075|8193|8193
1785871443195|1003|phy_lane0_r2f_counter_100f_terminal|fixed|1346371075|8193|8193
1785871443195|1003|phy_lane0_r2f_counter_100f_terminal|rotating|1346371075|8193|8193
1785871444315|1004|phy_lane0_r2f_prbs_10000f_active|fixed|1350557187|8193|8193
1785871444315|1004|phy_lane0_r2f_prbs_10000f_active|rotating|1346371075|8193|8193
1785871449448|1004|phy_lane0_r2f_prbs_10000f|fixed|1346362883|8193|8193
1785871449448|1004|phy_lane0_r2f_prbs_10000f|rotating|1346371074|8193|8193
1785871454176|1004|phy_lane0_r2f_prbs_10000f_terminal|fixed|1350565379|8193|8193
1785871454176|1004|phy_lane0_r2f_prbs_10000f_terminal|rotating|1346371075|8193|8193
1785871454441|1005|phy_lane1_f2r_counter_100f_active|fixed|1350565379|8193|8193
1785871454441|1005|phy_lane1_f2r_counter_100f_active|rotating|1350557187|8193|8193
1785871454859|1005|phy_lane1_f2r_counter_100f_terminal|fixed|1350565379|8193|8193
1785871454859|1005|phy_lane1_f2r_counter_100f_terminal|rotating|1346371075|8193|8193
1785871455956|1006|phy_lane1_f2r_prbs_10000f_active|fixed|1346371075|8193|8193
1785871455956|1006|phy_lane1_f2r_prbs_10000f_active|rotating|1350557187|8193|8193
1785871461082|1006|phy_lane1_f2r_prbs_10000f|fixed|1346371074|8193|8193
1785871461082|1006|phy_lane1_f2r_prbs_10000f|rotating|1346362883|8193|8193
1785871465810|1006|phy_lane1_f2r_prbs_10000f_terminal|fixed|1350565379|8193|8193
1785871465810|1006|phy_lane1_f2r_prbs_10000f_terminal|rotating|1346371075|8193|8193
1785871466107|1007|phy_lane1_r2f_counter_100f_active|fixed|1346362883|8193|8193
1785871466107|1007|phy_lane1_r2f_counter_100f_active|rotating|1350565379|8193|8193
1785871466503|1007|phy_lane1_r2f_counter_100f_terminal|fixed|1350565379|8193|8193
1785871466503|1007|phy_lane1_r2f_counter_100f_terminal|rotating|1350565379|8193|8193
1785871467589|1008|phy_lane1_r2f_prbs_10000f_active|fixed|1346362883|8193|8193
1785871467589|1008|phy_lane1_r2f_prbs_10000f_active|rotating|1346371075|8193|8193
1785871472706|1008|phy_lane1_r2f_prbs_10000f|fixed|1350557187|8193|8193
1785871472706|1008|phy_lane1_r2f_prbs_10000f|rotating|1346371074|8193|8193
1785871477401|1008|phy_lane1_r2f_prbs_10000f_terminal|fixed|1350565379|8193|8193
1785871477401|1008|phy_lane1_r2f_prbs_10000f_terminal|rotating|1350565379|8193|8193
1785871477618|1009|phy_lane2_f2r_counter_100f_active|fixed|1346371075|8193|8193
1785871477618|1009|phy_lane2_f2r_counter_100f_active|rotating|1350557187|8193|8193
1785871478017|1009|phy_lane2_f2r_counter_100f_terminal|fixed|1350565379|8193|8193
1785871478017|1009|phy_lane2_f2r_counter_100f_terminal|rotating|1350565379|8193|8193
1785871479161|1010|phy_lane2_f2r_prbs_10000f_active|fixed|1350565379|8193|8193
1785871479161|1010|phy_lane2_f2r_prbs_10000f_active|rotating|1346362883|8193|8193
1785871484311|1010|phy_lane2_f2r_prbs_10000f|fixed|1350565378|8193|8193
1785871484311|1010|phy_lane2_f2r_prbs_10000f|rotating|1350557187|8193|8193
1785871488967|1010|phy_lane2_f2r_prbs_10000f_terminal|fixed|1350565379|8193|8193
1785871488967|1010|phy_lane2_f2r_prbs_10000f_terminal|rotating|1350565379|8193|8193
1785871489225|1011|phy_lane2_r2f_counter_100f_active|fixed|1346362883|8193|8193
1785871489225|1011|phy_lane2_r2f_counter_100f_active|rotating|1350565379|8193|8193
1785871489626|1011|phy_lane2_r2f_counter_100f_terminal|fixed|1350565379|8193|8193
1785871489626|1011|phy_lane2_r2f_counter_100f_terminal|rotating|1350565379|8193|8193
1785871490768|1012|phy_lane2_r2f_prbs_10000f_active|fixed|1346362883|8193|8193
1785871490768|1012|phy_lane2_r2f_prbs_10000f_active|rotating|1350565379|8193|8193
1785871495875|1012|phy_lane2_r2f_prbs_10000f|fixed|1346362883|8193|8193
1785871495875|1012|phy_lane2_r2f_prbs_10000f|rotating|1350565378|8193|8193
1785871500626|1012|phy_lane2_r2f_prbs_10000f_terminal|fixed|1346371075|8193|8193
1785871500626|1012|phy_lane2_r2f_prbs_10000f_terminal|rotating|1350565379|8193|8193
1785871500883|1013|phy_lane3_f2r_counter_100f_active|fixed|1350565379|8193|8193
1785871500883|1013|phy_lane3_f2r_counter_100f_active|rotating|1350557187|8193|8193
1785871501291|1013|phy_lane3_f2r_counter_100f_terminal|fixed|1346371075|8193|8193
1785871501291|1013|phy_lane3_f2r_counter_100f_terminal|rotating|1346371075|8193|8193
1785871502449|1014|phy_lane3_f2r_prbs_10000f_active|fixed|1350565379|8193|8193
1785871502449|1014|phy_lane3_f2r_prbs_10000f_active|rotating|1346362883|8193|8193
1785871507578|1014|phy_lane3_f2r_prbs_10000f|fixed|1346371074|8193|8193
1785871507578|1014|phy_lane3_f2r_prbs_10000f|rotating|1346362883|8193|8193
1785871512273|1014|phy_lane3_f2r_prbs_10000f_terminal|fixed|1346371075|8193|8193
1785871512273|1014|phy_lane3_f2r_prbs_10000f_terminal|rotating|1346371075|8193|8193
1785871512515|1015|phy_lane3_r2f_counter_100f_active|fixed|1350557187|8193|8193
1785871512515|1015|phy_lane3_r2f_counter_100f_active|rotating|1346371075|8193|8193
1785871512932|1015|phy_lane3_r2f_counter_100f_terminal|fixed|1350565379|8193|8193
1785871512932|1015|phy_lane3_r2f_counter_100f_terminal|rotating|1350565379|8193|8193
1785871514084|1016|phy_lane3_r2f_prbs_10000f_active|fixed|1346362883|8193|8193
1785871514084|1016|phy_lane3_r2f_prbs_10000f_active|rotating|1346371075|8193|8193
1785871519217|1016|phy_lane3_r2f_prbs_10000f|fixed|1346362883|8193|8193
1785871519217|1016|phy_lane3_r2f_prbs_10000f|rotating|1346371074|8193|8193
1785871523898|1016|phy_lane3_r2f_prbs_10000f_terminal|fixed|1350565379|8193|8193
1785871523898|1016|phy_lane3_r2f_prbs_10000f_terminal|rotating|1346371075|8193|8193
1785871524446|1017|P10_3F-PER_LANE_PHY_endpoint_shutdown_terminal|fixed|1346371075|8193|8193
1785871524446|1017|P10_3F-PER_LANE_PHY_endpoint_shutdown_terminal|rotating|1346371075|8193|8193
