captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785871289590|0|SAFE_BOOT|fixed|1350565379|8193|8193
1785871289590|0|SAFE_BOOT|rotating|1350565379|8193|8193
1785871289626|1001|matrix_F0_raw64_active|fixed|1346371075|8193|8193
1785871289626|1001|matrix_F0_raw64_active|rotating|1350565379|8193|8193
1785871289961|1001|matrix_F0_raw64_terminal|fixed|1350565379|8193|8193
1785871289961|1001|matrix_F0_raw64_terminal|rotating|1346371075|8193|8193
1785871290177|1002|matrix_F0_raw1024_active|fixed|1350565379|8193|8193
1785871290177|1002|matrix_F0_raw1024_active|rotating|1350565379|8193|8193
1785871290518|1002|matrix_F0_raw1024_terminal|fixed|1350565379|8193|8193
1785871290518|1002|matrix_F0_raw1024_terminal|rotating|1350565379|8193|8193
1785871290864|1003|matrix_F0_frame10s_00000_1048576_active|fixed|1346371075|8193|8193
1785871290864|1003|matrix_F0_frame10s_00000_1048576_active|rotating|1346362883|8193|8193
1785871294981|1003|matrix_F0_frame10s_00000_1048576_terminal|fixed|1346371075|8193|8193
1785871294981|1003|matrix_F0_frame10s_00000_1048576_terminal|rotating|1346371075|8193|8193
1785871300753|1004|matrix_R0_raw64_active|fixed|1350565379|8193|8193
1785871300753|1004|matrix_R0_raw64_active|rotating|1350565379|8193|8193
1785871301089|1004|matrix_R0_raw64_terminal|fixed|1350565379|8193|8193
1785871301089|1004|matrix_R0_raw64_terminal|rotating|1350565379|8193|8193
1785871301304|1005|matrix_R0_raw1024_active|fixed|1350565379|8193|8193
1785871301304|1005|matrix_R0_raw1024_active|rotating|1346371075|8193|8193
1785871301645|1005|matrix_R0_raw1024_terminal|fixed|1350565379|8193|8193
1785871301645|1005|matrix_R0_raw1024_terminal|rotating|1350565379|8193|8193
1785871301979|1006|matrix_R0_frame10s_00000_1048576_active|fixed|1346362883|8193|8193
1785871301979|1006|matrix_R0_frame10s_00000_1048576_active|rotating|1350565379|8193|8193
1785871306069|1006|matrix_R0_frame10s_00000_1048576_terminal|fixed|1350565379|8193|8193
1785871306069|1006|matrix_R0_frame10s_00000_1048576_terminal|rotating|1350565379|8193|8193
1785871311918|1007|matrix_F1_raw64_active|fixed|1346371075|8193|8193
1785871311918|1007|matrix_F1_raw64_active|rotating|1350565379|8193|8193
1785871312299|1007|matrix_F1_raw64_terminal|fixed|1350565379|8193|8193
