captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1785871579226|1001|regression64_f2r|fixed|2,1378943233,16780339,6076381,6034138,6041369,6034138,6041369,6034138,6298,6287,5755,5755,0,0,371,0,177662999,177499666,4096,4096,0,0,5756,5756,358516149,358516162,358516157,358516170,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,52,0,40,0,13,10,0,1,52,0|4,1073457558,0,2866464,0,0,0,0,0,3042150,0,10,0,320502850,0,320502850,0,2080,314575334,0,8228193,0,0,0,0,0
1785871579226|1001|regression64_f2r|rotating|2,1378943233,33558272,6148971,6106263,35481,0,35481,0,748,0,376,0,0,0,5824,5820,2402176,0,4096,0,0,0,376,0,345336474,0,345336482,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|5,0,67108864,262144,256,0,0,0,0,56,0,44,0,14,11,0,1,56,0|4,390749425,0,0,0,2883584,0,2883584,0,8941,0,0,11,0,0,0,0,0,0,0,6877234,0,0,0,0,0
1785871584234|1001|regression64_f2r|fixed|4,1378943233,16780339,12343005,12255899,12272035,12255899,12272035,12255899,12249,12226,11694,11694,0,0,752,0,360990673,360632476,4096,4096,0,0,11695,11695,679058705,679058694,679058713,679058702,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,100,0,88,0,25,22,0,1,100,0|6,1397314268,0,5830400,0,0,0,0,0,6187634,0,22,0,643618576,0,643618576,0,2080,636725030,0,9775640,0,0,0,0,0
1785871584234|1001|regression64_f2r|rotating|4,1378943233,33558272,12502314,12414174,71917,0,71917,0,1520,0,762,0,0,0,11845,11841,4868352,0,4096,0,0,0,762,0,670226632,0,670226640,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,100,0,88,0,25,22,0,1,100,0|6,715597109,0,0,0,5767168,0,5767168,0,18026,0,0,22,0,0,0,0,0,0,0,6905469,0,0,0,0,0
1785871589242|1001|regression64_f2r|fixed|6,1378943233,16780339,18549843,18417904,18443017,18417904,18443017,18417904,18139,18105,17573,17573,0,0,1132,0,542444743,541907914,4096,4096,0,0,17574,17574,999429578,999429583,999429586,999429591,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,144,0,132,0,36,33,0,1,144,0|8,1714375499,0,8698176,0,0,0,0,0,9238631,0,33,0,959962863,0,959962863,0,2080,952217109,0,11193377,0,0,0,0,0
1785871589242|1001|regression64_f2r|rotating|6,1378943233,33558272,18642027,18509523,107394,0,107394,0,2268,0,1138,0,0,0,17660,17652,7270560,0,4096,0,0,0,1138,0,986968924,0,986968932,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,144,0,132,0,36,33,0,1,144,0|8,1033645546,0,0,0,8650752,0,8650752,0,26943,0,0,33,0,0,0,0,0,0,0,6929331,0,0,0,0,0
1785871594270|1001|regression64_f2r|fixed|8,1378943233,16780339,24846162,24670205,24703279,24670205,24703279,24670205,24114,24069,23537,23537,0,0,1514,0,726564664,725846703,4096,4096,0,0,23538,23538,1321218878,1321218851,1321218838,1321218859,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|10,2037408568,0,11652896,0,0,0,0,0,12378714,0,44,0,1282257252,0,1282257252,0,2080,1273675750,0,12613142,0,0,0,0,0
1785871594270|1001|regression64_f2r|rotating|8,1378943233,33558272,24935706,24759312,143356,0,143356,0,3030,0,1519,0,0,0,23622,23614,9704728,0,4096,0,0,0,1519,0,1308136914,0,1308136922,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|10,1353625617,0,0,0,11534336,0,11534336,0,35910,0,0,44,0,0,0,0,0,0,0,6951681,0,0,0,0,0
1785871599278|1001|regression64_f2r|fixed|10,1378943233,16780339,31118431,30897349,30939587,30897349,30939587,30897349,30070,30014,29483,29483,0,0,1895,0,910080884,909181599,4096,4096,0,0,29483,29483,1641958038,1641958363,1641958046,1641958379,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,232,0,220,0,58,55,0,1,232,0|12,2356820614,0,14576000,0,0,0,0,0,15481619,0,55,0,1600938522,0,1600938522,0,2080,1591517084,0,14030307,0,0,0,0,0
1785871599278|1001|regression64_f2r|rotating|10,1378943233,33558272,31196145,30974692,179222,0,179222,0,3790,0,1899,0,0,0,29556,29548,12132528,0,4096,0,0,0,1899,0,1628442770,0,1628442778,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,232,0,220,0,58,55,0,1,232,0|12,1674432249,0,0,0,14417920,0,14417920,0,44876,0,0,55,0,0,0,0,0,0,0,6972370,0,0,0,0,0
