captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785874004471|0|SAFE_BOOT|fixed|1350565379|8193|8193
1785874004471|0|SAFE_BOOT|rotating|1350565379|8193|8193
1785874004508|1001|intake_receive_only_5000ms_active|fixed|1346371075|8193|8193
1785874004508|1001|intake_receive_only_5000ms_active|rotating|1350565379|8193|8193
1785874009801|1001|intake_receive_only_5000ms_terminal|fixed|1346371075|8193|8193
1785874009801|1001|intake_receive_only_5000ms_terminal|rotating|1350565379|8193|8193
1785874010002|1002|intake_F0_raw_64_active|fixed|1346371075|8193|8193
1785874010002|1002|intake_F0_raw_64_active|rotating|1350565379|8193|8193
1785874010378|1002|intake_F0_raw_64_terminal|fixed|1346371075|8193|8193
1785874010378|1002|intake_F0_raw_64_terminal|rotating|1346371075|8193|8193
1785874010607|1003|intake_F0_raw_1024_active|fixed|1346371075|8193|8193
1785874010607|1003|intake_F0_raw_1024_active|rotating|1346371075|8193|8193
1785874010932|1003|intake_F0_raw_1024_terminal|fixed|1346371075|8193|8193
1785874010932|1003|intake_F0_raw_1024_terminal|rotating|1350565379|8193|8193
1785874011169|1004|intake_R0_raw_64_active|fixed|1346371075|8193|8193
1785874011169|1004|intake_R0_raw_64_active|rotating|1350565379|8193|8193
1785874011542|1004|intake_R0_raw_64_terminal|fixed|1350565379|8193|8193
1785874011542|1004|intake_R0_raw_64_terminal|rotating|1346371075|8193|8193
1785874011774|1005|intake_R0_raw_1024_active|fixed|1346371075|8193|8193
1785874011774|1005|intake_R0_raw_1024_active|rotating|1346371075|8193|8193
1785874012114|1005|intake_R0_raw_1024_terminal|fixed|1350565379|8193|8193
1785874012114|1005|intake_R0_raw_1024_terminal|rotating|1350565379|8193|8193
1785874012388|1006|intake_F1_raw_64_active|fixed|1346371075|8193|8193
1785874012388|1006|intake_F1_raw_64_active|rotating|1346371075|8193|8193
1785874012730|1006|intake_F1_raw_64_terminal|fixed|1350565379|8193|8193
1785874012730|1006|intake_F1_raw_64_terminal|rotating|1350565379|8193|8193
1785874012993|1007|intake_F1_raw_1024_active|fixed|1346371075|8193|8193
1785874012993|1007|intake_F1_raw_1024_active|rotating|1350565379|8193|8193
1785874013336|1007|intake_F1_raw_1024_terminal|fixed|1350565379|8193|8193
1785874013336|1007|intake_F1_raw_1024_terminal|rotating|1350565379|8193|8193
1785874013553|1008|intake_R1_raw_64_active|fixed|1346371075|8193|8193
1785874013553|1008|intake_R1_raw_64_active|rotating|1346371075|8193|8193
1785874013877|1008|intake_R1_raw_64_terminal|fixed|1350565379|8193|8193
1785874013877|1008|intake_R1_raw_64_terminal|rotating|1346371075|8193|8193
1785874014092|1009|intake_R1_raw_1024_active|fixed|1350565379|8193|8193
1785874014092|1009|intake_R1_raw_1024_active|rotating|1346371075|8193|8193
1785874014427|1009|intake_R1_raw_1024_terminal|fixed|1346371075|8193|8193
1785874014427|1009|intake_R1_raw_1024_terminal|rotating|1346371075|8193|8193
1785874014665|1010|intake_F2_raw_64_active|fixed|1350565379|8193|8193
1785874014665|1010|intake_F2_raw_64_active|rotating|1350565379|8193|8193
1785874015040|1010|intake_F2_raw_64_terminal|fixed|1350565379|8193|8193
1785874015040|1010|intake_F2_raw_64_terminal|rotating|1350565379|8193|8193
1785874015257|1011|intake_F2_raw_1024_active|fixed|1346371075|8193|8193
1785874015257|1011|intake_F2_raw_1024_active|rotating|1350565379|8193|8193
1785874015627|1011|intake_F2_raw_1024_terminal|fixed|1350565379|8193|8193
1785874015627|1011|intake_F2_raw_1024_terminal|rotating|1346371075|8193|8193
1785874015916|1012|intake_R2_raw_64_active|fixed|1346371075|8193|8193
1785874015916|1012|intake_R2_raw_64_active|rotating|1350565379|8193|8193
1785874016244|1012|intake_R2_raw_64_terminal|fixed|1346371075|8193|8193
1785874016244|1012|intake_R2_raw_64_terminal|rotating|1350565379|8193|8193
1785874016478|1013|intake_R2_raw_1024_active|fixed|1350565379|8193|8193
1785874016478|1013|intake_R2_raw_1024_active|rotating|1350565379|8193|8193
1785874016824|1013|intake_R2_raw_1024_terminal|fixed|1350565379|8193|8193
1785874016824|1013|intake_R2_raw_1024_terminal|rotating|1346371075|8193|8193
1785874017027|1014|intake_F3_raw_64_active|fixed|1350565379|8193|8193
1785874017027|1014|intake_F3_raw_64_active|rotating|1350565379|8193|8193
1785874017407|1014|intake_F3_raw_64_terminal|fixed|1346371075|8193|8193
1785874017407|1014|intake_F3_raw_64_terminal|rotating|1346371075|8193|8193
1785874017615|1015|intake_F3_raw_1024_active|fixed|1346371075|8193|8193
1785874017615|1015|intake_F3_raw_1024_active|rotating|1350565379|8193|8193
1785874017948|1015|intake_F3_raw_1024_terminal|fixed|1350565379|8193|8193
1785874017948|1015|intake_F3_raw_1024_terminal|rotating|1350565379|8193|8193
1785874018187|1016|intake_R3_raw_64_active|fixed|1346371075|8193|8193
1785874018187|1016|intake_R3_raw_64_active|rotating|1346371075|8193|8193
1785874018523|1016|intake_R3_raw_64_terminal|fixed|1346371075|8193|8193
1785874018523|1016|intake_R3_raw_64_terminal|rotating|1350565379|8193|8193
1785874018771|1017|intake_R3_raw_1024_active|fixed|1350565379|8193|8193
1785874018771|1017|intake_R3_raw_1024_active|rotating|1346371075|8193|8193
1785874019141|1017|intake_R3_raw_1024_terminal|fixed|1346371075|8193|8193
1785874019141|1017|intake_R3_raw_1024_terminal|rotating|1346371075|8193|8193
1785874019387|1018|intake_F2_counter_100f_active|fixed|1346371075|8193|8193
1785874019387|1018|intake_F2_counter_100f_active|rotating|1346362883|8193|8193
1785874019771|1018|intake_F2_counter_100f_terminal|fixed|1350565379|8193|8193
1785874019771|1018|intake_F2_counter_100f_terminal|rotating|1346371075|8193|8193
1785874020110|1019|intake_F2_prbs_1000f_active|fixed|1346371075|8193|8193
1785874020110|1019|intake_F2_prbs_1000f_active|rotating|1346362883|8193|8193
1785874021390|1019|intake_F2_prbs_1000f_terminal|fixed|1350565379|8193|8193
1785874021390|1019|intake_F2_prbs_1000f_terminal|rotating|1346371075|8193|8193
1785874021662|1020|intake_R2_counter_100f_active|fixed|1346362883|8193|8193
1785874021662|1020|intake_R2_counter_100f_active|rotating|1346371075|8193|8193
1785874022144|1020|intake_R2_counter_100f_terminal|fixed|1346371075|8193|8193
1785874022144|1020|intake_R2_counter_100f_terminal|rotating|1346371075|8193|8193
1785874022472|1021|intake_R2_prbs_1000f_active|fixed|1346362883|8193|8193
1785874022472|1021|intake_R2_prbs_1000f_active|rotating|1350565379|8193|8193
1785874023741|1021|intake_R2_prbs_1000f_terminal|fixed|1346371075|8193|8193
1785874023741|1021|intake_R2_prbs_1000f_terminal|rotating|1346371075|8193|8193
1785874023979|1022|intake_F3_counter_100f_active|fixed|1346371075|8193|8193
1785874023979|1022|intake_F3_counter_100f_active|rotating|1346362883|8193|8193
1785874024481|1022|intake_F3_counter_100f_terminal|fixed|1346371075|8193|8193
1785874024481|1022|intake_F3_counter_100f_terminal|rotating|1350565379|8193|8193
1785874024805|1023|intake_F3_prbs_1000f_active|fixed|1350565379|8193|8193
1785874024805|1023|intake_F3_prbs_1000f_active|rotating|1346362883|8193|8193
1785874026072|1023|intake_F3_prbs_1000f_terminal|fixed|1346371075|8193|8193
1785874026072|1023|intake_F3_prbs_1000f_terminal|rotating|1346371075|8193|8193
1785874026331|1024|intake_R3_counter_100f_active|fixed|1346362883|8193|8193
1785874026331|1024|intake_R3_counter_100f_active|rotating|1346371075|8193|8193
1785874026733|1024|intake_R3_counter_100f_terminal|fixed|1350565379|8193|8193
1785874026733|1024|intake_R3_counter_100f_terminal|rotating|1350565379|8193|8193
1785874027067|1025|intake_R3_prbs_1000f_active|fixed|1346362883|8193|8193
1785874027067|1025|intake_R3_prbs_1000f_active|rotating|1346371075|8193|8193
1785874028332|1025|intake_R3_prbs_1000f_terminal|fixed|1350565379|8193|8193
1785874028332|1025|intake_R3_prbs_1000f_terminal|rotating|1350565379|8193|8193
1785874028840|1026|P10_3F-MODULE_INTAKE_endpoint_shutdown_terminal|fixed|1346371075|8193|8193
1785874028840|1026|P10_3F-MODULE_INTAKE_endpoint_shutdown_terminal|rotating|1350565379|8193|8193
