captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785874079369|0|SAFE_BOOT|fixed|1350565379|8193|8193
1785874079369|0|SAFE_BOOT|rotating|1350565379|8193|8193
1785874079421|1001|staircase_1024B_f2r_active|fixed|1350565379|8193|8193
1785874079421|1001|staircase_1024B_f2r_active|rotating|1350565379|8193|8193
1785874079814|1001|staircase_1024B_f2r_terminal|fixed|1350565379|8193|8193
1785874079814|1001|staircase_1024B_f2r_terminal|rotating|1346371075|8193|8193
1785874080072|1002|staircase_1024B_r2f_active|fixed|1346371075|8193|8193
1785874080072|1002|staircase_1024B_r2f_active|rotating|1350565379|8193|8193
1785874080456|1002|staircase_1024B_r2f_terminal|fixed|1346371075|8193|8193
1785874080456|1002|staircase_1024B_r2f_terminal|rotating|1350565379|8193|8193
1785874081093|1003|P10_3F-STAIRCASE_endpoint_shutdown_terminal|fixed|1346371075|8193|8193
1785874081093|1003|P10_3F-STAIRCASE_endpoint_shutdown_terminal|rotating|1350565379|8193|8193
