captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785876856694|0|SAFE_BOOT|fixed|1346371075|8193|8193
1785876856694|0|SAFE_BOOT|rotating|1346371075|8193|8193
1785876856737|1001|phy_lane0_f2r_counter_100f_active|fixed|1346371075|8193|8193
1785876856737|1001|phy_lane0_f2r_counter_100f_active|rotating|1350557187|8193|8193
1785876857126|1001|phy_lane0_f2r_counter_100f_terminal|fixed|1350565379|8193|8193
1785876857126|1001|phy_lane0_f2r_counter_100f_terminal|rotating|1350565379|8193|8193
1785876858249|1002|phy_lane0_f2r_prbs_10000f_active|fixed|1350565379|8193|8193
1785876858249|1002|phy_lane0_f2r_prbs_10000f_active|rotating|1346362883|8193|8193
1785876863365|1002|phy_lane0_f2r_prbs_10000f|fixed|1346371074|8193|8193
1785876863365|1002|phy_lane0_f2r_prbs_10000f|rotating|1350557187|8193|8193
1785876868091|1002|phy_lane0_f2r_prbs_10000f_terminal|fixed|1346371075|8193|8193
1785876868091|1002|phy_lane0_f2r_prbs_10000f_terminal|rotating|1346371075|8193|8193
1785876868309|1003|phy_lane0_r2f_counter_100f_active|fixed|1350557187|8193|8193
1785876868309|1003|phy_lane0_r2f_counter_100f_active|rotating|1346371075|8193|8193
1785876868710|1003|phy_lane0_r2f_counter_100f_terminal|fixed|1350565379|8193|8193
1785876868710|1003|phy_lane0_r2f_counter_100f_terminal|rotating|1350565379|8193|8193
1785876869871|1004|phy_lane0_r2f_prbs_10000f_active|fixed|1346362883|8193|8193
1785876869871|1004|phy_lane0_r2f_prbs_10000f_active|rotating|1350565379|8193|8193
1785876874986|1004|phy_lane0_r2f_prbs_10000f|fixed|1350557187|8193|8193
1785876874986|1004|phy_lane0_r2f_prbs_10000f|rotating|1350565378|8193|8193
1785876879693|1004|phy_lane0_r2f_prbs_10000f_terminal|fixed|1350565379|8193|8193
1785876879693|1004|phy_lane0_r2f_prbs_10000f_terminal|rotating|1346371075|8193|8193
1785876879949|1005|phy_lane1_f2r_counter_100f_active|fixed|1346371075|8193|8193
1785876879949|1005|phy_lane1_f2r_counter_100f_active|rotating|1350557187|8193|8193
1785876880380|1005|phy_lane1_f2r_counter_100f_terminal|fixed|1350565379|8193|8193
1785876880380|1005|phy_lane1_f2r_counter_100f_terminal|rotating|1346371075|8193|8193
1785876881495|1006|phy_lane1_f2r_prbs_10000f_active|fixed|1350565379|8193|8193
1785876881495|1006|phy_lane1_f2r_prbs_10000f_active|rotating|1346362883|8193|8193
1785876886611|1006|phy_lane1_f2r_prbs_10000f|fixed|1350565378|8193|8193
1785876886611|1006|phy_lane1_f2r_prbs_10000f|rotating|1350557187|8193|8193
