captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785876715819|0|SAFE_BOOT|fixed|1346371075|8193|8193
1785876715819|0|SAFE_BOOT|rotating|1350565379|8193|8193
1785876715858|1001|matrix_F0_raw64_active|fixed|1346371075|8193|8193
1785876715858|1001|matrix_F0_raw64_active|rotating|1350565379|8193|8193
1785876716224|1001|matrix_F0_raw64_terminal|fixed|1346371075|8193|8193
1785876716224|1001|matrix_F0_raw64_terminal|rotating|1350565379|8193|8193
1785876716464|1002|matrix_F0_raw1024_active|fixed|1350565379|8193|8193
1785876716464|1002|matrix_F0_raw1024_active|rotating|1350565379|8193|8193
1785876716828|1002|matrix_F0_raw1024_terminal|fixed|1346371075|8193|8193
1785876716828|1002|matrix_F0_raw1024_terminal|rotating|1346371075|8193|8193
1785876717185|1003|matrix_F0_frame10s_00000_1048576_active|fixed|1350565379|8193|8193
1785876717185|1003|matrix_F0_frame10s_00000_1048576_active|rotating|1350557187|8193|8193
1785876721264|1003|matrix_F0_frame10s_00000_1048576_terminal|fixed|1346371075|8193|8193
1785876721264|1003|matrix_F0_frame10s_00000_1048576_terminal|rotating|1350565379|8193|8193
1785876727085|1004|matrix_R0_raw64_active|fixed|1346371075|8193|8193
1785876727085|1004|matrix_R0_raw64_active|rotating|1350565379|8193|8193
1785876727387|1004|matrix_R0_raw64_terminal|fixed|1350565379|8193|8193
1785876727387|1004|matrix_R0_raw64_terminal|rotating|1346371075|8193|8193
1785876727640|1005|matrix_R0_raw1024_active|fixed|1346371075|8193|8193
1785876727640|1005|matrix_R0_raw1024_active|rotating|1346371075|8193|8193
1785876728050|1005|matrix_R0_raw1024_terminal|fixed|1350565379|8193|8193
1785876728050|1005|matrix_R0_raw1024_terminal|rotating|1346371075|8193|8193
1785876728411|1006|matrix_R0_frame10s_00000_1048576_active|fixed|1350557187|8193|8193
1785876728411|1006|matrix_R0_frame10s_00000_1048576_active|rotating|1346371075|8193|8193
1785876732494|1006|matrix_R0_frame10s_00000_1048576_terminal|fixed|1350565379|8193|8193
1785876732494|1006|matrix_R0_frame10s_00000_1048576_terminal|rotating|1350565379|8193|8193
1785876738270|1007|matrix_F1_raw64_active|fixed|1350565379|8193|8193
1785876738270|1007|matrix_F1_raw64_active|rotating|1350565379|8193|8193
1785876738621|1007|matrix_F1_raw64_terminal|fixed|1350565379|8193|8193
1785876738621|1007|matrix_F1_raw64_terminal|rotating|1350565379|8193|8193
1785876738845|1008|matrix_F1_raw1024_active|fixed|1346371075|8193|8193
1785876738845|1008|matrix_F1_raw1024_active|rotating|1346371075|8193|8193
1785876739203|1008|matrix_F1_raw1024_terminal|fixed|1350565379|8193|8193
1785876739203|1008|matrix_F1_raw1024_terminal|rotating|1350565379|8193|8193
1785876739534|1009|matrix_F1_frame10s_00000_1048576_active|fixed|1346371075|8193|8193
1785876739534|1009|matrix_F1_frame10s_00000_1048576_active|rotating|1346362883|8193|8193
1785876743616|1009|matrix_F1_frame10s_00000_1048576_terminal|fixed|1346371075|8193|8193
1785876743616|1009|matrix_F1_frame10s_00000_1048576_terminal|rotating|1346371075|8193|8193
1785876749421|1010|matrix_R1_raw64_active|fixed|1346371075|8193|8193
1785876749421|1010|matrix_R1_raw64_active|rotating|1346371075|8193|8193
1785876749760|1010|matrix_R1_raw64_terminal|fixed|1346371075|8193|8193
1785876749760|1010|matrix_R1_raw64_terminal|rotating|1346371075|8193|8193
1785876749996|1011|matrix_R1_raw1024_active|fixed|1346371075|8193|8193
1785876749996|1011|matrix_R1_raw1024_active|rotating|1350565379|8193|8193
1785876750316|1011|matrix_R1_raw1024_terminal|fixed|1350565379|8193|8193
1785876750316|1011|matrix_R1_raw1024_terminal|rotating|1346371075|8193|8193
1785876750661|1012|matrix_R1_frame10s_00000_1048576_active|fixed|1346362883|8193|8193
1785876750661|1012|matrix_R1_frame10s_00000_1048576_active|rotating|1346371075|8193|8193
1785876754759|1012|matrix_R1_frame10s_00000_1048576_terminal|fixed|1346371075|8193|8193
1785876754759|1012|matrix_R1_frame10s_00000_1048576_terminal|rotating|1346371075|8193|8193
1785876760566|1013|matrix_F2_raw64_active|fixed|1350565379|8193|8193
1785876760566|1013|matrix_F2_raw64_active|rotating|1350565379|8193|8193
1785876760913|1013|matrix_F2_raw64_terminal|fixed|1350565379|8193|8193
1785876760913|1013|matrix_F2_raw64_terminal|rotating|1350565379|8193|8193
1785876761142|1014|matrix_F2_raw1024_active|fixed|1350565379|8193|8193
1785876761142|1014|matrix_F2_raw1024_active|rotating|1346371075|8193|8193
1785876761476|1014|matrix_F2_raw1024_terminal|fixed|1350565379|8193|8193
1785876761476|1014|matrix_F2_raw1024_terminal|rotating|1350565379|8193|8193
1785876761808|1015|matrix_F2_frame10s_00000_1048576_active|fixed|1350565379|8193|8193
1785876761808|1015|matrix_F2_frame10s_00000_1048576_active|rotating|1346362883|8193|8193
1785876765892|1015|matrix_F2_frame10s_00000_1048576_terminal|fixed|1346371075|8193|8193
1785876765892|1015|matrix_F2_frame10s_00000_1048576_terminal|rotating|1346371075|8193|8193
1785876771697|1016|matrix_R2_raw64_active|fixed|1346371075|8193|8193
1785876771697|1016|matrix_R2_raw64_active|rotating|1346371075|8193|8193
1785876772033|1016|matrix_R2_raw64_terminal|fixed|1346371075|8193|8193
1785876772033|1016|matrix_R2_raw64_terminal|rotating|1346371075|8193|8193
1785876772251|1017|matrix_R2_raw1024_active|fixed|1350565379|8193|8193
1785876772251|1017|matrix_R2_raw1024_active|rotating|1350565379|8193|8193
1785876772580|1017|matrix_R2_raw1024_terminal|fixed|1350565379|8193|8193
1785876772580|1017|matrix_R2_raw1024_terminal|rotating|1346371075|8193|8193
