captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1785884114414|1009|arq_retry_migration|fixed|18,1378943233,16781056,51063,6053951,50025,0,50025,0,1085,0,543,0,0,0,0,5790,3468680,0,4096,0,0,0,543,0,1520770396,0,1520770404,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|2,2230437857,0,529568,0,276640,0,276640,0,12621,0,5,3,45793587,0,45793587,0,2048,47796916,0,1438344718,0,0,0,0,0
1785884114414|1009|arq_retry_migration|rotating|18,1378943233,33554926,51801,6143764,1038,6143764,1038,6143764,2,5877,0,5876,0,0,551,0,30872,181394344,4096,4096,0,0,1,5877,1180704103,1508195458,1180704111,1508195466,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|2,1552492545,0,4663360,0,529568,0,529568,0,4636221,0,3,5,342187802,0,342187802,0,2080,344448464,0,1141043502,0,0,0,0,0
1785884119414|1009|arq_retry_migration|fixed|20,1378943233,16781056,101230,12106161,100192,0,100192,0,2171,0,1086,0,0,0,0,11578,6937360,0,4096,0,0,0,1086,0,1840198190,0,1840198206,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|4,2550532326,0,529568,0,276640,0,276640,0,25186,0,5,3,45793587,0,45793587,0,2048,47796916,0,1438344718,0,0,0,0,0
1785884119414|1009|arq_retry_migration|rotating|20,1378943233,33554926,101875,12187207,1038,12187207,1038,12187207,2,11656,0,11655,0,0,1093,0,30872,359775968,4096,4096,0,0,1,11656,1180704103,1826917009,1180704111,1826917001,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|4,1871918475,0,8955232,0,529568,0,529568,0,9179076,0,3,5,660540764,0,660540764,0,2080,663722897,0,1141043502,0,0,0,0,0
1785884124432|1009|arq_retry_migration|fixed|22,1378943233,16781056,151570,18196632,150532,0,150532,0,3263,0,1632,0,0,0,0,17401,10425200,0,4096,0,0,0,1632,0,2161388723,0,2161388731,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|6,2877028230,0,529568,0,276640,0,276640,0,37973,0,5,3,45793587,0,45793587,0,2048,47796916,0,1438344718,0,0,0,0,0
1785884124432|1009|arq_retry_migration|rotating|22,1378943233,33554926,153293,18407498,1038,18407498,1038,18407498,2,17604,0,17603,0,0,1651,0,30872,543381931,4096,4096,0,0,1,17604,1180704103,2154955969,1180704111,2154955977,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|6,2200280674,0,13365664,0,529568,0,529568,0,13848923,0,3,5,987800355,0,987800355,0,2080,991929414,0,1141043502,0,0,0,0,0
1785884129453|1009|arq_retry_migration|fixed|24,1378943233,16781056,196604,23671710,195566,0,195566,0,4247,0,2124,0,0,0,0,22642,13568064,0,4096,0,0,0,2124,0,2450596667,0,2450596675,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|8,3192699266,0,529568,0,17053856,0,17053856,0,48891,0,5,4,45793587,0,45793587,0,2048,47796916,0,1473843429,0,0,0,0,0
1785884129453|1009|arq_retry_migration|rotating|24,1378943233,33554432,196604,23671710,1038,23671710,1038,23671710,2,22642,0,22642,0,0,2124,0,30872,698909952,4096,4096,0,0,2,22643,1180704103,2432795329,1180704111,2432795337,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|8,2514009625,0,17053856,0,529568,0,529568,0,17752907,0,4,5,1261263833,0,1261263833,0,2048,1266552390,0,1180014883,0,0,0,0,0
1785884142148|1010|scheduler_fair_f2r|fixed|28,1378943233,16777216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|10,4004773999,0,529568,0,17053856,0,17053856,0,0,0,5,4,45793587,0,45793587,0,2048,47796916,0,2285918162,0,0,0,0,0
1785884142148|1010|scheduler_fair_f2r|rotating|28,1378943233,33558272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|10,3325462903,0,17053856,0,529568,0,529568,0,0,0,4,5,1261263833,0,1261263833,0,2048,1266552390,0,1663851028,0,0,0,0,0
