captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785884091125|0|SAFE_BOOT|fixed|1350565379|8193|8193
1785884091125|0|SAFE_BOOT|rotating|1346371075|8193|8193
1785884091192|1001|arq_wrap_f2r_active|fixed|1346371075|8193|8193
1785884091192|1001|arq_wrap_f2r_active|rotating|1346362883|8193|8193
1785884091551|1001|arq_wrap_f2r_terminal|fixed|1346371075|8193|8193
1785884091551|1001|arq_wrap_f2r_terminal|rotating|1350565379|8193|8193
1785884091776|1002|arq_wrap_r2f_active|fixed|1346362883|8193|8193
1785884091776|1002|arq_wrap_r2f_active|rotating|1346371075|8193|8193
1785884092200|1002|arq_wrap_r2f_terminal|fixed|1346371075|8193|8193
1785884092200|1002|arq_wrap_r2f_terminal|rotating|1350565379|8193|8193
1785884092466|1003|arq_ack_aggregation_active|fixed|1346371075|8193|8193
1785884092466|1003|arq_ack_aggregation_active|rotating|1350557187|8193|8193
1785884092944|1003|arq_ack_aggregation_terminal|fixed|1350565379|8193|8193
1785884092944|1003|arq_ack_aggregation_terminal|rotating|1350565379|8193|8193
1785884093229|1004|arq_data_loss_active|fixed|1346371075|8193|8193
1785884093229|1004|arq_data_loss_active|rotating|1346362883|8193|8193
1785884094043|1004|arq_data_loss_terminal|fixed|1350565379|8193|8193
1785884094043|1004|arq_data_loss_terminal|rotating|1350565379|8193|8193
1785884094292|1005|arq_ack_loss_active|fixed|1346362883|8193|8193
1785884094292|1005|arq_ack_loss_active|rotating|1346371075|8193|8193
1785884094792|1005|arq_ack_loss_terminal|fixed|1346371075|8193|8193
1785884094792|1005|arq_ack_loss_terminal|rotating|1350565379|8193|8193
1785884095045|1006|arq_sack_loss_active|fixed|1350565379|8193|8193
1785884095045|1006|arq_sack_loss_active|rotating|1346362883|8193|8193
1785884095527|1006|arq_sack_loss_terminal|fixed|1350565379|8193|8193
1785884095527|1006|arq_sack_loss_terminal|rotating|1346371075|8193|8193
1785884095788|1007|arq_duplicate_ack_active|fixed|1346362883|8193|8193
1785884095788|1007|arq_duplicate_ack_active|rotating|1346371075|8193|8193
1785884096270|1007|arq_duplicate_ack_terminal|fixed|1350565379|8193|8193
1785884096270|1007|arq_duplicate_ack_terminal|rotating|1346371075|8193|8193
1785884096551|1008|arq_reorder_active|fixed|1350565379|8193|8193
1785884096551|1008|arq_reorder_active|rotating|1350557187|8193|8193
1785884097049|1008|arq_reorder_terminal|fixed|1350565379|8193|8193
1785884097049|1008|arq_reorder_terminal|rotating|1346371075|8193|8193
1785884109408|1009|arq_retry_migration_active|fixed|1350557187|8193|8193
1785884109408|1009|arq_retry_migration_active|rotating|1346371074|8193|8193
1785884114547|1009|arq_retry_migration|fixed|1350557187|8193|8193
1785884114547|1009|arq_retry_migration|rotating|1346371074|8193|8193
1785884119547|1009|arq_retry_migration|fixed|1346362883|8193|8193
1785884119547|1009|arq_retry_migration|rotating|1350565378|8193|8193
1785884124677|1009|arq_retry_migration|fixed|1346362883|8193|8193
1785884124677|1009|arq_retry_migration|rotating|1346371074|8193|8193
1785884129578|1009|arq_retry_migration|fixed|1350565379|8193|8193
1785884129578|1009|arq_retry_migration|rotating|1350565379|8193|8193
1785884130889|1009|arq_retry_migration_terminal|fixed|1350565379|8193|8193
1785884130889|1009|arq_retry_migration_terminal|rotating|1350565379|8193|8193
1785884137138|1010|scheduler_fair_f2r_active|fixed|1350565379|8193|8193
1785884137138|1010|scheduler_fair_f2r_active|rotating|1346362883|8193|8193
1785884142255|1010|scheduler_fair_f2r|fixed|1350565379|8193|8193
1785884142255|1010|scheduler_fair_f2r|rotating|1350557187|8193|8193
1785884147304|1010|scheduler_fair_f2r|fixed|1346371074|8193|8193
1785884147304|1010|scheduler_fair_f2r|rotating|1346362883|8193|8193
1785884152275|1010|scheduler_fair_f2r|fixed|1346371074|8193|8193
1785884152275|1010|scheduler_fair_f2r|rotating|1350557187|8193|8193
1785884157278|1010|scheduler_fair_f2r|fixed|1346371074|8193|8193
1785884157278|1010|scheduler_fair_f2r|rotating|1346362883|8193|8193
1785884159282|1010|scheduler_fair_f2r_terminal|fixed|1350565379|8193|8193
1785884159282|1010|scheduler_fair_f2r_terminal|rotating|1346371075|8193|8193
1785884165506|1011|scheduler_fair_r2f_active|fixed|1346362883|8193|8193
1785884165506|1011|scheduler_fair_r2f_active|rotating|1346371075|8193|8193
1785884170611|1011|scheduler_fair_r2f|fixed|1350557187|8193|8193
1785884170611|1011|scheduler_fair_r2f|rotating|1350565379|8193|8193
1785884175632|1011|scheduler_fair_r2f|fixed|1350557187|8193|8193
1785884175632|1011|scheduler_fair_r2f|rotating|1346371074|8193|8193
1785884180643|1011|scheduler_fair_r2f|fixed|1350557187|8193|8193
1785884180643|1011|scheduler_fair_r2f|rotating|1346371074|8193|8193
1785884185655|1011|scheduler_fair_r2f|fixed|1346362883|8193|8193
1785884185655|1011|scheduler_fair_r2f|rotating|1350565378|8193|8193
1785884187632|1011|scheduler_fair_r2f_terminal|fixed|1350565379|8193|8193
1785884187632|1011|scheduler_fair_r2f_terminal|rotating|1350565379|8193|8193
1785884188203|1012|P10_3F-ARQ_SACK_endpoint_shutdown_terminal|fixed|1346371075|8193|8193
1785884188203|1012|P10_3F-ARQ_SACK_endpoint_shutdown_terminal|rotating|1350565379|8193|8193
