captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785882535969|0|SAFE_BOOT|fixed|1350565379|8193|8193
1785882535969|0|SAFE_BOOT|rotating|1350565379|8193|8193
1785882536011|1001|intake_receive_only_5000ms_active|fixed|1350565379|8193|8193
1785882536011|1001|intake_receive_only_5000ms_active|rotating|1346371075|8193|8193
1785882541127|1001|intake_receive_only_5000ms|fixed|1346371075|8193|8193
1785882541127|1001|intake_receive_only_5000ms|rotating|1350565379|8193|8193
1785882541460|1001|intake_receive_only_5000ms_terminal|fixed|1350565379|8193|8193
1785882541460|1001|intake_receive_only_5000ms_terminal|rotating|1350565379|8193|8193
1785882541671|1002|intake_F0_raw_64_active|fixed|1346371075|8193|8193
1785882541671|1002|intake_F0_raw_64_active|rotating|1346371075|8193|8193
1785882542020|1002|intake_F0_raw_64_terminal|fixed|1350565379|8193|8193
1785882542020|1002|intake_F0_raw_64_terminal|rotating|1350565379|8193|8193
1785882542235|1003|intake_F0_raw_1024_active|fixed|1350565379|8193|8193
1785882542235|1003|intake_F0_raw_1024_active|rotating|1346371075|8193|8193
1785882542567|1003|intake_F0_raw_1024_terminal|fixed|1346371075|8193|8193
1785882542567|1003|intake_F0_raw_1024_terminal|rotating|1350565379|8193|8193
1785882542772|1004|intake_R0_raw_64_active|fixed|1346371075|8193|8193
1785882542772|1004|intake_R0_raw_64_active|rotating|1346371075|8193|8193
1785882543124|1004|intake_R0_raw_64_terminal|fixed|1350565379|8193|8193
1785882543124|1004|intake_R0_raw_64_terminal|rotating|1346371075|8193|8193
1785882543326|1005|intake_R0_raw_1024_active|fixed|1346371075|8193|8193
1785882543326|1005|intake_R0_raw_1024_active|rotating|1350565379|8193|8193
1785882543696|1005|intake_R0_raw_1024_terminal|fixed|1350565379|8193|8193
1785882543696|1005|intake_R0_raw_1024_terminal|rotating|1350565379|8193|8193
1785882543930|1006|intake_F1_raw_64_active|fixed|1346371075|8193|8193
1785882543930|1006|intake_F1_raw_64_active|rotating|1346371075|8193|8193
1785882544258|1006|intake_F1_raw_64_terminal|fixed|1346371075|8193|8193
1785882544258|1006|intake_F1_raw_64_terminal|rotating|1346371075|8193|8193
1785882544458|1007|intake_F1_raw_1024_active|fixed|1350565379|8193|8193
1785882544458|1007|intake_F1_raw_1024_active|rotating|1350565379|8193|8193
1785882544835|1007|intake_F1_raw_1024_terminal|fixed|1350565379|8193|8193
1785882544835|1007|intake_F1_raw_1024_terminal|rotating|1346371075|8193|8193
1785882545048|1008|intake_R1_raw_64_active|fixed|1346371075|8193|8193
1785882545048|1008|intake_R1_raw_64_active|rotating|1350565379|8193|8193
1785882545426|1008|intake_R1_raw_64_terminal|fixed|1350565379|8193|8193
1785882545426|1008|intake_R1_raw_64_terminal|rotating|1346371075|8193|8193
1785882545654|1009|intake_R1_raw_1024_active|fixed|1346371075|8193|8193
1785882545654|1009|intake_R1_raw_1024_active|rotating|1350565379|8193|8193
1785882545960|1009|intake_R1_raw_1024_terminal|fixed|1350565379|8193|8193
1785882545960|1009|intake_R1_raw_1024_terminal|rotating|1346371075|8193|8193
1785882546163|1010|intake_F2_raw_64_active|fixed|1346371075|8193|8193
1785882546163|1010|intake_F2_raw_64_active|rotating|1350565379|8193|8193
1785882546501|1010|intake_F2_raw_64_terminal|fixed|1350565379|8193|8193
1785882546501|1010|intake_F2_raw_64_terminal|rotating|1346371075|8193|8193
1785882546711|1011|intake_F2_raw_1024_active|fixed|1346371075|8193|8193
1785882546711|1011|intake_F2_raw_1024_active|rotating|1346371075|8193|8193
1785882547053|1011|intake_F2_raw_1024_terminal|fixed|1346371075|8193|8193
1785882547053|1011|intake_F2_raw_1024_terminal|rotating|1346371075|8193|8193
1785882547313|1012|intake_R2_raw_64_active|fixed|1346371075|8193|8193
1785882547313|1012|intake_R2_raw_64_active|rotating|1346371075|8193|8193
1785882547677|1012|intake_R2_raw_64_terminal|fixed|1346371075|8193|8193
1785882547677|1012|intake_R2_raw_64_terminal|rotating|1346371075|8193|8193
1785882547887|1013|intake_R2_raw_1024_active|fixed|1346371075|8193|8193
1785882547887|1013|intake_R2_raw_1024_active|rotating|1350565379|8193|8193
1785882548248|1013|intake_R2_raw_1024_terminal|fixed|1350565379|8193|8193
1785882548248|1013|intake_R2_raw_1024_terminal|rotating|1346371075|8193|8193
1785882548459|1014|intake_F3_raw_64_active|fixed|1350565379|8193|8193
1785882548459|1014|intake_F3_raw_64_active|rotating|1350565379|8193|8193
1785882548798|1014|intake_F3_raw_64_terminal|fixed|1350565379|8193|8193
1785882548798|1014|intake_F3_raw_64_terminal|rotating|1346371075|8193|8193
1785882549060|1015|intake_F3_raw_1024_active|fixed|1346371075|8193|8193
1785882549060|1015|intake_F3_raw_1024_active|rotating|1346371075|8193|8193
1785882549444|1015|intake_F3_raw_1024_terminal|fixed|1346371075|8193|8193
1785882549444|1015|intake_F3_raw_1024_terminal|rotating|1350565379|8193|8193
1785882549637|1016|intake_R3_raw_64_active|fixed|1350565379|8193|8193
1785882549637|1016|intake_R3_raw_64_active|rotating|1350565379|8193|8193
1785882549988|1016|intake_R3_raw_64_terminal|fixed|1350565379|8193|8193
1785882549988|1016|intake_R3_raw_64_terminal|rotating|1346371075|8193|8193
1785882550188|1017|intake_R3_raw_1024_active|fixed|1350565379|8193|8193
1785882550188|1017|intake_R3_raw_1024_active|rotating|1346371075|8193|8193
1785882550531|1017|intake_R3_raw_1024_terminal|fixed|1346371075|8193|8193
1785882550531|1017|intake_R3_raw_1024_terminal|rotating|1346371075|8193|8193
1785882550783|1018|intake_F2_counter_100f_active|fixed|1350565379|8193|8193
1785882550783|1018|intake_F2_counter_100f_active|rotating|1350557187|8193|8193
1785882551220|1018|intake_F2_counter_100f_terminal|fixed|1350565379|8193|8193
1785882551220|1018|intake_F2_counter_100f_terminal|rotating|1350565379|8193|8193
1785882551595|1019|intake_F2_prbs_1000f_active|fixed|1350565379|8193|8193
1785882551595|1019|intake_F2_prbs_1000f_active|rotating|1350557187|8193|8193
1785882552866|1019|intake_F2_prbs_1000f_terminal|fixed|1346371075|8193|8193
1785882552866|1019|intake_F2_prbs_1000f_terminal|rotating|1346371075|8193|8193
1785882553074|1020|intake_R2_counter_100f_active|fixed|1350557187|8193|8193
1785882553074|1020|intake_R2_counter_100f_active|rotating|1346371075|8193|8193
1785882553519|1020|intake_R2_counter_100f_terminal|fixed|1346371075|8193|8193
1785882553519|1020|intake_R2_counter_100f_terminal|rotating|1350565379|8193|8193
1785882553849|1021|intake_R2_prbs_1000f_active|fixed|1350557187|8193|8193
1785882553849|1021|intake_R2_prbs_1000f_active|rotating|1350565379|8193|8193
1785882555123|1021|intake_R2_prbs_1000f_terminal|fixed|1346371075|8193|8193
1785882555123|1021|intake_R2_prbs_1000f_terminal|rotating|1346371075|8193|8193
1785882555345|1022|intake_F3_counter_100f_active|fixed|1350565379|8193|8193
1785882555345|1022|intake_F3_counter_100f_active|rotating|1350557187|8193|8193
1785882555749|1022|intake_F3_counter_100f_terminal|fixed|1346371075|8193|8193
1785882555749|1022|intake_F3_counter_100f_terminal|rotating|1350565379|8193|8193
1785882556066|1023|intake_F3_prbs_1000f_active|fixed|1350565379|8193|8193
1785882556066|1023|intake_F3_prbs_1000f_active|rotating|1350557187|8193|8193
1785882557357|1023|intake_F3_prbs_1000f_terminal|fixed|1346371075|8193|8193
1785882557357|1023|intake_F3_prbs_1000f_terminal|rotating|1350565379|8193|8193
1785882557600|1024|intake_R3_counter_100f_active|fixed|1350557187|8193|8193
1785882557600|1024|intake_R3_counter_100f_active|rotating|1350565379|8193|8193
1785882558013|1024|intake_R3_counter_100f_terminal|fixed|1350565379|8193|8193
1785882558013|1024|intake_R3_counter_100f_terminal|rotating|1350565379|8193|8193
1785882558334|1025|intake_R3_prbs_1000f_active|fixed|1346362883|8193|8193
1785882558334|1025|intake_R3_prbs_1000f_active|rotating|1346371075|8193|8193
1785882559633|1025|intake_R3_prbs_1000f_terminal|fixed|1350565379|8193|8193
1785882559633|1025|intake_R3_prbs_1000f_terminal|rotating|1350565379|8193|8193
1785882560163|1026|P10_3F-MODULE_INTAKE_endpoint_shutdown_terminal|fixed|1346371075|8193|8193
1785882560163|1026|P10_3F-MODULE_INTAKE_endpoint_shutdown_terminal|rotating|1350565379|8193|8193
