captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785882923114|0|SAFE_BOOT|fixed|1350565379|8193|8193
1785882923114|0|SAFE_BOOT|rotating|1350565379|8193|8193
1785882923153|1001|matrix_F0_raw64_active|fixed|1346371075|8193|8193
1785882923153|1001|matrix_F0_raw64_active|rotating|1346371075|8193|8193
1785882923514|1001|matrix_F0_raw64_terminal|fixed|1350565379|8193|8193
1785882923514|1001|matrix_F0_raw64_terminal|rotating|1350565379|8193|8193
1785882923781|1002|matrix_F0_raw1024_active|fixed|1350565379|8193|8193
1785882923781|1002|matrix_F0_raw1024_active|rotating|1346371075|8193|8193
1785882924222|1002|matrix_F0_raw1024_terminal|fixed|1350565379|8193|8193
1785882924222|1002|matrix_F0_raw1024_terminal|rotating|1350565379|8193|8193
1785882924550|1003|matrix_F0_frame10s_00000_1048576_active|fixed|1350565379|8193|8193
1785882924550|1003|matrix_F0_frame10s_00000_1048576_active|rotating|1350557187|8193|8193
1785882928590|1003|matrix_F0_frame10s_00000_1048576_terminal|fixed|1350565379|8193|8193
1785882928590|1003|matrix_F0_frame10s_00000_1048576_terminal|rotating|1350565379|8193|8193
1785882934470|1004|matrix_R0_raw64_active|fixed|1350565379|8193|8193
1785882934470|1004|matrix_R0_raw64_active|rotating|1350565379|8193|8193
1785882934789|1004|matrix_R0_raw64_terminal|fixed|1346371075|8193|8193
1785882934789|1004|matrix_R0_raw64_terminal|rotating|1350565379|8193|8193
1785882935026|1005|matrix_R0_raw1024_active|fixed|1350565379|8193|8193
1785882935026|1005|matrix_R0_raw1024_active|rotating|1350565379|8193|8193
1785882935404|1005|matrix_R0_raw1024_terminal|fixed|1346371075|8193|8193
1785882935404|1005|matrix_R0_raw1024_terminal|rotating|1346371075|8193|8193
1785882935765|1006|matrix_R0_frame10s_00000_1048576_active|fixed|1346362883|8193|8193
1785882935765|1006|matrix_R0_frame10s_00000_1048576_active|rotating|1350565379|8193|8193
1785882939976|1006|matrix_R0_frame10s_00000_1048576_terminal|fixed|1350565379|8193|8193
1785882939976|1006|matrix_R0_frame10s_00000_1048576_terminal|rotating|1350565379|8193|8193
1785882945688|1007|matrix_F1_raw64_active|fixed|1350565379|8193|8193
1785882945688|1007|matrix_F1_raw64_active|rotating|1346371075|8193|8193
1785882946136|1007|matrix_F1_raw64_terminal|fixed|1346371075|8193|8193
1785882946136|1007|matrix_F1_raw64_terminal|rotating|1350565379|8193|8193
1785882946399|1008|matrix_F1_raw1024_active|fixed|1350565379|8193|8193
1785882946399|1008|matrix_F1_raw1024_active|rotating|1350565379|8193|8193
1785882946792|1008|matrix_F1_raw1024_terminal|fixed|1350565379|8193|8193
1785882946792|1008|matrix_F1_raw1024_terminal|rotating|1350565379|8193|8193
1785882947168|1009|matrix_F1_frame10s_00000_1048576_active|fixed|1350565379|8193|8193
1785882947168|1009|matrix_F1_frame10s_00000_1048576_active|rotating|1346362883|8193|8193
1785882951269|1009|matrix_F1_frame10s_00000_1048576_terminal|fixed|1350565379|8193|8193
1785882951269|1009|matrix_F1_frame10s_00000_1048576_terminal|rotating|1350565379|8193|8193
1785882957088|1010|matrix_R1_raw64_active|fixed|1350565379|8193|8193
1785882957088|1010|matrix_R1_raw64_active|rotating|1346371075|8193|8193
1785882957424|1010|matrix_R1_raw64_terminal|fixed|1350565379|8193|8193
1785882957424|1010|matrix_R1_raw64_terminal|rotating|1346371075|8193|8193
1785882957639|1011|matrix_R1_raw1024_active|fixed|1346371075|8193|8193
1785882957639|1011|matrix_R1_raw1024_active|rotating|1350565379|8193|8193
1785882957984|1011|matrix_R1_raw1024_terminal|fixed|1346371075|8193|8193
1785882957984|1011|matrix_R1_raw1024_terminal|rotating|1350565379|8193|8193
1785882958360|1012|matrix_R1_frame10s_00000_1048576_active|fixed|1346362883|8193|8193
1785882958360|1012|matrix_R1_frame10s_00000_1048576_active|rotating|1346371075|8193|8193
1785882962468|1012|matrix_R1_frame10s_00000_1048576_terminal|fixed|1350565379|8193|8193
1785882962468|1012|matrix_R1_frame10s_00000_1048576_terminal|rotating|1350565379|8193|8193
1785882968265|1013|matrix_F2_raw64_active|fixed|1346371075|8193|8193
1785882968265|1013|matrix_F2_raw64_active|rotating|1346371075|8193|8193
1785882968588|1013|matrix_F2_raw64_terminal|fixed|1346371075|8193|8193
1785882968588|1013|matrix_F2_raw64_terminal|rotating|1350565379|8193|8193
1785882968819|1014|matrix_F2_raw1024_active|fixed|1350565379|8193|8193
1785882968819|1014|matrix_F2_raw1024_active|rotating|1346371075|8193|8193
1785882969182|1014|matrix_F2_raw1024_terminal|fixed|1346371075|8193|8193
1785882969182|1014|matrix_F2_raw1024_terminal|rotating|1346371075|8193|8193
1785882969495|1015|matrix_F2_frame10s_00000_1048576_active|fixed|1350565379|8193|8193
1785882969495|1015|matrix_F2_frame10s_00000_1048576_active|rotating|1346362883|8193|8193
1785882973576|1015|matrix_F2_frame10s_00000_1048576_terminal|fixed|1346371075|8193|8193
1785882973576|1015|matrix_F2_frame10s_00000_1048576_terminal|rotating|1350565379|8193|8193
1785882979399|1016|matrix_R2_raw64_active|fixed|1350565379|8193|8193
1785882979399|1016|matrix_R2_raw64_active|rotating|1350565379|8193|8193
1785882979742|1016|matrix_R2_raw64_terminal|fixed|1350565379|8193|8193
1785882979742|1016|matrix_R2_raw64_terminal|rotating|1346371075|8193|8193
1785882979962|1017|matrix_R2_raw1024_active|fixed|1346371075|8193|8193
1785882979962|1017|matrix_R2_raw1024_active|rotating|1346371075|8193|8193
1785882980321|1017|matrix_R2_raw1024_terminal|fixed|1350565379|8193|8193
1785882980321|1017|matrix_R2_raw1024_terminal|rotating|1346371075|8193|8193
1785882980649|1018|matrix_R2_frame10s_00000_1048576_active|fixed|1346362883|8193|8193
1785882980649|1018|matrix_R2_frame10s_00000_1048576_active|rotating|1350565379|8193|8193
1785882984723|1018|matrix_R2_frame10s_00000_1048576_terminal|fixed|1346371075|8193|8193
1785882984723|1018|matrix_R2_frame10s_00000_1048576_terminal|rotating|1350565379|8193|8193
1785882990559|1019|matrix_F3_raw64_active|fixed|1346371075|8193|8193
1785882990559|1019|matrix_F3_raw64_active|rotating|1350565379|8193|8193
1785882990877|1019|matrix_F3_raw64_terminal|fixed|1346371075|8193|8193
1785882990877|1019|matrix_F3_raw64_terminal|rotating|1350565379|8193|8193
1785882991122|1020|matrix_F3_raw1024_active|fixed|1350565379|8193|8193
1785882991122|1020|matrix_F3_raw1024_active|rotating|1346371075|8193|8193
1785882991464|1020|matrix_F3_raw1024_terminal|fixed|1350565379|8193|8193
1785882991464|1020|matrix_F3_raw1024_terminal|rotating|1346371075|8193|8193
1785882991797|1021|matrix_F3_frame10s_00000_1048576_active|fixed|1346371075|8193|8193
1785882991797|1021|matrix_F3_frame10s_00000_1048576_active|rotating|1350557187|8193|8193
1785882995921|1021|matrix_F3_frame10s_00000_1048576_terminal|fixed|1346371075|8193|8193
1785882995921|1021|matrix_F3_frame10s_00000_1048576_terminal|rotating|1346371075|8193|8193
1785883001694|1022|matrix_R3_raw64_active|fixed|1346371075|8193|8193
1785883001694|1022|matrix_R3_raw64_active|rotating|1346371075|8193|8193
1785883002029|1022|matrix_R3_raw64_terminal|fixed|1346371075|8193|8193
1785883002029|1022|matrix_R3_raw64_terminal|rotating|1346371075|8193|8193
1785883002259|1023|matrix_R3_raw1024_active|fixed|1346371075|8193|8193
1785883002259|1023|matrix_R3_raw1024_active|rotating|1350565379|8193|8193
1785883002573|1023|matrix_R3_raw1024_terminal|fixed|1350565379|8193|8193
1785883002573|1023|matrix_R3_raw1024_terminal|rotating|1346371075|8193|8193
1785883002903|1024|matrix_R3_frame10s_00000_1048576_active|fixed|1346362883|8193|8193
1785883002903|1024|matrix_R3_frame10s_00000_1048576_active|rotating|1346371075|8193|8193
1785883006980|1024|matrix_R3_frame10s_00000_1048576_terminal|fixed|1346371075|8193|8193
1785883006980|1024|matrix_R3_frame10s_00000_1048576_terminal|rotating|1346371075|8193|8193
1785883013121|1025|P10_3F-RAW_8X8_endpoint_shutdown_terminal|fixed|1350565379|8193|8193
1785883013121|1025|P10_3F-RAW_8X8_endpoint_shutdown_terminal|rotating|1346371075|8193|8193
