captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1785886455916|1001|degrade_static_unavailable_1|fixed|2,1378943233,16781056,0,4292306,0,35185,0,35185,0,762,0,381,0,0,0,4071,0,2433848,0,4096,0,0,0,381,0,451415577,0,451415585,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|2,1167140144,0,0,0,0,0,0,0,8934,0,0,0,0,0,0,0,0,0,0,838996339,0,0,0,0,0
1785886455916|1001|degrade_static_unavailable_1|rotating|2,1378943233,33554926,0,4384438,0,4348519,0,4348519,0,4160,0,4158,0,0,0,389,0,128367538,0,4096,0,0,0,4159,0,439830565,0,439830573,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|2,484977757,0,3106272,0,0,0,0,0,3285190,0,0,0,230235467,0,230235467,0,2080,230902357,0,253964584,0,0,0,0,0
1785886464862|1002|degrade_static_unavailable_2|fixed|6,1378943233,16777949,4289951,0,4254764,0,4254764,0,4070,0,4068,0,0,0,381,0,125588392,0,4096,0,0,0,4069,0,1024415257,0,1024415265,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|4,1739654550,0,3058848,0,4194304,0,4194304,0,3235241,0,0,1,226714857,0,226714857,0,2080,227371565,0,1099598708,0,0,0,0,0
1785886464862|1002|degrade_static_unavailable_2|rotating|6,1378943233,33558272,4363898,0,35737,0,35737,0,774,0,387,0,0,0,4138,0,2472112,0,4096,0,0,0,387,0,1010947148,0,1010947156,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|4,1056831653,0,4194304,0,0,0,0,0,9025,0,1,0,310732307,0,310732307,0,2048,312001880,0,417466323,0,0,0,0,0
1785886473699|1003|degrade_static_unavailable_4|fixed|10,1378943233,16778427,4303002,4268627,4267723,4268627,4267723,4268627,4083,4082,4081,4081,0,0,382,0,125977875,125974822,4096,4096,0,0,4082,4082,1590009115,1590009112,1590009123,1590009120,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|6,2304848821,0,7261056,0,4194304,0,4194304,0,3239228,0,1,1,537728493,0,537728493,0,2080,539656471,0,1352354463,0,0,0,0,0
1785886473699|1003|degrade_static_unavailable_4|rotating|10,1378943233,33558272,4376516,4340662,35920,0,35920,0,778,0,389,0,0,0,4151,4150,2484912,0,4096,0,0,0,389,0,1577034829,0,1577034837,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|6,1622266210,0,4194304,0,4194304,0,4194304,0,9048,0,1,1,310732307,0,310732307,0,2048,312001880,0,573009256,0,0,0,0,0
1785886482510|1004|degrade_static_unavailable_8|fixed|14,1378943233,16781056,4022962,3989535,3989261,3989535,3989261,3989535,3816,3815,3815,3815,0,0,365,0,117761736,117762128,4096,4096,0,0,3815,3815,2154869417,2154981231,2154869425,2154981239,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|8,2869498354,0,11212560,0,4194304,0,4194304,0,2991861,0,2,1,848808667,0,848808667,0,2055,851953158,0,1604561618,0,0,0,0,0
1785886482510|1004|degrade_static_unavailable_8|rotating|14,1378943233,33558272,4022962,3989539,33701,0,33701,0,721,0,365,0,0,0,3815,3797,2331576,0,4096,0,0,0,365,0,2138185487,0,2138185495,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|8,2186929127,0,4194304,0,8388608,0,8388608,0,8471,0,1,2,310732307,0,310732307,0,2048,312001880,0,728043020,0,0,0,0,0
1785886487510|1004|degrade_static_unavailable_8|fixed|16,1378943233,16777216,4031009,3996934,3996570,3996934,3996570,3996934,3823,3822,3822,3822,0,0,373,0,117977784,117978232,4096,4096,0,0,3823,3823,2183714249,2183826297,2183714257,2183826305,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|10,3189729335,0,11217008,0,4194304,0,4194304,0,2997367,0,2,1,1169038536,0,1169038536,0,2048,882368251,0,1894377506,0,1,1,0,0
1785886487510|1004|degrade_static_unavailable_8|rotating|16,1378943233,33558272,4031009,3996938,34439,0,34439,0,729,0,373,0,0,0,3822,3797,2382672,0,4096,0,0,0,373,0,2167030579,0,2167030587,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|10,2507123582,0,4194304,0,8388608,0,8388608,0,8609,0,1,2,310732307,0,310732307,0,2048,312001880,0,728043020,0,0,0,0,0
1785886492518|1004|degrade_static_unavailable_8|fixed|18,1378943233,16777216,4031009,3996934,3996570,3996934,3996570,3996934,3823,3822,3822,3822,0,0,373,0,117977784,117978232,4096,4096,0,0,3823,3823,2183714249,2183826297,2183714257,2183826305,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|12,3509043934,0,11217008,0,4194304,0,4194304,0,2997367,0,2,1,1488353135,0,1488353135,0,2048,882368251,0,2213692105,0,1,1,0,0
1785886492518|1004|degrade_static_unavailable_8|rotating|18,1378943233,33558272,4031009,3996938,34439,0,34439,0,729,0,373,0,0,0,3822,3797,2382672,0,4096,0,0,0,373,0,2167030579,0,2167030587,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|12,2827257028,0,4194304,0,8388608,0,8388608,0,8609,0,1,2,310732307,0,310732307,0,2048,312001880,0,728043020,0,0,0,0,0
1785886497518|1004|degrade_static_unavailable_8|fixed|20,1378943233,16777216,4031009,3996934,3996570,3996934,3996570,3996934,3823,3822,3822,3822,0,0,373,0,117977784,117978232,4096,4096,0,0,3823,3823,2183714249,2183826297,2183714257,2183826305,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|14,3829238999,0,11217008,0,4194304,0,4194304,0,2997367,0,2,1,1808548200,0,1808548200,0,2048,882368251,0,2533887170,0,1,1,0,0
1785886497518|1004|degrade_static_unavailable_8|rotating|20,1378943233,33558272,4031009,3996938,34439,0,34439,0,729,0,373,0,0,0,3822,3797,2382672,0,4096,0,0,0,373,0,2167030579,0,2167030587,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|14,3146672600,0,4194304,0,8388608,0,8388608,0,8609,0,1,2,310732307,0,310732307,0,2048,312001880,0,728043020,0,0,0,0,0
1785886502527|1004|degrade_static_unavailable_8|fixed|22,1378943233,16777216,4031009,3996934,3996570,3996934,3996570,3996934,3823,3822,3822,3822,0,0,373,0,117977784,117978232,4096,4096,0,0,3823,3823,2183714249,2183826297,2183714257,2183826305,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|16,4149990947,0,11217008,0,4194304,0,4194304,0,2997367,0,2,1,2129300148,0,2129300148,0,2048,882368251,0,2854639118,0,1,1,0,0
