captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785886280118|0|SAFE_BOOT|fixed|1346371075|8193|8193
1785886280118|0|SAFE_BOOT|rotating|1350565379|8193|8193
1785886280548|1001|mask_1_f2r_active|fixed|1350565379|8193|8193
1785886280548|1001|mask_1_f2r_active|rotating|1350557187|8193|8193
1785886284892|1001|mask_1_f2r_terminal|fixed|1350565379|8193|8193
1785886284892|1001|mask_1_f2r_terminal|rotating|1350565379|8193|8193
1785886285509|1002|mask_1_r2f_active|fixed|1346362883|8193|8193
1785886285509|1002|mask_1_r2f_active|rotating|1350565379|8193|8193
1785886289910|1002|mask_1_r2f_terminal|fixed|1350565379|8193|8193
1785886289910|1002|mask_1_r2f_terminal|rotating|1350565379|8193|8193
1785886290502|1003|mask_2_f2r_active|fixed|1346371075|8193|8193
1785886290502|1003|mask_2_f2r_active|rotating|1350557187|8193|8193
1785886294869|1003|mask_2_f2r_terminal|fixed|1346371075|8193|8193
1785886294869|1003|mask_2_f2r_terminal|rotating|1350565379|8193|8193
1785886295506|1004|mask_2_r2f_active|fixed|1350557187|8193|8193
1785886295506|1004|mask_2_r2f_active|rotating|1346371075|8193|8193
1785886300017|1004|mask_2_r2f_terminal|fixed|1350565379|8193|8193
1785886300017|1004|mask_2_r2f_terminal|rotating|1350565379|8193|8193
1785886300667|1005|mask_3_f2r_active|fixed|1350565379|8193|8193
1785886300667|1005|mask_3_f2r_active|rotating|1350557187|8193|8193
1785886303308|1005|mask_3_f2r_terminal|fixed|1346371075|8193|8193
1785886303308|1005|mask_3_f2r_terminal|rotating|1346371075|8193|8193
1785886303916|1006|mask_3_r2f_active|fixed|1350557187|8193|8193
1785886303916|1006|mask_3_r2f_active|rotating|1350565379|8193|8193
1785886306555|1006|mask_3_r2f_terminal|fixed|1346371075|8193|8193
1785886306555|1006|mask_3_r2f_terminal|rotating|1350565379|8193|8193
1785886307179|1007|mask_4_f2r_active|fixed|1350565379|8193|8193
1785886307179|1007|mask_4_f2r_active|rotating|1346362883|8193|8193
1785886311534|1007|mask_4_f2r_terminal|fixed|1346371075|8193|8193
1785886311534|1007|mask_4_f2r_terminal|rotating|1346371075|8193|8193
1785886312113|1008|mask_4_r2f_active|fixed|1350557187|8193|8193
1785886312113|1008|mask_4_r2f_active|rotating|1346371075|8193|8193
1785886316465|1008|mask_4_r2f_terminal|fixed|1346371075|8193|8193
1785886316465|1008|mask_4_r2f_terminal|rotating|1346371075|8193|8193
1785886317093|1009|mask_5_f2r_active|fixed|1350565379|8193|8193
1785886317093|1009|mask_5_f2r_active|rotating|1350557187|8193|8193
1785886319711|1009|mask_5_f2r_terminal|fixed|1346371075|8193|8193
1785886319711|1009|mask_5_f2r_terminal|rotating|1346371075|8193|8193
1785886320289|1010|mask_5_r2f_active|fixed|1350557187|8193|8193
1785886320289|1010|mask_5_r2f_active|rotating|1346371075|8193|8193
1785886322882|1010|mask_5_r2f_terminal|fixed|1346371075|8193|8193
1785886322882|1010|mask_5_r2f_terminal|rotating|1350565379|8193|8193
1785886323496|1011|mask_6_f2r_active|fixed|1350565379|8193|8193
1785886323496|1011|mask_6_f2r_active|rotating|1346362883|8193|8193
1785886326113|1011|mask_6_f2r_terminal|fixed|1350565379|8193|8193
1785886326113|1011|mask_6_f2r_terminal|rotating|1346371075|8193|8193
1785886326701|1012|mask_6_r2f_active|fixed|1350557187|8193|8193
1785886326701|1012|mask_6_r2f_active|rotating|1350565379|8193|8193
1785886329277|1012|mask_6_r2f_terminal|fixed|1346371075|8193|8193
1785886329277|1012|mask_6_r2f_terminal|rotating|1350565379|8193|8193
