captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1785885730848|1002|phy_lane0_f2r_prbs_10000f|fixed|4,1378943233,16780817,5165213,0,5151106,0,5151106,0,4924,0,4922,0,0,0,153,0,151937165,0,4096,0,0,0,4923,0,451601382,0,451601390,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|2,1169822283,0,1257724,0,0,0,0,0,1300487,0,1,0,271852559,0,271852559,0,2080,272335941,0,897435340,0,0,0,0,0
1785885730848|1002|phy_lane0_f2r_prbs_10000f|rotating|4,1378943233,33558272,5240171,0,14380,0,14380,0,312,0,156,0,0,0,4993,0,996544,0,4096,0,0,0,156,0,437994030,0,437994038,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|2,487581847,0,0,0,24700,0,24700,0,3617,0,0,1,0,0,0,0,0,0,0,152557967,0,0,0,0,0
1785885742526|1004|phy_lane0_r2f_prbs_10000f|fixed|10,1378943233,16781056,5183059,0,14203,0,14203,0,308,0,154,0,0,0,4939,0,983760,0,4096,0,0,0,154,0,1198411102,0,1198411110,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|4,1917134526,0,2494700,0,24700,0,24700,0,3573,0,2,1,540871568,0,540871568,0,2048,542474992,0,1042556034,0,0,0,0,0
1785885742526|1004|phy_lane0_r2f_prbs_10000f|rotating|10,1378943233,33558033,5256537,0,5242151,0,5242151,0,5012,0,5009,0,0,0,156,0,154633419,0,4096,0,0,0,5010,0,1185441182,0,1185441190,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|4,1234923236,0,1273532,0,2494700,0,2494700,0,1320315,0,1,2,275954941,0,275954941,0,2059,276441717,0,356487453,0,0,0,0,0
1785885754108|1006|phy_lane1_f2r_prbs_10000f|fixed|16,1378943233,16780578,0,5152700,0,5138591,0,5138591,0,4915,0,4914,0,0,0,153,0,151683441,0,4096,0,0,0,4914,0,1940326264,0,1940326272,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|6,2658582865,0,3752424,0,2494700,0,2494700,0,1297458,0,3,2,812305634,0,812305634,0,2080,814392440,0,1242657812,0,0,0,0,0
1785885754108|1006|phy_lane1_f2r_prbs_10000f|rotating|16,1378943233,33558272,0,5241788,0,14383,0,14383,0,312,0,156,0,0,0,4999,0,996544,0,4096,0,0,0,156,0,1927173323,0,1927173331,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|6,1977063079,0,2494700,0,2519400,0,2519400,0,3618,0,2,3,540871570,0,540871570,0,2048,542474993,0,497471296,0,0,0,0,0
1785885765727|1008|phy_lane1_r2f_prbs_10000f|fixed|22,1378943233,16781056,0,5164795,0,14109,0,14109,0,306,0,153,0,0,0,4926,0,977384,0,4096,0,0,0,153,0,2682325951,0,2682325959,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|8,3402083968,0,4989400,0,2519400,0,2519400,0,3573,0,4,3,1081743136,0,1081743136,0,2048,1084949984,0,1383072769,0,0,0,0,0
1785885765727|1008|phy_lane1_r2f_prbs_10000f|rotating|22,1378943233,33557794,0,5238882,0,5224498,0,5224498,0,4998,0,4996,0,0,0,156,0,154234156,0,4096,0,0,0,4997,0,2670380039,0,2670380047,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|8,2719838830,0,3768232,0,4989400,0,4989400,0,1315826,0,3,4,816107930,0,816107930,0,2080,818198129,0,697855944,0,0,0,0,0
1785885777374|1010|phy_lane2_f2r_prbs_10000f|fixed|28,1378943233,16780100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|10,4147602722,0,6242952,0,4989400,0,4989400,0,1297709,0,5,4,1353030411,0,1353030411,0,2080,1356719598,0,1586708337,0,0,0,0,0
1785885777374|1010|phy_lane2_f2r_prbs_10000f|rotating|28,1378943233,33558272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|10,3465204447,0,4989400,0,5014100,0,5014100,0,3597,0,4,5,1081743138,0,1081743138,0,2048,1084949985,0,841707559,0,0,0,0,0
1785885789093|1012|phy_lane2_r2f_prbs_10000f|fixed|34,1378943233,16781056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|12,603168358,1,7484100,0,5014100,0,5014100,0,3557,0,6,5,1622614703,0,1622614703,0,2048,1627424974,0,1732011713,0,0,0,0,0
1785885789093|1012|phy_lane2_r2f_prbs_10000f|rotating|34,1378943233,33557316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|12,4219568334,0,6286644,0,7484100,0,7484100,0,1345528,0,5,6,1363091680,0,1363091680,0,2080,1366790394,0,1046535635,0,0,0,0,0
1785885800632|1014|phy_lane3_f2r_prbs_10000f|fixed|40,1378943233,16779144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|14,1341220858,1,8741824,0,7484100,0,7484100,0,1298994,0,7,6,1894177308,0,1894177308,0,2080,1899470961,0,1930345231,0,0,0,0,0
1785885800632|1014|phy_lane3_f2r_prbs_10000f|rotating|40,1378943233,33558272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|14,659431502,1,7484100,0,7508800,0,7508800,0,3619,0,6,7,1622614705,0,1622614705,0,2048,1627424976,0,1185109617,0,0,0,0,0
