captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785885582184|0|SAFE_BOOT|fixed|1350565379|8193|8193
1785885582184|0|SAFE_BOOT|rotating|1346371075|8193|8193
1785885582223|1001|matrix_F0_raw64_active|fixed|1346371075|8193|8193
1785885582223|1001|matrix_F0_raw64_active|rotating|1346371075|8193|8193
1785885582545|1001|matrix_F0_raw64_terminal|fixed|1350565379|8193|8193
1785885582545|1001|matrix_F0_raw64_terminal|rotating|1350565379|8193|8193
1785885582748|1002|matrix_F0_raw1024_active|fixed|1346371075|8193|8193
1785885582748|1002|matrix_F0_raw1024_active|rotating|1346371075|8193|8193
1785885583095|1002|matrix_F0_raw1024_terminal|fixed|1346371075|8193|8193
1785885583095|1002|matrix_F0_raw1024_terminal|rotating|1350565379|8193|8193
1785885583433|1003|matrix_F0_frame10s_00000_1048576_active|fixed|1350565379|8193|8193
1785885583433|1003|matrix_F0_frame10s_00000_1048576_active|rotating|1346362883|8193|8193
1785885587597|1003|matrix_F0_frame10s_00000_1048576_terminal|fixed|1346371075|8193|8193
1785885587597|1003|matrix_F0_frame10s_00000_1048576_terminal|rotating|1346371075|8193|8193
1785885593403|1004|matrix_R0_raw64_active|fixed|1346371075|8193|8193
1785885593403|1004|matrix_R0_raw64_active|rotating|1350565379|8193|8193
1785885593820|1004|matrix_R0_raw64_terminal|fixed|1346371075|8193|8193
1785885593820|1004|matrix_R0_raw64_terminal|rotating|1346371075|8193|8193
1785885594098|1005|matrix_R0_raw1024_active|fixed|1346371075|8193|8193
1785885594098|1005|matrix_R0_raw1024_active|rotating|1350565379|8193|8193
1785885594492|1005|matrix_R0_raw1024_terminal|fixed|1350565379|8193|8193
1785885594492|1005|matrix_R0_raw1024_terminal|rotating|1350565379|8193|8193
1785885594886|1006|matrix_R0_frame10s_00000_1048576_active|fixed|1346362883|8193|8193
1785885594886|1006|matrix_R0_frame10s_00000_1048576_active|rotating|1350565379|8193|8193
1785885599000|1006|matrix_R0_frame10s_00000_1048576_terminal|fixed|1346371075|8193|8193
1785885599000|1006|matrix_R0_frame10s_00000_1048576_terminal|rotating|1346371075|8193|8193
1785885604778|1007|matrix_F1_raw64_active|fixed|1350565379|8193|8193
1785885604778|1007|matrix_F1_raw64_active|rotating|1350565379|8193|8193
1785885605079|1007|matrix_F1_raw64_terminal|fixed|1350565379|8193|8193
1785885605079|1007|matrix_F1_raw64_terminal|rotating|1350565379|8193|8193
1785885605297|1008|matrix_F1_raw1024_active|fixed|1350565379|8193|8193
1785885605297|1008|matrix_F1_raw1024_active|rotating|1346371075|8193|8193
1785885605605|1008|matrix_F1_raw1024_terminal|fixed|1346371075|8193|8193
1785885605605|1008|matrix_F1_raw1024_terminal|rotating|1346371075|8193|8193
1785885605945|1009|matrix_F1_frame10s_00000_1048576_active|fixed|1346371075|8193|8193
1785885605945|1009|matrix_F1_frame10s_00000_1048576_active|rotating|1350557187|8193|8193
1785885610027|1009|matrix_F1_frame10s_00000_1048576_terminal|fixed|1350565379|8193|8193
1785885610027|1009|matrix_F1_frame10s_00000_1048576_terminal|rotating|1346371075|8193|8193
1785885615841|1010|matrix_R1_raw64_active|fixed|1350565379|8193|8193
1785885615841|1010|matrix_R1_raw64_active|rotating|1346371075|8193|8193
1785885616165|1010|matrix_R1_raw64_terminal|fixed|1350565379|8193|8193
1785885616165|1010|matrix_R1_raw64_terminal|rotating|1350565379|8193|8193
1785885616396|1011|matrix_R1_raw1024_active|fixed|1350565379|8193|8193
1785885616396|1011|matrix_R1_raw1024_active|rotating|1350565379|8193|8193
1785885616761|1011|matrix_R1_raw1024_terminal|fixed|1350565379|8193|8193
1785885616761|1011|matrix_R1_raw1024_terminal|rotating|1346371075|8193|8193
1785885617105|1012|matrix_R1_frame10s_00000_1048576_active|fixed|1350557187|8193|8193
1785885617105|1012|matrix_R1_frame10s_00000_1048576_active|rotating|1350565379|8193|8193
1785885621184|1012|matrix_R1_frame10s_00000_1048576_terminal|fixed|1346371075|8193|8193
1785885621184|1012|matrix_R1_frame10s_00000_1048576_terminal|rotating|1346371075|8193|8193
1785885627013|1013|matrix_F2_raw64_active|fixed|1346371075|8193|8193
1785885627013|1013|matrix_F2_raw64_active|rotating|1350565379|8193|8193
1785885627361|1013|matrix_F2_raw64_terminal|fixed|1346371075|8193|8193
1785885627361|1013|matrix_F2_raw64_terminal|rotating|1350565379|8193|8193
1785885627596|1014|matrix_F2_raw1024_active|fixed|1346371075|8193|8193
1785885627596|1014|matrix_F2_raw1024_active|rotating|1350565379|8193|8193
1785885627916|1014|matrix_F2_raw1024_terminal|fixed|1350565379|8193|8193
1785885627916|1014|matrix_F2_raw1024_terminal|rotating|1350565379|8193|8193
1785885628270|1015|matrix_F2_frame10s_00000_1048576_active|fixed|1350565379|8193|8193
1785885628270|1015|matrix_F2_frame10s_00000_1048576_active|rotating|1350557187|8193|8193
1785885632336|1015|matrix_F2_frame10s_00000_1048576_terminal|fixed|1350565379|8193|8193
1785885632336|1015|matrix_F2_frame10s_00000_1048576_terminal|rotating|1346371075|8193|8193
1785885638159|1016|matrix_R2_raw64_active|fixed|1350565379|8193|8193
1785885638159|1016|matrix_R2_raw64_active|rotating|1350565379|8193|8193
1785885638500|1016|matrix_R2_raw64_terminal|fixed|1350565379|8193|8193
1785885638500|1016|matrix_R2_raw64_terminal|rotating|1346371075|8193|8193
1785885638716|1017|matrix_R2_raw1024_active|fixed|1346371075|8193|8193
1785885638716|1017|matrix_R2_raw1024_active|rotating|1346371075|8193|8193
1785885639077|1017|matrix_R2_raw1024_terminal|fixed|1350565379|8193|8193
