captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1785885873025|1001|regression64_f2r|fixed|2,1378943233,16780339,5891069,5848765,5855983,5848765,5855983,5848765,6121,6110,5579,5579,0,0,372,0,172210655,172047170,4096,4096,0,0,5579,5579,364518269,364518618,364518277,364518626,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,52,0,40,0,13,10,0,1,52,0|4,1134747585,0,2779520,0,0,0,0,0,2949817,0,10,0,320680430,0,320680430,0,2080,314748284,0,8214613,0,0,0,0,0
1785885873025|1001|regression64_f2r|rotating|2,1378943233,33558033,5970390,5927472,35559,0,35559,0,738,0,377,0,0,0,5654,5638,2407655,0,4096,0,0,0,377,0,351731522,0,351731530,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,52,0,40,0,13,10,0,1,52,0|4,397200353,0,0,0,2621440,0,2621440,0,8960,0,0,10,0,0,0,0,0,0,0,6880600,0,0,0,0,0
1785885878041|1001|regression64_f2r|fixed|4,1378943233,16780339,11981647,11896116,11910802,11896116,11910802,11896116,11905,11882,11351,11350,0,0,751,0,350377594,350037792,4096,4096,0,0,11352,11351,685600368,685600373,685600376,685600357,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,96,0,84,0,24,21,0,1,96,0|6,1456947989,0,5631488,0,0,0,0,0,5986421,0,21,0,642167842,0,642167842,0,2080,635364837,0,9648456,0,0,0,0,0
1785885878041|1001|regression64_f2r|rotating|4,1378943233,33558272,12070930,11984811,71317,0,71317,0,1485,0,756,0,0,0,11435,11407,4829760,0,4096,0,0,0,756,0,672512814,0,672512822,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,96,0,84,0,24,21,0,1,96,0|6,718905965,0,0,0,5505024,0,5505024,0,17923,0,0,21,0,0,0,0,0,0,0,6902390,0,0,0,0,0
1785885883048|1001|regression64_f2r|fixed|6,1378943233,16781056,18253167,18122374,18146456,18122374,18146456,18122374,17855,17821,17291,17290,0,0,1131,0,533722416,533203896,4096,4096,0,0,17291,17290,1006055446,1006055803,1006055462,1006055811,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,140,0,128,0,35,32,0,1,140,0|8,1776546361,0,8554592,0,0,0,0,0,9093463,0,32,0,961035438,0,961035438,0,2080,953372078,0,11086040,0,0,0,0,0
1785885883048|1001|regression64_f2r|rotating|6,1378943233,33558272,18327863,18196567,107184,0,107184,0,2245,0,1136,0,0,0,17361,17333,7257544,0,4096,0,0,0,1136,0,992839070,0,992839078,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,140,0,128,0,35,32,0,1,140,0|8,1037607393,0,0,0,8388608,0,8388608,0,26842,0,0,32,0,0,0,0,0,0,0,6922414,0,0,0,0,0
1785885888058|1001|regression64_f2r|fixed|8,1378943233,16780339,24466510,24291915,24323847,24291915,24323847,24291915,23752,23707,23176,23175,0,0,1512,0,715404848,714705468,4096,4096,0,0,23177,23176,1326840945,1326840917,1326840953,1326840933,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,184,0,172,0,46,43,0,1,184,0|10,2097452894,0,11462876,0,0,0,0,0,12181306,0,43,0,1281214900,0,1281214900,0,2080,1272690117,0,12521752,0,0,0,0,0
1785885888058|1001|regression64_f2r|rotating|8,1378943233,33558272,24559003,24383914,143133,0,143133,0,3003,0,1517,0,0,0,23264,23232,9691696,0,4096,0,0,0,1517,0,1314004462,0,1314004470,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,184,0,172,0,46,43,0,1,184,0|10,1359361841,0,0,0,11272192,0,11272192,0,35830,0,0,43,0,0,0,0,0,0,0,6939964,0,0,0,0,0
1785885893073|1001|regression64_f2r|fixed|10,1378943233,16780339,30740744,30520871,30562126,30520871,30562126,30520871,29710,29654,29123,29122,0,0,1893,0,898972024,898091252,4096,4096,0,0,29124,29123,1647692701,1647692682,1647692669,1647692690,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,228,0,216,0,57,54,0,1,228,0|12,2419085433,0,14408704,0,0,0,0,0,15305735,0,54,0,1602110982,0,1602110982,0,2080,1592734572,0,13955412,0,0,0,0,0
1785885893073|1001|regression64_f2r|rotating|10,1378943233,33558272,30838860,30618733,179087,0,179087,0,3765,0,1898,0,0,0,29217,29185,12125840,0,4096,0,0,0,1898,0,1635078903,0,1635078911,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,232,0,220,0,58,55,0,1,232,0|12,1680636856,0,0,0,14417920,0,14417920,0,44842,0,0,55,0,0,0,0,0,0,0,6965157,0,0,0,0,0
