captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785893747486|0|SAFE_BOOT|fixed|1346371075|8193|8193
1785893747486|0|SAFE_BOOT|rotating|1346371075|8193|8193
1785893747545|1001|arq_wrap_f2r_active|fixed|1346371075|8193|8193
1785893747545|1001|arq_wrap_f2r_active|rotating|1350557187|8193|8193
1785893747880|1001|arq_wrap_f2r_terminal|fixed|1350565379|8193|8193
1785893747880|1001|arq_wrap_f2r_terminal|rotating|1350565379|8193|8193
1785893748110|1002|arq_wrap_r2f_active|fixed|1350557187|8193|8193
1785893748110|1002|arq_wrap_r2f_active|rotating|1350565379|8193|8193
1785893748488|1002|arq_wrap_r2f_terminal|fixed|1346371075|8193|8193
1785893748488|1002|arq_wrap_r2f_terminal|rotating|1346371075|8193|8193
1785893748757|1003|arq_ack_aggregation_active|fixed|1346371075|8193|8193
1785893748757|1003|arq_ack_aggregation_active|rotating|1350557187|8193|8193
1785893749278|1003|arq_ack_aggregation_terminal|fixed|1350565379|8193|8193
1785893749278|1003|arq_ack_aggregation_terminal|rotating|1350565379|8193|8193
1785893749521|1004|arq_data_loss_active|fixed|1350565379|8193|8193
1785893749521|1004|arq_data_loss_active|rotating|1350557187|8193|8193
1785893750242|1004|arq_data_loss_terminal|fixed|1350565379|8193|8193
1785893750242|1004|arq_data_loss_terminal|rotating|1346371075|8193|8193
1785893750506|1005|arq_ack_loss_active|fixed|1346362883|8193|8193
1785893750506|1005|arq_ack_loss_active|rotating|1350565379|8193|8193
1785893751049|1005|arq_ack_loss_terminal|fixed|1346371075|8193|8193
1785893751049|1005|arq_ack_loss_terminal|rotating|1346371075|8193|8193
1785893751308|1006|arq_sack_loss_active|fixed|1350565379|8193|8193
1785893751308|1006|arq_sack_loss_active|rotating|1346362883|8193|8193
1785893751821|1006|arq_sack_loss_terminal|fixed|1350565379|8193|8193
1785893751821|1006|arq_sack_loss_terminal|rotating|1346371075|8193|8193
1785893752128|1007|arq_duplicate_ack_active|fixed|1346362883|8193|8193
1785893752128|1007|arq_duplicate_ack_active|rotating|1346371075|8193|8193
1785893752624|1007|arq_duplicate_ack_terminal|fixed|1346371075|8193|8193
1785893752624|1007|arq_duplicate_ack_terminal|rotating|1350565379|8193|8193
1785893752941|1008|arq_reorder_active|fixed|1346371075|8193|8193
1785893752941|1008|arq_reorder_active|rotating|1350557187|8193|8193
1785893753449|1008|arq_reorder_terminal|fixed|1350565379|8193|8193
1785893753449|1008|arq_reorder_terminal|rotating|1346371075|8193|8193
1785893765788|1009|arq_retry_migration_active|fixed|1346362883|8193|8193
1785893765788|1009|arq_retry_migration_active|rotating|1350565378|8193|8193
1785893770914|1009|arq_retry_migration|fixed|1346362883|8193|8193
1785893770914|1009|arq_retry_migration|rotating|1350565378|8193|8193
1785893775904|1009|arq_retry_migration|fixed|1350557187|8193|8193
1785893775904|1009|arq_retry_migration|rotating|1346371074|8193|8193
1785893780931|1009|arq_retry_migration|fixed|1350557187|8193|8193
1785893780931|1009|arq_retry_migration|rotating|1346371074|8193|8193
1785893785917|1009|arq_retry_migration|fixed|1350565379|8193|8193
1785893785917|1009|arq_retry_migration|rotating|1350565379|8193|8193
1785893787273|1009|arq_retry_migration_terminal|fixed|1346371075|8193|8193
1785893787273|1009|arq_retry_migration_terminal|rotating|1350565379|8193|8193
1785893793475|1010|scheduler_fair_f2r_active|fixed|1346371075|8193|8193
1785893793475|1010|scheduler_fair_f2r_active|rotating|1346362883|8193|8193
1785893798593|1010|scheduler_fair_f2r|fixed|1350565379|8193|8193
1785893798593|1010|scheduler_fair_f2r|rotating|1346362883|8193|8193
1785893803585|1010|scheduler_fair_f2r|fixed|1346371074|8193|8193
1785893803585|1010|scheduler_fair_f2r|rotating|1346362883|8193|8193
1785893808645|1010|scheduler_fair_f2r|fixed|1350565378|8193|8193
1785893808645|1010|scheduler_fair_f2r|rotating|1346362883|8193|8193
1785893813628|1010|scheduler_fair_f2r|fixed|1346371074|8193|8193
1785893813628|1010|scheduler_fair_f2r|rotating|1350557187|8193|8193
1785893815576|1010|scheduler_fair_f2r_terminal|fixed|1350565379|8193|8193
1785893815576|1010|scheduler_fair_f2r_terminal|rotating|1346371075|8193|8193
1785893821785|1011|scheduler_fair_r2f_active|fixed|1350557187|8193|8193
1785893821785|1011|scheduler_fair_r2f_active|rotating|1346371075|8193|8193
1785893826917|1011|scheduler_fair_r2f|fixed|1350557187|8193|8193
1785893826917|1011|scheduler_fair_r2f|rotating|1350565379|8193|8193
1785893831936|1011|scheduler_fair_r2f|fixed|1350557187|8193|8193
1785893831936|1011|scheduler_fair_r2f|rotating|1350565378|8193|8193
1785893836938|1011|scheduler_fair_r2f|fixed|1346362883|8193|8193
1785893836938|1011|scheduler_fair_r2f|rotating|1350565378|8193|8193
1785893841963|1011|scheduler_fair_r2f|fixed|1350557187|8193|8193
1785893841963|1011|scheduler_fair_r2f|rotating|1350565378|8193|8193
1785893843921|1011|scheduler_fair_r2f_terminal|fixed|1346371075|8193|8193
1785893843921|1011|scheduler_fair_r2f_terminal|rotating|1350565379|8193|8193
1785893844477|1012|P10_3F-ARQ_SACK_endpoint_shutdown_terminal|fixed|1350565379|8193|8193
1785893844477|1012|P10_3F-ARQ_SACK_endpoint_shutdown_terminal|rotating|1350565379|8193|8193
