captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785893304549|0|SAFE_BOOT|fixed|1346371075|8193|8193
1785893304549|0|SAFE_BOOT|rotating|1346371075|8193|8193
1785893304961|1001|mask_1_f2r_active|fixed|1350565379|8193|8193
1785893304961|1001|mask_1_f2r_active|rotating|1346362883|8193|8193
1785893309333|1001|mask_1_f2r_terminal|fixed|1350565379|8193|8193
1785893309333|1001|mask_1_f2r_terminal|rotating|1350565379|8193|8193
1785893309925|1002|mask_1_r2f_active|fixed|1346362883|8193|8193
1785893309925|1002|mask_1_r2f_active|rotating|1346371075|8193|8193
1785893314291|1002|mask_1_r2f_terminal|fixed|1346371075|8193|8193
1785893314291|1002|mask_1_r2f_terminal|rotating|1350565379|8193|8193
1785893314886|1003|mask_2_f2r_active|fixed|1350565379|8193|8193
1785893314886|1003|mask_2_f2r_active|rotating|1346362883|8193|8193
1785893319228|1003|mask_2_f2r_terminal|fixed|1350565379|8193|8193
1785893319228|1003|mask_2_f2r_terminal|rotating|1350565379|8193|8193
1785893319845|1004|mask_2_r2f_active|fixed|1350557187|8193|8193
1785893319845|1004|mask_2_r2f_active|rotating|1350565379|8193|8193
1785893324209|1004|mask_2_r2f_terminal|fixed|1346371075|8193|8193
1785893324209|1004|mask_2_r2f_terminal|rotating|1350565379|8193|8193
1785893324825|1005|mask_3_f2r_active|fixed|1346371075|8193|8193
1785893324825|1005|mask_3_f2r_active|rotating|1346362883|8193|8193
1785893327418|1005|mask_3_f2r_terminal|fixed|1346371075|8193|8193
1785893327418|1005|mask_3_f2r_terminal|rotating|1346371075|8193|8193
1785893328003|1006|mask_3_r2f_active|fixed|1346362883|8193|8193
1785893328003|1006|mask_3_r2f_active|rotating|1350565379|8193|8193
1785893330582|1006|mask_3_r2f_terminal|fixed|1350565379|8193|8193
1785893330582|1006|mask_3_r2f_terminal|rotating|1346371075|8193|8193
1785893331165|1007|mask_4_f2r_active|fixed|1350565379|8193|8193
1785893331165|1007|mask_4_f2r_active|rotating|1350557187|8193|8193
1785893335500|1007|mask_4_f2r_terminal|fixed|1346371075|8193|8193
1785893335500|1007|mask_4_f2r_terminal|rotating|1350565379|8193|8193
1785893336134|1008|mask_4_r2f_active|fixed|1346362883|8193|8193
1785893336134|1008|mask_4_r2f_active|rotating|1346371075|8193|8193
1785893340544|1008|mask_4_r2f_terminal|fixed|1350565379|8193|8193
1785893340544|1008|mask_4_r2f_terminal|rotating|1350565379|8193|8193
