captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785894002411|0|SAFE_BOOT|fixed|1350565379|8193|8193
1785894002411|0|SAFE_BOOT|rotating|1346371075|8193|8193
1785894002569|1001|stream64_f2r_1_active|fixed|1346371075|8193|8193
1785894002569|1001|stream64_f2r_1_active|rotating|1346362883|8193|8193
1785894007715|1001|stream64_f2r_1|fixed|1350565378|8193|8193
1785894007715|1001|stream64_f2r_1|rotating|1346362883|8193|8193
1785894012675|1001|stream64_f2r_1|fixed|1346371074|8193|8193
1785894012675|1001|stream64_f2r_1|rotating|1346362883|8193|8193
1785894017705|1001|stream64_f2r_1|fixed|1350565378|8193|8193
1785894017705|1001|stream64_f2r_1|rotating|1346362883|8193|8193
1785894022738|1001|stream64_f2r_1|fixed|1346371074|8193|8193
1785894022738|1001|stream64_f2r_1|rotating|1346362883|8193|8193
1785894027724|1001|stream64_f2r_1|fixed|1350565378|8193|8193
1785894027724|1001|stream64_f2r_1|rotating|1346362883|8193|8193
1785894032766|1001|stream64_f2r_1|fixed|1350565378|8193|8193
1785894032766|1001|stream64_f2r_1|rotating|1350557187|8193|8193
1785894037754|1001|stream64_f2r_1|fixed|1350565378|8193|8193
1785894037754|1001|stream64_f2r_1|rotating|1346362883|8193|8193
1785894042755|1001|stream64_f2r_1|fixed|1346371074|8193|8193
1785894042755|1001|stream64_f2r_1|rotating|1350557187|8193|8193
1785894047758|1001|stream64_f2r_1|fixed|1346371074|8193|8193
1785894047758|1001|stream64_f2r_1|rotating|1346362883|8193|8193
1785894052766|1001|stream64_f2r_1|fixed|1350565378|8193|8193
1785894052766|1001|stream64_f2r_1|rotating|1346362883|8193|8193
1785894057770|1001|stream64_f2r_1|fixed|1350565378|8193|8193
1785894057770|1001|stream64_f2r_1|rotating|1346362883|8193|8193
1785894060765|1001|stream64_f2r_1_terminal|fixed|1350565379|8193|8193
1785894060765|1001|stream64_f2r_1_terminal|rotating|1346371075|8193|8193
1785894061108|1002|stream64_f2r_2_active|fixed|1350565379|8193|8193
1785894061108|1002|stream64_f2r_2_active|rotating|1346362883|8193|8193
1785894066254|1002|stream64_f2r_2|fixed|1346371074|8193|8193
1785894066254|1002|stream64_f2r_2|rotating|1346362883|8193|8193
1785894071253|1002|stream64_f2r_2|fixed|1346371074|8193|8193
1785894071253|1002|stream64_f2r_2|rotating|1350557187|8193|8193
1785894076224|1002|stream64_f2r_2|fixed|1346371074|8193|8193
1785894076224|1002|stream64_f2r_2|rotating|1350557187|8193|8193
1785894081286|1002|stream64_f2r_2|fixed|1346371074|8193|8193
1785894081286|1002|stream64_f2r_2|rotating|1346362883|8193|8193
1785894086283|1002|stream64_f2r_2|fixed|1346371074|8193|8193
1785894086283|1002|stream64_f2r_2|rotating|1346362883|8193|8193
1785894091290|1002|stream64_f2r_2|fixed|1350565378|8193|8193
1785894091290|1002|stream64_f2r_2|rotating|1346362883|8193|8193
1785894096287|1002|stream64_f2r_2|fixed|1346371074|8193|8193
1785894096287|1002|stream64_f2r_2|rotating|1350557187|8193|8193
1785894101287|1002|stream64_f2r_2|fixed|1346371074|8193|8193
1785894101287|1002|stream64_f2r_2|rotating|1346362883|8193|8193
1785894106284|1002|stream64_f2r_2|fixed|1350565378|8193|8193
