captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785892891354|0|SAFE_BOOT|fixed|1346371075|8193|8193
1785892891354|0|SAFE_BOOT|rotating|1346371075|8193|8193
1785892891509|1001|regression64_f2r_active|fixed|1350565379|8193|8193
1785892891509|1001|regression64_f2r_active|rotating|1350557187|8193|8193
1785892896607|1001|regression64_f2r|fixed|1350565378|8193|8193
1785892896607|1001|regression64_f2r|rotating|1350557187|8193|8193
1785892901618|1001|regression64_f2r|fixed|1350565378|8193|8193
1785892901618|1001|regression64_f2r|rotating|1350557187|8193|8193
1785892906635|1001|regression64_f2r|fixed|1346371074|8193|8193
1785892906635|1001|regression64_f2r|rotating|1346362883|8193|8193
1785892911654|1001|regression64_f2r|fixed|1350565378|8193|8193
1785892911654|1001|regression64_f2r|rotating|1346362883|8193|8193
1785892916634|1001|regression64_f2r|fixed|1350565378|8193|8193
1785892916634|1001|regression64_f2r|rotating|1346362883|8193|8193
1785892921645|1001|regression64_f2r|fixed|1350565378|8193|8193
1785892921645|1001|regression64_f2r|rotating|1346362883|8193|8193
1785892926698|1001|regression64_f2r|fixed|1346371074|8193|8193
1785892926698|1001|regression64_f2r|rotating|1350557187|8193|8193
1785892931689|1001|regression64_f2r|fixed|1346371074|8193|8193
1785892931689|1001|regression64_f2r|rotating|1350557187|8193|8193
1785892936675|1001|regression64_f2r|fixed|1350565378|8193|8193
1785892936675|1001|regression64_f2r|rotating|1346362883|8193|8193
1785892941690|1001|regression64_f2r|fixed|1350565378|8193|8193
1785892941690|1001|regression64_f2r|rotating|1350557187|8193|8193
1785892946687|1001|regression64_f2r|fixed|1350565378|8193|8193
1785892946687|1001|regression64_f2r|rotating|1350557187|8193|8193
1785892951713|1001|regression64_f2r|fixed|1346371074|8193|8193
1785892951713|1001|regression64_f2r|rotating|1350557187|8193|8193
1785892956714|1001|regression64_f2r|fixed|1350565378|8193|8193
1785892956714|1001|regression64_f2r|rotating|1346362883|8193|8193
1785892961732|1001|regression64_f2r|fixed|1346371074|8193|8193
1785892961732|1001|regression64_f2r|rotating|1350557187|8193|8193
1785892966757|1001|regression64_f2r|fixed|1350565378|8193|8193
1785892966757|1001|regression64_f2r|rotating|1346362883|8193|8193
1785892971735|1001|regression64_f2r|fixed|1346371074|8193|8193
1785892971735|1001|regression64_f2r|rotating|1350557187|8193|8193
1785892976744|1001|regression64_f2r|fixed|1346371074|8193|8193
1785892976744|1001|regression64_f2r|rotating|1350557187|8193|8193
1785892981756|1001|regression64_f2r|fixed|1346371074|8193|8193
1785892981756|1001|regression64_f2r|rotating|1350557187|8193|8193
1785892986742|1001|regression64_f2r|fixed|1350565378|8193|8193
1785892986742|1001|regression64_f2r|rotating|1350557187|8193|8193
1785892991742|1001|regression64_f2r|fixed|1346371074|8193|8193
1785892991742|1001|regression64_f2r|rotating|1346362883|8193|8193
1785892996764|1001|regression64_f2r|fixed|1346371074|8193|8193
1785892996764|1001|regression64_f2r|rotating|1346362883|8193|8193
