captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785896241405|0|SAFE_BOOT|fixed|1350565379|8193|8193
1785896241405|0|SAFE_BOOT|rotating|1346371075|8193|8193
1785896241586|1001|raw_mask1_f2r_10s_00000_1048576_active|fixed|1346371075|8193|8193
1785896241586|1001|raw_mask1_f2r_10s_00000_1048576_active|rotating|1350557187|8193|8193
1785896245785|1001|raw_mask1_f2r_10s_00000_1048576_terminal|fixed|1346371075|8193|8193
1785896245785|1001|raw_mask1_f2r_10s_00000_1048576_terminal|rotating|1346371075|8193|8193
1785896251613|1002|raw_mask1_r2f_10s_00000_1048576_active|fixed|1350557187|8193|8193
1785896251613|1002|raw_mask1_r2f_10s_00000_1048576_active|rotating|1346371075|8193|8193
1785896255699|1002|raw_mask1_r2f_10s_00000_1048576_terminal|fixed|1350565379|8193|8193
1785896255699|1002|raw_mask1_r2f_10s_00000_1048576_terminal|rotating|1350565379|8193|8193
1785896261585|1003|raw_mask3_f2r_10s_00000_1048576_active|fixed|1350565379|8193|8193
1785896261585|1003|raw_mask3_f2r_10s_00000_1048576_active|rotating|1350557187|8193|8193
1785896263947|1003|raw_mask3_f2r_10s_00000_1048576_terminal|fixed|1350565379|8193|8193
1785896263947|1003|raw_mask3_f2r_10s_00000_1048576_terminal|rotating|1350565379|8193|8193
1785896264251|1004|raw_mask3_f2r_10s_00001_1048576_active|fixed|1346371075|8193|8193
1785896264251|1004|raw_mask3_f2r_10s_00001_1048576_active|rotating|1346362883|8193|8193
1785896266489|1004|raw_mask3_f2r_10s_00001_1048576_terminal|fixed|1346371075|8193|8193
1785896266489|1004|raw_mask3_f2r_10s_00001_1048576_terminal|rotating|1346371075|8193|8193
1785896271588|1005|raw_mask3_r2f_10s_00000_1048576_active|fixed|1346362883|8193|8193
1785896271588|1005|raw_mask3_r2f_10s_00000_1048576_active|rotating|1350565379|8193|8193
1785896273915|1005|raw_mask3_r2f_10s_00000_1048576_terminal|fixed|1350565379|8193|8193
1785896273915|1005|raw_mask3_r2f_10s_00000_1048576_terminal|rotating|1350565379|8193|8193
1785896274230|1006|raw_mask3_r2f_10s_00001_1048576_active|fixed|1346362883|8193|8193
1785896274230|1006|raw_mask3_r2f_10s_00001_1048576_active|rotating|1350565379|8193|8193
1785896276502|1006|raw_mask3_r2f_10s_00001_1048576_terminal|fixed|1350565379|8193|8193
1785896276502|1006|raw_mask3_r2f_10s_00001_1048576_terminal|rotating|1350565379|8193|8193
1785896281602|1007|raw_mask7_f2r_10s_00000_1048576_active|fixed|1350565379|8193|8193
1785896281602|1007|raw_mask7_f2r_10s_00000_1048576_active|rotating|1350557187|8193|8193
1785896283312|1007|raw_mask7_f2r_10s_00000_1048576_terminal|fixed|1350565379|8193|8193
1785896283312|1007|raw_mask7_f2r_10s_00000_1048576_terminal|rotating|1346371075|8193|8193
1785896283641|1008|raw_mask7_f2r_10s_00001_1048576_active|fixed|1346371075|8193|8193
1785896283641|1008|raw_mask7_f2r_10s_00001_1048576_active|rotating|1346362883|8193|8193
1785896285334|1008|raw_mask7_f2r_10s_00001_1048576_terminal|fixed|1350565379|8193|8193
1785896285334|1008|raw_mask7_f2r_10s_00001_1048576_terminal|rotating|1346371075|8193|8193
1785896291624|1009|raw_mask7_r2f_10s_00000_1048576_active|fixed|1346362883|8193|8193
1785896291624|1009|raw_mask7_r2f_10s_00000_1048576_active|rotating|1346371075|8193|8193
1785896293330|1009|raw_mask7_r2f_10s_00000_1048576_terminal|fixed|1350565379|8193|8193
1785896293330|1009|raw_mask7_r2f_10s_00000_1048576_terminal|rotating|1350565379|8193|8193
1785896293668|1010|raw_mask7_r2f_10s_00001_1048576_active|fixed|1350557187|8193|8193
1785896293668|1010|raw_mask7_r2f_10s_00001_1048576_active|rotating|1346371075|8193|8193
1785896295373|1010|raw_mask7_r2f_10s_00001_1048576_terminal|fixed|1346371075|8193|8193
1785896295373|1010|raw_mask7_r2f_10s_00001_1048576_terminal|rotating|1350565379|8193|8193
1785896301615|1011|raw_maskF_f2r_10s_00000_1048576_active|fixed|1350565379|8193|8193
1785896301615|1011|raw_maskF_f2r_10s_00000_1048576_active|rotating|1350557187|8193|8193
1785896303005|1011|raw_maskF_f2r_10s_00000_1048576_terminal|fixed|1350565379|8193|8193
1785896303005|1011|raw_maskF_f2r_10s_00000_1048576_terminal|rotating|1346371075|8193|8193
1785896303313|1012|raw_maskF_f2r_10s_00001_1048576_active|fixed|1346371075|8193|8193
1785896303313|1012|raw_maskF_f2r_10s_00001_1048576_active|rotating|1346362883|8193|8193
1785896304644|1012|raw_maskF_f2r_10s_00001_1048576_terminal|fixed|1346371075|8193|8193
1785896304644|1012|raw_maskF_f2r_10s_00001_1048576_terminal|rotating|1350565379|8193|8193
1785896305097|1013|raw_maskF_f2r_10s_00002_1048576_active|fixed|1350565379|8193|8193
1785896305097|1013|raw_maskF_f2r_10s_00002_1048576_active|rotating|1350557187|8193|8193
1785896306602|1013|raw_maskF_f2r_10s_00002_1048576_terminal|fixed|1346371075|8193|8193
1785896306602|1013|raw_maskF_f2r_10s_00002_1048576_terminal|rotating|1346371075|8193|8193
1785896311636|1014|raw_maskF_r2f_10s_00000_1048576_active|fixed|1346362883|8193|8193
1785896311636|1014|raw_maskF_r2f_10s_00000_1048576_active|rotating|1346371075|8193|8193
1785896313069|1014|raw_maskF_r2f_10s_00000_1048576_terminal|fixed|1346371075|8193|8193
1785896313069|1014|raw_maskF_r2f_10s_00000_1048576_terminal|rotating|1350565379|8193|8193
1785896313399|1015|raw_maskF_r2f_10s_00001_1048576_active|fixed|1350557187|8193|8193
1785896313399|1015|raw_maskF_r2f_10s_00001_1048576_active|rotating|1350565379|8193|8193
1785896314919|1015|raw_maskF_r2f_10s_00001_1048576_terminal|fixed|1350565379|8193|8193
1785896314919|1015|raw_maskF_r2f_10s_00001_1048576_terminal|rotating|1346371075|8193|8193
1785896315242|1016|raw_maskF_r2f_10s_00002_1048576_active|fixed|1346362883|8193|8193
1785896315242|1016|raw_maskF_r2f_10s_00002_1048576_active|rotating|1350565379|8193|8193
1785896316592|1016|raw_maskF_r2f_10s_00002_1048576_terminal|fixed|1350565379|8193|8193
1785896316592|1016|raw_maskF_r2f_10s_00002_1048576_terminal|rotating|1346371075|8193|8193
1785896321802|1017|P10_3F-FOUR_LANE_RAW_endpoint_shutdown_terminal|fixed|1346371075|8193|8193
1785896321802|1017|P10_3F-FOUR_LANE_RAW_endpoint_shutdown_terminal|rotating|1346371075|8193|8193
