captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785895284040|0|SAFE_BOOT|fixed|1346371075|8193|8193
1785895284040|0|SAFE_BOOT|rotating|1346371075|8193|8193
1785895284077|1001|intake_receive_only_5000ms_active|fixed|1350565379|8193|8193
1785895284077|1001|intake_receive_only_5000ms_active|rotating|1350565379|8193|8193
1785895289214|1001|intake_receive_only_5000ms|fixed|1350565379|8193|8193
1785895289214|1001|intake_receive_only_5000ms|rotating|1350565379|8193|8193
1785895289538|1001|intake_receive_only_5000ms_terminal|fixed|1350565379|8193|8193
1785895289538|1001|intake_receive_only_5000ms_terminal|rotating|1346371075|8193|8193
1785895289785|1002|intake_F0_raw_64_active|fixed|1346371075|8193|8193
1785895289785|1002|intake_F0_raw_64_active|rotating|1346371075|8193|8193
1785895290156|1002|intake_F0_raw_64_terminal|fixed|1350565379|8193|8193
1785895290156|1002|intake_F0_raw_64_terminal|rotating|1350565379|8193|8193
1785895290371|1003|intake_F0_raw_1024_active|fixed|1350565379|8193|8193
1785895290371|1003|intake_F0_raw_1024_active|rotating|1350565379|8193|8193
1785895290707|1003|intake_F0_raw_1024_terminal|fixed|1350565379|8193|8193
1785895290707|1003|intake_F0_raw_1024_terminal|rotating|1350565379|8193|8193
1785895290928|1004|intake_R0_raw_64_active|fixed|1350565379|8193|8193
1785895290928|1004|intake_R0_raw_64_active|rotating|1346371075|8193|8193
1785895291254|1004|intake_R0_raw_64_terminal|fixed|1346371075|8193|8193
1785895291254|1004|intake_R0_raw_64_terminal|rotating|1346371075|8193|8193
1785895291488|1005|intake_R0_raw_1024_active|fixed|1346371075|8193|8193
1785895291488|1005|intake_R0_raw_1024_active|rotating|1346371075|8193|8193
1785895291825|1005|intake_R0_raw_1024_terminal|fixed|1350565379|8193|8193
1785895291825|1005|intake_R0_raw_1024_terminal|rotating|1350565379|8193|8193
1785895292060|1006|intake_F1_raw_64_active|fixed|1346371075|8193|8193
1785895292060|1006|intake_F1_raw_64_active|rotating|1350565379|8193|8193
1785895292379|1006|intake_F1_raw_64_terminal|fixed|1346371075|8193|8193
1785895292379|1006|intake_F1_raw_64_terminal|rotating|1350565379|8193|8193
1785895292612|1007|intake_F1_raw_1024_active|fixed|1346371075|8193|8193
1785895292612|1007|intake_F1_raw_1024_active|rotating|1346371075|8193|8193
1785895292951|1007|intake_F1_raw_1024_terminal|fixed|1346371075|8193|8193
1785895292951|1007|intake_F1_raw_1024_terminal|rotating|1346371075|8193|8193
1785895293186|1008|intake_R1_raw_64_active|fixed|1346371075|8193|8193
1785895293186|1008|intake_R1_raw_64_active|rotating|1350565379|8193|8193
1785895293537|1008|intake_R1_raw_64_terminal|fixed|1346371075|8193|8193
1785895293537|1008|intake_R1_raw_64_terminal|rotating|1346371075|8193|8193
1785895293763|1009|intake_R1_raw_1024_active|fixed|1350565379|8193|8193
1785895293763|1009|intake_R1_raw_1024_active|rotating|1350565379|8193|8193
1785895294118|1009|intake_R1_raw_1024_terminal|fixed|1350565379|8193|8193
