captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1785895822254|1002|phy_lane0_f2r_prbs_10000f|fixed|4,1378943233,16780817,5165904,0,5151797,0,5151797,0,4924,0,4922,0,0,0,153,0,151954766,0,4096,0,0,0,4923,0,457437393,0,457437401,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|2,1225427655,0,1257724,0,0,0,0,0,1300033,0,1,0,271754440,0,271754440,0,2080,272237823,0,953138824,0,0,0,0,0
1785895822254|1002|phy_lane0_f2r_prbs_10000f|rotating|4,1378943233,33558272,5239490,0,14380,0,14380,0,312,0,156,0,0,0,4992,0,996544,0,4096,0,0,0,156,0,442160251,0,442160259,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|2,498675649,0,0,0,24700,0,24700,0,3617,0,0,1,0,0,0,0,0,0,0,163923425,0,0,0,0,0
1785895833870|1004|phy_lane0_r2f_prbs_10000f|fixed|10,1378943233,16781056,5175174,0,14203,0,14203,0,308,0,154,0,0,0,4932,0,983760,0,4096,0,0,0,154,0,1200697678,0,1200697686,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|4,1970105114,0,2494700,0,24700,0,24700,0,3596,0,2,1,540871569,0,540871569,0,2048,542474992,0,1093152131,0,0,0,0,0
1785895833870|1004|phy_lane0_r2f_prbs_10000f|rotating|10,1378943233,33558033,5265000,0,5250614,0,5250614,0,5020,0,5017,0,0,0,156,0,154883151,0,4096,0,0,0,5018,0,1186515028,0,1186515036,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|4,1242918763,0,1273532,0,2494700,0,2494700,0,1322146,0,1,2,276332365,0,276332365,0,2080,276819141,0,364327017,0,0,0,0,0
1785895845481|1006|phy_lane1_f2r_prbs_10000f|fixed|16,1378943233,16781056,0,5162115,0,5148006,0,5148006,0,4924,0,4923,0,0,0,153,0,151963552,0,4096,0,0,0,4923,0,1944113553,0,1944113561,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|6,2711981616,0,3752424,0,2494700,0,2494700,0,1298421,0,3,2,812509674,0,812509674,0,2080,814596479,0,1294271151,0,0,0,0,0
1785895845481|1006|phy_lane1_f2r_prbs_10000f|rotating|16,1378943233,33558272,0,5233359,0,14292,0,14292,0,310,0,155,0,0,0,4991,0,990168,0,4096,0,0,0,155,0,1927111944,0,1927111952,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|6,1985087029,0,2494700,0,2519400,0,2519400,0,3618,0,2,3,540871568,0,540871568,0,2048,542474991,0,505214998,0,0,0,0,0
1785895857090|1008|phy_lane1_r2f_prbs_10000f|fixed|22,1378943233,16781056,0,5185229,0,14201,0,14201,0,308,0,154,0,0,0,4945,0,983776,0,4096,0,0,0,154,0,2686074707,0,2686074715,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|8,3455238027,0,4989400,0,2519400,0,2519400,0,3596,0,4,3,1081743138,0,1081743138,0,2048,1084949984,0,1433023912,0,0,0,0,0
1785895857090|1008|phy_lane1_r2f_prbs_10000f|rotating|22,1378943233,33557794,0,5261400,0,5247016,0,5247016,0,5020,0,5018,0,0,0,156,0,154900743,0,4096,0,0,0,5019,0,2671928897,0,2671928905,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|8,2729039525,0,3776136,0,4989400,0,4989400,0,1324746,0,3,4,817945211,0,817945211,0,2080,820037107,0,704325622,0,0,0,0,0
1785895868696|1010|phy_lane2_f2r_prbs_10000f|fixed|28,1378943233,16781056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|10,4197017675,0,6247124,0,4989400,0,4989400,0,1300067,0,5,4,1353513120,0,1353513120,0,2080,1357203347,0,1633670093,0,0,0,0,0
1785895868696|1010|phy_lane2_f2r_prbs_10000f|rotating|28,1378943233,33558272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|10,3470961324,0,4989400,0,5014100,0,5014100,0,3620,0,4,5,1081743137,0,1081743137,0,2048,1084949982,0,845256236,0,0,0,0,0
1785895880684|1012|phy_lane2_r2f_prbs_10000f|fixed|34,1378943233,16781056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|12,672423975,1,7484100,0,5014100,0,5014100,0,3557,0,6,5,1622614706,0,1622614706,0,2048,1627424973,0,1799187636,0,0,0,0,0
1785895880684|1012|phy_lane2_r2f_prbs_10000f|rotating|34,1378943233,33557316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|12,4244041754,0,6286644,0,7484100,0,7484100,0,1340669,0,5,6,1362087120,0,1362087120,0,2080,1365785832,0,1071190136,0,0,0,0,0
1785895892331|1014|phy_lane3_f2r_prbs_10000f|fixed|40,1378943233,16779144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|14,1416713021,1,8741824,0,7484100,0,7484100,0,1304728,0,7,6,1895352569,0,1895352569,0,2080,1900646219,0,2001801099,0,0,0,0,0
1785895892331|1014|phy_lane3_f2r_prbs_10000f|rotating|40,1378943233,33558272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|14,689635799,1,7484100,0,7508800,0,7508800,0,3619,0,6,7,1622614704,0,1622614704,0,2048,1627424972,0,1213822939,0,0,0,0,0
1785895903910|1016|phy_lane3_r2f_prbs_10000f|fixed|46,1378943233,16781056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|16,2155875906,1,9978800,0,7508800,0,7508800,0,3511,0,8,7,2163486274,0,2163486274,0,2048,2169899966,0,2141867133,0,0,0,0,0
