captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785895815606|0|SAFE_BOOT|fixed|1350565379|8193|8193
1785895815606|0|SAFE_BOOT|rotating|1350565379|8193|8193
1785895815650|1001|phy_lane0_f2r_counter_100f_active|fixed|1350565379|8193|8193
1785895815650|1001|phy_lane0_f2r_counter_100f_active|rotating|1346362883|8193|8193
1785895816067|1001|phy_lane0_f2r_counter_100f_terminal|fixed|1346371075|8193|8193
1785895816067|1001|phy_lane0_f2r_counter_100f_terminal|rotating|1346371075|8193|8193
1785895817244|1002|phy_lane0_f2r_prbs_10000f_active|fixed|1346371075|8193|8193
1785895817244|1002|phy_lane0_f2r_prbs_10000f_active|rotating|1350557187|8193|8193
1785895822375|1002|phy_lane0_f2r_prbs_10000f|fixed|1350565378|8193|8193
1785895822375|1002|phy_lane0_f2r_prbs_10000f|rotating|1346362883|8193|8193
1785895827076|1002|phy_lane0_f2r_prbs_10000f_terminal|fixed|1350565379|8193|8193
1785895827076|1002|phy_lane0_f2r_prbs_10000f_terminal|rotating|1346371075|8193|8193
1785895827308|1003|phy_lane0_r2f_counter_100f_active|fixed|1346362883|8193|8193
1785895827308|1003|phy_lane0_r2f_counter_100f_active|rotating|1346371075|8193|8193
1785895827725|1003|phy_lane0_r2f_counter_100f_terminal|fixed|1350565379|8193|8193
1785895827725|1003|phy_lane0_r2f_counter_100f_terminal|rotating|1350565379|8193|8193
1785895828853|1004|phy_lane0_r2f_prbs_10000f_active|fixed|1346362883|8193|8193
1785895828853|1004|phy_lane0_r2f_prbs_10000f_active|rotating|1346371075|8193|8193
1785895833990|1004|phy_lane0_r2f_prbs_10000f|fixed|1346362883|8193|8193
1785895833990|1004|phy_lane0_r2f_prbs_10000f|rotating|1350565378|8193|8193
1785895838684|1004|phy_lane0_r2f_prbs_10000f_terminal|fixed|1346371075|8193|8193
1785895838684|1004|phy_lane0_r2f_prbs_10000f_terminal|rotating|1346371075|8193|8193
1785895838955|1005|phy_lane1_f2r_counter_100f_active|fixed|1346371075|8193|8193
1785895838955|1005|phy_lane1_f2r_counter_100f_active|rotating|1350557187|8193|8193
1785895839358|1005|phy_lane1_f2r_counter_100f_terminal|fixed|1346371075|8193|8193
1785895839358|1005|phy_lane1_f2r_counter_100f_terminal|rotating|1350565379|8193|8193
1785895840472|1006|phy_lane1_f2r_prbs_10000f_active|fixed|1350565379|8193|8193
1785895840472|1006|phy_lane1_f2r_prbs_10000f_active|rotating|1346362883|8193|8193
1785895845588|1006|phy_lane1_f2r_prbs_10000f|fixed|1346371074|8193|8193
1785895845588|1006|phy_lane1_f2r_prbs_10000f|rotating|1350557187|8193|8193
1785895850275|1006|phy_lane1_f2r_prbs_10000f_terminal|fixed|1350565379|8193|8193
1785895850275|1006|phy_lane1_f2r_prbs_10000f_terminal|rotating|1350565379|8193|8193
1785895850524|1007|phy_lane1_r2f_counter_100f_active|fixed|1346362883|8193|8193
1785895850524|1007|phy_lane1_r2f_counter_100f_active|rotating|1346371075|8193|8193
1785895850910|1007|phy_lane1_r2f_counter_100f_terminal|fixed|1346371075|8193|8193
1785895850910|1007|phy_lane1_r2f_counter_100f_terminal|rotating|1346371075|8193|8193
1785895852060|1008|phy_lane1_r2f_prbs_10000f_active|fixed|1350557187|8193|8193
1785895852060|1008|phy_lane1_r2f_prbs_10000f_active|rotating|1350565379|8193|8193
1785895857211|1008|phy_lane1_r2f_prbs_10000f|fixed|1350557187|8193|8193
1785895857211|1008|phy_lane1_r2f_prbs_10000f|rotating|1350565378|8193|8193
1785895861899|1008|phy_lane1_r2f_prbs_10000f_terminal|fixed|1350565379|8193|8193
1785895861899|1008|phy_lane1_r2f_prbs_10000f_terminal|rotating|1346371075|8193|8193
1785895862127|1009|phy_lane2_f2r_counter_100f_active|fixed|1346371075|8193|8193
1785895862127|1009|phy_lane2_f2r_counter_100f_active|rotating|1350557187|8193|8193
1785895862535|1009|phy_lane2_f2r_counter_100f_terminal|fixed|1350565379|8193|8193
1785895862535|1009|phy_lane2_f2r_counter_100f_terminal|rotating|1346371075|8193|8193
1785895863672|1010|phy_lane2_f2r_prbs_10000f_active|fixed|1346371075|8193|8193
1785895863672|1010|phy_lane2_f2r_prbs_10000f_active|rotating|1346362883|8193|8193
1785895868800|1010|phy_lane2_f2r_prbs_10000f|fixed|1346371074|8193|8193
1785895868800|1010|phy_lane2_f2r_prbs_10000f|rotating|1346362883|8193|8193
1785895873615|1010|phy_lane2_f2r_prbs_10000f_terminal|fixed|1350565379|8193|8193
1785895873615|1010|phy_lane2_f2r_prbs_10000f_terminal|rotating|1346371075|8193|8193
1785895873928|1011|phy_lane2_r2f_counter_100f_active|fixed|1350557187|8193|8193
1785895873928|1011|phy_lane2_r2f_counter_100f_active|rotating|1350565379|8193|8193
1785895874499|1011|phy_lane2_r2f_counter_100f_terminal|fixed|1350565379|8193|8193
1785895874499|1011|phy_lane2_r2f_counter_100f_terminal|rotating|1346371075|8193|8193
1785895875680|1012|phy_lane2_r2f_prbs_10000f_active|fixed|1350557187|8193|8193
1785895875680|1012|phy_lane2_r2f_prbs_10000f_active|rotating|1350565379|8193|8193
1785895880883|1012|phy_lane2_r2f_prbs_10000f|fixed|1350557187|8193|8193
1785895880883|1012|phy_lane2_r2f_prbs_10000f|rotating|1350565378|8193|8193
1785895885546|1012|phy_lane2_r2f_prbs_10000f_terminal|fixed|1350565379|8193|8193
1785895885546|1012|phy_lane2_r2f_prbs_10000f_terminal|rotating|1350565379|8193|8193
1785895885799|1013|phy_lane3_f2r_counter_100f_active|fixed|1350565379|8193|8193
1785895885799|1013|phy_lane3_f2r_counter_100f_active|rotating|1346362883|8193|8193
1785895886209|1013|phy_lane3_f2r_counter_100f_terminal|fixed|1346371075|8193|8193
1785895886209|1013|phy_lane3_f2r_counter_100f_terminal|rotating|1350565379|8193|8193
