captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785895671885|0|SAFE_BOOT|fixed|1350565379|8193|8193
1785895671885|0|SAFE_BOOT|rotating|1346371075|8193|8193
1785895672366|1001|matrix_F0_raw64_terminal|fixed|1350565379|8193|8193
1785895672366|1001|matrix_F0_raw64_terminal|rotating|1346371075|8193|8193
1785895672639|1002|matrix_F0_raw1024_active|fixed|1346371075|8193|8193
1785895672639|1002|matrix_F0_raw1024_active|rotating|1350565379|8193|8193
1785895673030|1002|matrix_F0_raw1024_terminal|fixed|1346371075|8193|8193
1785895673030|1002|matrix_F0_raw1024_terminal|rotating|1346371075|8193|8193
1785895673419|1003|matrix_F0_frame10s_00000_1048576_active|fixed|1350565379|8193|8193
1785895673419|1003|matrix_F0_frame10s_00000_1048576_active|rotating|1346362883|8193|8193
1785895677517|1003|matrix_F0_frame10s_00000_1048576_terminal|fixed|1350565379|8193|8193
1785895677517|1003|matrix_F0_frame10s_00000_1048576_terminal|rotating|1346371075|8193|8193
1785895683285|1004|matrix_R0_raw64_active|fixed|1350565379|8193|8193
1785895683285|1004|matrix_R0_raw64_active|rotating|1346371075|8193|8193
1785895683600|1004|matrix_R0_raw64_terminal|fixed|1346371075|8193|8193
1785895683600|1004|matrix_R0_raw64_terminal|rotating|1346371075|8193|8193
1785895683839|1005|matrix_R0_raw1024_active|fixed|1346371075|8193|8193
1785895683839|1005|matrix_R0_raw1024_active|rotating|1350565379|8193|8193
1785895684192|1005|matrix_R0_raw1024_terminal|fixed|1350565379|8193|8193
1785895684192|1005|matrix_R0_raw1024_terminal|rotating|1350565379|8193|8193
1785895684545|1006|matrix_R0_frame10s_00000_1048576_active|fixed|1350557187|8193|8193
1785895684545|1006|matrix_R0_frame10s_00000_1048576_active|rotating|1350565379|8193|8193
1785895688606|1006|matrix_R0_frame10s_00000_1048576_terminal|fixed|1350565379|8193|8193
1785895688606|1006|matrix_R0_frame10s_00000_1048576_terminal|rotating|1350565379|8193|8193
1785895694416|1007|matrix_F1_raw64_active|fixed|1346371075|8193|8193
1785895694416|1007|matrix_F1_raw64_active|rotating|1346371075|8193|8193
1785895694747|1007|matrix_F1_raw64_terminal|fixed|1350565379|8193|8193
1785895694747|1007|matrix_F1_raw64_terminal|rotating|1346371075|8193|8193
1785895694981|1008|matrix_F1_raw1024_active|fixed|1346371075|8193|8193
1785895694981|1008|matrix_F1_raw1024_active|rotating|1350565379|8193|8193
