captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785897076401|0|SAFE_BOOT|fixed|1346371075|8193|8193
1785897076401|0|SAFE_BOOT|rotating|1350565379|8193|8193
1785897076553|1001|stream64_f2r_1_active|fixed|1350565379|8193|8193
1785897076553|1001|stream64_f2r_1_active|rotating|1346362883|8193|8193
1785897081710|1001|stream64_f2r_1|fixed|1346371074|8193|8193
1785897081710|1001|stream64_f2r_1|rotating|1350557187|8193|8193
1785897086676|1001|stream64_f2r_1|fixed|1346371074|8193|8193
1785897086676|1001|stream64_f2r_1|rotating|1350557187|8193|8193
1785897091679|1001|stream64_f2r_1|fixed|1350565378|8193|8193
1785897091679|1001|stream64_f2r_1|rotating|1350557187|8193|8193
1785897096742|1001|stream64_f2r_1|fixed|1346371074|8193|8193
1785897096742|1001|stream64_f2r_1|rotating|1346362883|8193|8193
1785897101697|1001|stream64_f2r_1|fixed|1346371074|8193|8193
1785897101697|1001|stream64_f2r_1|rotating|1350557187|8193|8193
1785897106737|1001|stream64_f2r_1|fixed|1350565378|8193|8193
1785897106737|1001|stream64_f2r_1|rotating|1346362883|8193|8193
1785897111735|1001|stream64_f2r_1|fixed|1346371074|8193|8193
1785897111735|1001|stream64_f2r_1|rotating|1346362883|8193|8193
1785897116766|1001|stream64_f2r_1|fixed|1350565378|8193|8193
1785897116766|1001|stream64_f2r_1|rotating|1346362883|8193|8193
1785897121770|1001|stream64_f2r_1|fixed|1350565378|8193|8193
1785897121770|1001|stream64_f2r_1|rotating|1350557187|8193|8193
1785897126739|1001|stream64_f2r_1|fixed|1346371074|8193|8193
1785897126739|1001|stream64_f2r_1|rotating|1350557187|8193|8193
1785897131783|1001|stream64_f2r_1|fixed|1346371074|8193|8193
1785897131783|1001|stream64_f2r_1|rotating|1346362883|8193|8193
1785897134689|1001|stream64_f2r_1_terminal|fixed|1350565379|8193|8193
1785897134689|1001|stream64_f2r_1_terminal|rotating|1346371075|8193|8193
1785897135039|1002|stream64_f2r_2_active|fixed|1346371075|8193|8193
1785897135039|1002|stream64_f2r_2_active|rotating|1346362883|8193|8193
1785897140156|1002|stream64_f2r_2|fixed|1350565378|8193|8193
1785897140156|1002|stream64_f2r_2|rotating|1350557187|8193|8193
1785897145180|1002|stream64_f2r_2|fixed|1346371074|8193|8193
1785897145180|1002|stream64_f2r_2|rotating|1350557187|8193|8193
1785897150177|1002|stream64_f2r_2|fixed|1346371074|8193|8193
1785897150177|1002|stream64_f2r_2|rotating|1346362883|8193|8193
1785897155170|1002|stream64_f2r_2|fixed|1346371074|8193|8193
1785897155170|1002|stream64_f2r_2|rotating|1350557187|8193|8193
1785897160214|1002|stream64_f2r_2|fixed|1346371074|8193|8193
1785897160214|1002|stream64_f2r_2|rotating|1346362883|8193|8193
1785897165204|1002|stream64_f2r_2|fixed|1350565378|8193|8193
1785897165204|1002|stream64_f2r_2|rotating|1350557187|8193|8193
1785897170220|1002|stream64_f2r_2|fixed|1346371074|8193|8193
1785897170220|1002|stream64_f2r_2|rotating|1350557187|8193|8193
1785897175233|1002|stream64_f2r_2|fixed|1346371074|8193|8193
1785897175233|1002|stream64_f2r_2|rotating|1346362883|8193|8193
1785897180233|1002|stream64_f2r_2|fixed|1346371074|8193|8193
1785897180233|1002|stream64_f2r_2|rotating|1346362883|8193|8193
1785897185235|1002|stream64_f2r_2|fixed|1350565378|8193|8193
1785897185235|1002|stream64_f2r_2|rotating|1346362883|8193|8193
1785897190236|1002|stream64_f2r_2|fixed|1346371074|8193|8193
1785897190236|1002|stream64_f2r_2|rotating|1350557187|8193|8193
1785897193168|1002|stream64_f2r_2_terminal|fixed|1346371075|8193|8193
