captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785900113747|0|SAFE_BOOT|fixed|1350565379|8193|8193
1785900113747|0|SAFE_BOOT|rotating|1350565379|8193|8193
1785900115323|1001|degrade_static_unavailable_1_active|fixed|1350557187|8193|8193
1785900115323|1001|degrade_static_unavailable_1_active|rotating|1350565379|8193|8193
1785900120508|1001|degrade_static_unavailable_1|fixed|1346362883|8193|8193
1785900120508|1001|degrade_static_unavailable_1|rotating|1346371074|8193|8193
1785900122485|1001|degrade_static_unavailable_1_terminal|fixed|1350565379|8193|8193
1785900122485|1001|degrade_static_unavailable_1_terminal|rotating|1350565379|8193|8193
1785900124422|1002|degrade_static_unavailable_2_active|fixed|1350565379|8193|8193
1785900124422|1002|degrade_static_unavailable_2_active|rotating|1346362883|8193|8193
1785900129483|1002|degrade_static_unavailable_2|fixed|1346371074|8193|8193
1785900129483|1002|degrade_static_unavailable_2|rotating|1346362883|8193|8193
1785900131464|1002|degrade_static_unavailable_2_terminal|fixed|1350565379|8193|8193
1785900131464|1002|degrade_static_unavailable_2_terminal|rotating|1350565379|8193|8193
1785900133420|1003|degrade_static_unavailable_4_active|fixed|1350565379|8193|8193
1785900133420|1003|degrade_static_unavailable_4_active|rotating|1350557187|8193|8193
1785900138560|1003|degrade_static_unavailable_4|fixed|1350565378|8193|8193
1785900138560|1003|degrade_static_unavailable_4|rotating|1350557187|8193|8193
1785900140652|1003|degrade_static_unavailable_4_terminal|fixed|1350565379|8193|8193
1785900140652|1003|degrade_static_unavailable_4_terminal|rotating|1350565379|8193|8193
1785900142361|1004|degrade_static_unavailable_8_active|fixed|1350565379|8193|8193
1785900142361|1004|degrade_static_unavailable_8_active|rotating|1346362883|8193|8193
1785900147527|1004|degrade_static_unavailable_8|fixed|1346371074|8193|8193
1785900147527|1004|degrade_static_unavailable_8|rotating|1350557187|8193|8193
1785900149482|1004|degrade_static_unavailable_8_terminal|fixed|1350565379|8193|8193
1785900149482|1004|degrade_static_unavailable_8_terminal|rotating|1346371075|8193|8193
1785900151186|1005|degrade_static_unavailable_3_active|fixed|1346362883|8193|8193
1785900151186|1005|degrade_static_unavailable_3_active|rotating|1346371075|8193|8193
1785900156337|1005|degrade_static_unavailable_3|fixed|1346362883|8193|8193
1785900156337|1005|degrade_static_unavailable_3|rotating|1346371074|8193|8193
1785900160611|1005|degrade_static_unavailable_3_terminal|fixed|1350565379|8193|8193
1785900160611|1005|degrade_static_unavailable_3_terminal|rotating|1350565379|8193|8193
1785900162363|1006|degrade_static_unavailable_7_active|fixed|1350557187|8193|8193
1785900162363|1006|degrade_static_unavailable_7_active|rotating|1350565379|8193|8193
