captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785900550447|0|SAFE_BOOT|fixed|1346371075|8193|8193
1785900550447|0|SAFE_BOOT|rotating|1350565379|8193|8193
1785900550818|1001|dma_ring8_terminal|fixed|1350565379|8193|8193
1785900550818|1001|dma_ring8_terminal|rotating|1346371075|8193|8193
1785900551385|1002|dma_ring32_terminal|fixed|1346371075|8193|8193
1785900551385|1002|dma_ring32_terminal|rotating|1346371075|8193|8193
1785900551600|1003|dma_size_1_active|fixed|1346371075|8193|8193
1785900551600|1003|dma_size_1_active|rotating|1350565379|8193|8193
1785900551959|1003|dma_size_1_terminal|fixed|1346371075|8193|8193
1785900551959|1003|dma_size_1_terminal|rotating|1346371075|8193|8193
1785900552197|1004|dma_size_2_active|fixed|1350565379|8193|8193
1785900552197|1004|dma_size_2_active|rotating|1350565379|8193|8193
1785900552568|1004|dma_size_2_terminal|fixed|1350565379|8193|8193
1785900552568|1004|dma_size_2_terminal|rotating|1346371075|8193|8193
1785900552766|1005|dma_size_3_active|fixed|1350565379|8193|8193
1785900552766|1005|dma_size_3_active|rotating|1346371075|8193|8193
1785900553095|1005|dma_size_3_terminal|fixed|1350565379|8193|8193
1785900553095|1005|dma_size_3_terminal|rotating|1346371075|8193|8193
1785900553294|1006|dma_size_4_active|fixed|1346371075|8193|8193
1785900553294|1006|dma_size_4_active|rotating|1346371075|8193|8193
1785900553667|1006|dma_size_4_terminal|fixed|1350565379|8193|8193
1785900553667|1006|dma_size_4_terminal|rotating|1346371075|8193|8193
1785900553936|1007|dma_size_31_active|fixed|1346371075|8193|8193
1785900553936|1007|dma_size_31_active|rotating|1346371075|8193|8193
1785900554270|1007|dma_size_31_terminal|fixed|1346371075|8193|8193
1785900554270|1007|dma_size_31_terminal|rotating|1350565379|8193|8193
1785900554481|1008|dma_size_32_active|fixed|1346371075|8193|8193
1785900554481|1008|dma_size_32_active|rotating|1350565379|8193|8193
1785900554838|1008|dma_size_32_terminal|fixed|1350565379|8193|8193
1785900554838|1008|dma_size_32_terminal|rotating|1350565379|8193|8193
1785900555038|1009|dma_size_63_active|fixed|1346371075|8193|8193
1785900555038|1009|dma_size_63_active|rotating|1350565379|8193|8193
1785900555368|1009|dma_size_63_terminal|fixed|1350565379|8193|8193
1785900555368|1009|dma_size_63_terminal|rotating|1350565379|8193|8193
1785900555600|1010|dma_size_64_active|fixed|1350565379|8193|8193
1785900555600|1010|dma_size_64_active|rotating|1350565379|8193|8193
1785900555963|1010|dma_size_64_terminal|fixed|1350565379|8193|8193
1785900555963|1010|dma_size_64_terminal|rotating|1350565379|8193|8193
1785900556185|1011|dma_size_247_active|fixed|1350565379|8193|8193
1785900556185|1011|dma_size_247_active|rotating|1346371075|8193|8193
1785900556530|1011|dma_size_247_terminal|fixed|1350565379|8193|8193
1785900556530|1011|dma_size_247_terminal|rotating|1346371075|8193|8193
1785900556745|1012|dma_size_256_active|fixed|1350565379|8193|8193
1785900556745|1012|dma_size_256_active|rotating|1346371075|8193|8193
1785900557083|1012|dma_size_256_terminal|fixed|1350565379|8193|8193
1785900557083|1012|dma_size_256_terminal|rotating|1350565379|8193|8193
1785900557338|1013|dma_size_1024_active|fixed|1350565379|8193|8193
1785900557338|1013|dma_size_1024_active|rotating|1346371075|8193|8193
1785900557670|1013|dma_size_1024_terminal|fixed|1350565379|8193|8193
1785900557670|1013|dma_size_1024_terminal|rotating|1346371075|8193|8193
1785900557917|1014|dma_size_4096_active|fixed|1350565379|8193|8193
