captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785899824663|0|SAFE_BOOT|fixed|1346371075|8193|8193
1785899824663|0|SAFE_BOOT|rotating|1350565379|8193|8193
1785899824848|1001|raw_mask1_f2r_10s_00000_1048576_active|fixed|1346371075|8193|8193
1785899824848|1001|raw_mask1_f2r_10s_00000_1048576_active|rotating|1350557187|8193|8193
1785899828941|1001|raw_mask1_f2r_10s_00000_1048576_terminal|fixed|1346371075|8193|8193
1785899828941|1001|raw_mask1_f2r_10s_00000_1048576_terminal|rotating|1350565379|8193|8193
1785899834828|1002|raw_mask1_r2f_10s_00000_1048576_active|fixed|1346362883|8193|8193
1785899834828|1002|raw_mask1_r2f_10s_00000_1048576_active|rotating|1350565379|8193|8193
1785899838934|1002|raw_mask1_r2f_10s_00000_1048576_terminal|fixed|1350565379|8193|8193
1785899838934|1002|raw_mask1_r2f_10s_00000_1048576_terminal|rotating|1350565379|8193|8193
1785899844840|1003|raw_mask3_f2r_10s_00000_1048576_active|fixed|1346371075|8193|8193
1785899844840|1003|raw_mask3_f2r_10s_00000_1048576_active|rotating|1346362883|8193|8193
1785899847158|1003|raw_mask3_f2r_10s_00000_1048576_terminal|fixed|1350565379|8193|8193
1785899847158|1003|raw_mask3_f2r_10s_00000_1048576_terminal|rotating|1350565379|8193|8193
1785899847468|1004|raw_mask3_f2r_10s_00001_1048576_active|fixed|1346371075|8193|8193
1785899847468|1004|raw_mask3_f2r_10s_00001_1048576_active|rotating|1346362883|8193|8193
1785899849756|1004|raw_mask3_f2r_10s_00001_1048576_terminal|fixed|1350565379|8193|8193
1785899849756|1004|raw_mask3_f2r_10s_00001_1048576_terminal|rotating|1350565379|8193|8193
1785899854846|1005|raw_mask3_r2f_10s_00000_1048576_active|fixed|1346362883|8193|8193
1785899854846|1005|raw_mask3_r2f_10s_00000_1048576_active|rotating|1350565379|8193|8193
1785899857164|1005|raw_mask3_r2f_10s_00000_1048576_terminal|fixed|1350565379|8193|8193
1785899857164|1005|raw_mask3_r2f_10s_00000_1048576_terminal|rotating|1350565379|8193|8193
1785899857483|1006|raw_mask3_r2f_10s_00001_1048576_active|fixed|1346362883|8193|8193
1785899857483|1006|raw_mask3_r2f_10s_00001_1048576_active|rotating|1346371075|8193|8193
1785899859728|1006|raw_mask3_r2f_10s_00001_1048576_terminal|fixed|1350565379|8193|8193
1785899859728|1006|raw_mask3_r2f_10s_00001_1048576_terminal|rotating|1346371075|8193|8193
1785899864855|1007|raw_mask7_f2r_10s_00000_1048576_active|fixed|1346371075|8193|8193
1785899864855|1007|raw_mask7_f2r_10s_00000_1048576_active|rotating|1346362883|8193|8193
1785899866581|1007|raw_mask7_f2r_10s_00000_1048576_terminal|fixed|1350565379|8193|8193
1785899866581|1007|raw_mask7_f2r_10s_00000_1048576_terminal|rotating|1350565379|8193|8193
1785899866898|1008|raw_mask7_f2r_10s_00001_1048576_active|fixed|1350565379|8193|8193
1785899866898|1008|raw_mask7_f2r_10s_00001_1048576_active|rotating|1350557187|8193|8193
1785899868598|1008|raw_mask7_f2r_10s_00001_1048576_terminal|fixed|1346371075|8193|8193
1785899868598|1008|raw_mask7_f2r_10s_00001_1048576_terminal|rotating|1350565379|8193|8193
1785899874865|1009|raw_mask7_r2f_10s_00000_1048576_active|fixed|1350557187|8193|8193
1785899874865|1009|raw_mask7_r2f_10s_00000_1048576_active|rotating|1346371075|8193|8193
1785899876594|1009|raw_mask7_r2f_10s_00000_1048576_terminal|fixed|1350565379|8193|8193
1785899876594|1009|raw_mask7_r2f_10s_00000_1048576_terminal|rotating|1350565379|8193|8193
1785899876928|1010|raw_mask7_r2f_10s_00001_1048576_active|fixed|1346362883|8193|8193
1785899876928|1010|raw_mask7_r2f_10s_00001_1048576_active|rotating|1346371075|8193|8193
1785899878615|1010|raw_mask7_r2f_10s_00001_1048576_terminal|fixed|1350565379|8193|8193
1785899878615|1010|raw_mask7_r2f_10s_00001_1048576_terminal|rotating|1350565379|8193|8193
1785899884878|1011|raw_maskF_f2r_10s_00000_1048576_active|fixed|1346371075|8193|8193
1785899884878|1011|raw_maskF_f2r_10s_00000_1048576_active|rotating|1346362883|8193|8193
1785899886261|1011|raw_maskF_f2r_10s_00000_1048576_terminal|fixed|1350565379|8193|8193
1785899886261|1011|raw_maskF_f2r_10s_00000_1048576_terminal|rotating|1346371075|8193|8193
1785899886569|1012|raw_maskF_f2r_10s_00001_1048576_active|fixed|1346371075|8193|8193
1785899886569|1012|raw_maskF_f2r_10s_00001_1048576_active|rotating|1350557187|8193|8193
1785899887912|1012|raw_maskF_f2r_10s_00001_1048576_terminal|fixed|1350565379|8193|8193
1785899887912|1012|raw_maskF_f2r_10s_00001_1048576_terminal|rotating|1346371075|8193|8193
1785899888220|1013|raw_maskF_f2r_10s_00002_1048576_active|fixed|1346371075|8193|8193
1785899888220|1013|raw_maskF_f2r_10s_00002_1048576_active|rotating|1346362883|8193|8193
1785899889587|1013|raw_maskF_f2r_10s_00002_1048576_terminal|fixed|1350565379|8193|8193
1785899889587|1013|raw_maskF_f2r_10s_00002_1048576_terminal|rotating|1350565379|8193|8193
1785899894913|1014|raw_maskF_r2f_10s_00000_1048576_active|fixed|1350557187|8193|8193
1785899894913|1014|raw_maskF_r2f_10s_00000_1048576_active|rotating|1350565379|8193|8193
1785899896338|1014|raw_maskF_r2f_10s_00000_1048576_terminal|fixed|1350565379|8193|8193
1785899896338|1014|raw_maskF_r2f_10s_00000_1048576_terminal|rotating|1350565379|8193|8193
1785899896677|1015|raw_maskF_r2f_10s_00001_1048576_active|fixed|1350557187|8193|8193
1785899896677|1015|raw_maskF_r2f_10s_00001_1048576_active|rotating|1346371075|8193|8193
1785899898029|1015|raw_maskF_r2f_10s_00001_1048576_terminal|fixed|1350565379|8193|8193
1785899898029|1015|raw_maskF_r2f_10s_00001_1048576_terminal|rotating|1350565379|8193|8193
1785899898349|1016|raw_maskF_r2f_10s_00002_1048576_active|fixed|1350557187|8193|8193
1785899898349|1016|raw_maskF_r2f_10s_00002_1048576_active|rotating|1350565379|8193|8193
1785899899698|1016|raw_maskF_r2f_10s_00002_1048576_terminal|fixed|1350565379|8193|8193
1785899899698|1016|raw_maskF_r2f_10s_00002_1048576_terminal|rotating|1346371075|8193|8193
1785899905095|1017|P10_3F-FOUR_LANE_RAW_endpoint_shutdown_terminal|fixed|1346371075|8193|8193
1785899905095|1017|P10_3F-FOUR_LANE_RAW_endpoint_shutdown_terminal|rotating|1350565379|8193|8193
