captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785899399438|0|SAFE_BOOT|fixed|1346371075|8193|8193
1785899399438|0|SAFE_BOOT|rotating|1346371075|8193|8193
1785899399570|1001|phy_lane0_f2r_counter_100f_active|fixed|1350565379|8193|8193
1785899399570|1001|phy_lane0_f2r_counter_100f_active|rotating|1346362883|8193|8193
1785899400304|1001|phy_lane0_f2r_counter_100f_terminal|fixed|1350565379|8193|8193
1785899400304|1001|phy_lane0_f2r_counter_100f_terminal|rotating|1350565379|8193|8193
1785899401422|1002|phy_lane0_f2r_prbs_10000f_active|fixed|1346371075|8193|8193
1785899401422|1002|phy_lane0_f2r_prbs_10000f_active|rotating|1346362883|8193|8193
1785899406553|1002|phy_lane0_f2r_prbs_10000f|fixed|1346371074|8193|8193
1785899406553|1002|phy_lane0_f2r_prbs_10000f|rotating|1346362883|8193|8193
1785899411253|1002|phy_lane0_f2r_prbs_10000f_terminal|fixed|1346371075|8193|8193
1785899411253|1002|phy_lane0_f2r_prbs_10000f_terminal|rotating|1346371075|8193|8193
1785899411505|1003|phy_lane0_r2f_counter_100f_active|fixed|1346362883|8193|8193
1785899411505|1003|phy_lane0_r2f_counter_100f_active|rotating|1346371075|8193|8193
1785899411879|1003|phy_lane0_r2f_counter_100f_terminal|fixed|1346371075|8193|8193
1785899411879|1003|phy_lane0_r2f_counter_100f_terminal|rotating|1346371075|8193|8193
1785899413014|1004|phy_lane0_r2f_prbs_10000f_active|fixed|1346362883|8193|8193
1785899413014|1004|phy_lane0_r2f_prbs_10000f_active|rotating|1350565379|8193|8193
1785899418132|1004|phy_lane0_r2f_prbs_10000f|fixed|1346362883|8193|8193
1785899418132|1004|phy_lane0_r2f_prbs_10000f|rotating|1350565378|8193|8193
1785899422861|1004|phy_lane0_r2f_prbs_10000f_terminal|fixed|1350565379|8193|8193
1785899422861|1004|phy_lane0_r2f_prbs_10000f_terminal|rotating|1350565379|8193|8193
1785899423102|1005|phy_lane1_f2r_counter_100f_active|fixed|1346371075|8193|8193
1785899423102|1005|phy_lane1_f2r_counter_100f_active|rotating|1346362883|8193|8193
1785899423501|1005|phy_lane1_f2r_counter_100f_terminal|fixed|1346371075|8193|8193
1785899423501|1005|phy_lane1_f2r_counter_100f_terminal|rotating|1350565379|8193|8193
1785899424632|1006|phy_lane1_f2r_prbs_10000f_active|fixed|1346371075|8193|8193
1785899424632|1006|phy_lane1_f2r_prbs_10000f_active|rotating|1346362883|8193|8193
