captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785899094332|0|SAFE_BOOT|fixed|1350565379|8193|8193
1785899094332|0|SAFE_BOOT|rotating|1346371075|8193|8193
1785899094414|1001|staircase_65536B_f2r_active|fixed|1346371075|8193|8193
1785899094414|1001|staircase_65536B_f2r_active|rotating|1346362883|8193|8193
1785899094868|1001|staircase_65536B_f2r_terminal|fixed|1346371075|8193|8193
1785899094868|1001|staircase_65536B_f2r_terminal|rotating|1346371075|8193|8193
1785899095124|1002|staircase_65536B_r2f_active|fixed|1350557187|8193|8193
1785899095124|1002|staircase_65536B_r2f_active|rotating|1346371075|8193|8193
1785899095534|1002|staircase_65536B_r2f_terminal|fixed|1346371075|8193|8193
1785899095534|1002|staircase_65536B_r2f_terminal|rotating|1346371075|8193|8193
1785899096105|1003|P10_3F-STAIRCASE_endpoint_shutdown_terminal|fixed|1346371075|8193|8193
1785899096105|1003|P10_3F-STAIRCASE_endpoint_shutdown_terminal|rotating|1346371075|8193|8193
