label|command|expected_status|flags|lane|direction|rate|weights|size|ring|cache|txoff|rxoff|timeout|session|path|object|dropdata|dropack|unavailable|rawtarget|spacing|stale|initialseq|faultflags|idle|injectmask|injectdelay|window|started_ms|finished_ms|sequence|fixed_status|rotating_status|fixed_state|rotating_state|fixed_dump_path|rotating_dump_path|fixed_p10_1_dump_path|rotating_p10_1_dump_path|fixed_p10_1r_dump_path|rotating_p10_1r_dump_path|injection_applied|injection_readback|injection_timestamp_ms|injection_sender|injection_preconditions_verified|injection_pre_outstanding|injection_pre_target_scheduled|injection_pre_target_physical_tx|injection_pre_dropped_ack|injection_pre_migration_count|injection_initial_sequence|injection_pre_ack_base|injection_baseline_physical_ack_good|injection_pre_physical_ack_good|injection_post_write_ack_base|injection_baseline_target_crc_bad|injection_pre_target_crc_bad|injection_atomic_status|injection_trigger_sequence|injection_trigger_ack_base|injection_trigger_outstanding|injection_trigger_attempt_count|injection_trigger_physical_tx_count|injection_trigger_count|injection_trigger_migration_count|injection_trigger_scheduled_count
stream64_f2r_1|13|0|0|15|0|2|16843009|67108864|32|1|0|0|300000|0xA1010001|0x101|0x60000200|32|32|0|262144|65536|4|8|0|0|0|0|stream64_f2r_1|1785900661247|1785900719562|1001|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream64_f2r_1.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream64_f2r_1.rotating.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream64_f2r_1.fixed.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream64_f2r_1.rotating.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream64_f2r_1.fixed.p10_1r.psv|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream64_f2r_1.rotating.p10_1r.psv|0|0|0|NA|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
stream64_f2r_2|13|0|0|15|0|2|16843009|67108864|32|1|0|0|300000|0xA1010001|0x101|0x60000300|32|32|0|262144|65536|4|8|0|0|0|0|stream64_f2r_2|1785900719733|1785900778007|1002|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream64_f2r_2.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream64_f2r_2.rotating.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream64_f2r_2.fixed.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream64_f2r_2.rotating.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream64_f2r_2.fixed.p10_1r.psv|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream64_f2r_2.rotating.p10_1r.psv|0|0|0|NA|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
stream64_f2r_3|13|0|0|15|0|2|16843009|67108864|32|1|0|0|300000|0xA1010001|0x101|0x60000400|32|32|0|262144|65536|4|8|0|0|0|0|stream64_f2r_3|1785900778208|1785900836531|1003|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream64_f2r_3.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream64_f2r_3.rotating.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream64_f2r_3.fixed.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream64_f2r_3.rotating.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream64_f2r_3.fixed.p10_1r.psv|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream64_f2r_3.rotating.p10_1r.psv|0|0|0|NA|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
stream64_r2f_1|13|0|0|15|1|2|16843009|67108864|32|1|0|0|300000|0xA1010001|0x101|0x60000500|32|32|0|262144|65536|4|8|0|0|0|0|stream64_r2f_1|1785900836724|1785900895050|1004|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream64_r2f_1.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream64_r2f_1.rotating.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream64_r2f_1.fixed.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream64_r2f_1.rotating.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream64_r2f_1.fixed.p10_1r.psv|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream64_r2f_1.rotating.p10_1r.psv|0|0|0|NA|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
stream64_r2f_2|13|0|0|15|1|2|16843009|67108864|32|1|0|0|300000|0xA1010001|0x101|0x60000600|32|32|0|262144|65536|4|8|0|0|0|0|stream64_r2f_2|1785900895238|1785900953538|1005|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream64_r2f_2.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream64_r2f_2.rotating.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream64_r2f_2.fixed.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream64_r2f_2.rotating.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream64_r2f_2.fixed.p10_1r.psv|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream64_r2f_2.rotating.p10_1r.psv|0|0|0|NA|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
stream64_r2f_3|13|0|0|15|1|2|16843009|67108864|32|1|0|0|300000|0xA1010001|0x101|0x60000700|32|32|0|262144|65536|4|8|0|0|0|0|stream64_r2f_3|1785900953705|1785901012052|1006|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream64_r2f_3.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream64_r2f_3.rotating.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream64_r2f_3.fixed.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream64_r2f_3.rotating.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream64_r2f_3.fixed.p10_1r.psv|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream64_r2f_3.rotating.p10_1r.psv|0|0|0|NA|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
stream_lane2_unavailable|13|0|0|15|0|2|16843009|67108864|32|1|0|0|300000|0xA1010001|0x101|0x60000800|32|32|4|262144|65536|4|8|0|0|0|0|stream_lane2_unavailable|1785901012229|1785901091474|1007|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream_lane2_unavailable.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream_lane2_unavailable.rotating.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream_lane2_unavailable.fixed.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream_lane2_unavailable.rotating.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream_lane2_unavailable.fixed.p10_1r.psv|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream_lane2_unavailable.rotating.p10_1r.psv|0|0|0|NA|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
stream_clean_after_lane2|13|0|0|15|0|2|16843009|67108864|32|1|0|0|300000|0xA1010001|0x101|0x60000900|32|32|0|262144|65536|4|8|0|0|0|0|stream_clean_after_lane2|1785901091664|1785901149933|1008|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream_clean_after_lane2.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream_clean_after_lane2.rotating.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream_clean_after_lane2.fixed.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream_clean_after_lane2.rotating.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream_clean_after_lane2.fixed.p10_1r.psv|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream_clean_after_lane2.rotating.p10_1r.psv|0|0|0|NA|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
stream_lane3_unavailable|13|0|0|15|1|2|16843009|67108864|32|1|0|0|300000|0xA1010001|0x101|0x60000A00|32|32|8|262144|65536|4|8|0|0|0|0|stream_lane3_unavailable|1785901150146|1785901229422|1009|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream_lane3_unavailable.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream_lane3_unavailable.rotating.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream_lane3_unavailable.fixed.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream_lane3_unavailable.rotating.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream_lane3_unavailable.fixed.p10_1r.psv|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream_lane3_unavailable.rotating.p10_1r.psv|0|0|0|NA|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
stream_clean_after_lane3|13|0|0|15|1|2|16843009|67108864|32|1|0|0|300000|0xA1010001|0x101|0x60000B00|32|32|0|262144|65536|4|8|0|0|0|0|stream_clean_after_lane3|1785901229583|1785901287908|1010|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream_clean_after_lane3.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream_clean_after_lane3.rotating.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream_clean_after_lane3.fixed.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream_clean_after_lane3.rotating.p10_1.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream_clean_after_lane3.fixed.p10_1r.psv|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260805T025754Z_650b94cf_1ff0885f_82ef5093/stages/streaming_64m/dumps/stream_clean_after_lane3.rotating.p10_1r.psv|0|0|0|NA|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
