captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1785899548178|1001|regression64_f2r|fixed|2,1378943233,16780339,6153459,6111090,6118350,6111090,6118350,6111090,6371,6360,5829,5829,0,0,372,0,179930341,179766728,4096,4096,0,0,5829,5829,362459694,362460051,362459702,362460059,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,56,0,44,0,14,11,0,1,56,0|4,1083937858,0,2899392,0,0,0,0,0,3078240,0,11,0,321140261,0,321140261,0,2080,315085888,0,8357292,0,0,0,0,0
1785899548178|1001|regression64_f2r|rotating|2,1378943233,33558272,6230537,6187089,35583,0,35583,0,754,0,377,0,0,0,5902,5902,2408608,0,4096,0,0,0,377,0,346130215,0,346130223,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,56,0,44,0,14,11,0,1,56,0|4,396460230,0,0,0,2883584,0,2883584,0,8966,0,0,11,0,0,0,0,0,0,0,6874036,0,0,0,0,0
1785899553180|1001|regression64_f2r|fixed|4,1378943233,16780339,12389389,12302356,12318507,12302356,12318507,12302356,12293,12270,11739,11739,0,0,751,0,362356953,361998644,4096,4096,0,0,11739,11739,681462088,681462429,681462104,681462437,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,100,0,88,0,25,22,0,1,100,0|6,1403175145,0,5822496,0,0,0,0,0,6179933,0,22,0,639646772,0,639646772,0,2080,632731910,0,9795010,0,0,0,0,0
1785899553180|1001|regression64_f2r|rotating|4,1378943233,33558272,12462310,12374829,71260,0,71260,0,1510,0,755,0,0,0,11808,11808,4823656,0,4096,0,0,0,755,0,664737570,0,664737578,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,100,0,88,0,25,22,0,1,100,0|6,714415416,0,0,0,5767168,0,5767168,0,17886,0,0,22,0,0,0,0,0,0,0,6897703,0,0,0,0,0
1785899558192|1001|regression64_f2r|fixed|6,1378943233,16781056,18667370,18535364,18560526,18535364,18560526,18535364,18250,18216,17685,17685,0,0,1132,0,545900584,545363984,4096,4096,0,0,17685,17685,1002274382,1002274723,1002274390,1002274731,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,144,0,132,0,36,33,0,1,144,0|8,1723996745,0,8761408,0,0,0,0,0,9298631,0,33,0,959733644,0,959733644,0,2080,951959252,0,11235163,0,0,0,0,0
1785899558192|1001|regression64_f2r|rotating|6,1378943233,33558272,18743332,18610950,107223,0,107223,0,2272,0,1136,0,0,0,17756,17756,7257840,0,4096,0,0,0,1136,0,985925951,0,985925959,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,144,0,132,0,36,33,0,1,144,0|8,1035397941,0,0,0,8650752,0,8650752,0,26852,0,0,33,0,0,0,0,0,0,0,6916146,0,0,0,0,0
1785899563196|1001|regression64_f2r|fixed|8,1378943233,16781056,24935458,24759701,24792748,24759701,24792748,24759701,24199,24154,23623,23623,0,0,1512,0,729195144,728477384,4096,4096,0,0,23623,23623,1322656894,1322657219,1322656902,1322657227,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|10,2044308107,0,11692416,0,0,0,0,0,12412216,0,44,0,1279312254,0,1279312254,0,2080,1270676632,0,12675319,0,0,0,0,0
1785899563196|1001|regression64_f2r|rotating|8,1378943233,33558272,25007179,24831082,143088,0,143088,0,3032,0,1516,0,0,0,23691,23691,9685648,0,4096,0,0,0,1516,0,1306254793,0,1306254801,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|10,1356089420,0,0,0,11534336,0,11534336,0,35843,0,0,44,0,0,0,0,0,0,0,6941725,0,0,0,0,0
1785899568198|1001|regression64_f2r|fixed|10,1378943233,16780339,31193102,30972350,31014620,30972350,31014620,30972350,30142,30086,29554,29554,0,0,1891,0,912288944,911389930,4096,4096,0,0,29555,29555,1642699273,1642699254,1642699257,1642699262,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,232,0,220,0,58,55,0,1,232,0|12,2364413828,0,14615520,0,0,0,0,0,15521506,0,55,0,1598687199,0,1598687199,0,2080,1589190298,0,14113827,0,0,0,0,0
1785899568198|1001|regression64_f2r|rotating|10,1378943233,33558272,31266349,31045150,178952,0,178952,0,3792,0,1896,0,0,0,29624,29624,12113392,0,4096,0,0,0,1896,0,1626582012,0,1626582020,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,232,0,220,0,58,55,0,1,232,0|12,1676306614,0,0,0,14417920,0,14417920,0,44808,0,0,55,0,0,0,0,0,0,0,6961282,0,0,0,0,0
