captured_ms|sequence|label|role|data_ro|dirm0|oen0
1785903904047|0|SAFE_BOOT|fixed|1350565379|8193|8193
1785903904047|0|SAFE_BOOT|rotating|1346371075|8193|8193
1785903904460|1001|dma_ring8_terminal|fixed|1346371075|8193|8193
1785903904460|1001|dma_ring8_terminal|rotating|1350565379|8193|8193
1785903905005|1002|dma_ring32_terminal|fixed|1350565379|8193|8193
1785903905005|1002|dma_ring32_terminal|rotating|1346371075|8193|8193
1785903905240|1003|dma_size_1_active|fixed|1346371075|8193|8193
1785903905240|1003|dma_size_1_active|rotating|1346371075|8193|8193
1785903905595|1003|dma_size_1_terminal|fixed|1346371075|8193|8193
1785903905595|1003|dma_size_1_terminal|rotating|1350565379|8193|8193
1785903905818|1004|dma_size_2_active|fixed|1350565379|8193|8193
1785903905818|1004|dma_size_2_active|rotating|1346371075|8193|8193
1785903906171|1004|dma_size_2_terminal|fixed|1346371075|8193|8193
1785903906171|1004|dma_size_2_terminal|rotating|1350565379|8193|8193
1785903906399|1005|dma_size_3_active|fixed|1350565379|8193|8193
1785903906399|1005|dma_size_3_active|rotating|1346371075|8193|8193
1785903906734|1005|dma_size_3_terminal|fixed|1350565379|8193|8193
1785903906734|1005|dma_size_3_terminal|rotating|1346371075|8193|8193
1785903906964|1006|dma_size_4_active|fixed|1346371075|8193|8193
1785903906964|1006|dma_size_4_active|rotating|1350565379|8193|8193
1785903907306|1006|dma_size_4_terminal|fixed|1350565379|8193|8193
1785903907306|1006|dma_size_4_terminal|rotating|1350565379|8193|8193
1785903907540|1007|dma_size_31_active|fixed|1346371075|8193|8193
1785903907540|1007|dma_size_31_active|rotating|1350565379|8193|8193
1785903907855|1007|dma_size_31_terminal|fixed|1346371075|8193|8193
1785903907855|1007|dma_size_31_terminal|rotating|1346371075|8193|8193
1785903908091|1008|dma_size_32_active|fixed|1346371075|8193|8193
1785903908091|1008|dma_size_32_active|rotating|1350565379|8193|8193
1785903908452|1008|dma_size_32_terminal|fixed|1346371075|8193|8193
1785903908452|1008|dma_size_32_terminal|rotating|1346371075|8193|8193
1785903908658|1009|dma_size_63_active|fixed|1350565379|8193|8193
1785903908658|1009|dma_size_63_active|rotating|1350565379|8193|8193
1785903908988|1009|dma_size_63_terminal|fixed|1350565379|8193|8193
1785903908988|1009|dma_size_63_terminal|rotating|1346371075|8193|8193
1785903909187|1010|dma_size_64_active|fixed|1350565379|8193|8193
1785903909187|1010|dma_size_64_active|rotating|1350565379|8193|8193
1785903909513|1010|dma_size_64_terminal|fixed|1346371075|8193|8193
1785903909513|1010|dma_size_64_terminal|rotating|1350565379|8193|8193
1785903909756|1011|dma_size_247_active|fixed|1346371075|8193|8193
1785903909756|1011|dma_size_247_active|rotating|1350565379|8193|8193
1785903910096|1011|dma_size_247_terminal|fixed|1346371075|8193|8193
1785903910096|1011|dma_size_247_terminal|rotating|1350565379|8193|8193
1785903910335|1012|dma_size_256_active|fixed|1350565379|8193|8193
1785903910335|1012|dma_size_256_active|rotating|1346371075|8193|8193
1785903910695|1012|dma_size_256_terminal|fixed|1350565379|8193|8193
1785903910695|1012|dma_size_256_terminal|rotating|1346371075|8193|8193
1785903910902|1013|dma_size_1024_active|fixed|1350565379|8193|8193
1785903910902|1013|dma_size_1024_active|rotating|1346371075|8193|8193
1785903911278|1013|dma_size_1024_terminal|fixed|1350565379|8193|8193
1785903911278|1013|dma_size_1024_terminal|rotating|1350565379|8193|8193
1785903911516|1014|dma_size_4096_active|fixed|1346371075|8193|8193
